LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760382196.669213,1501556.000,50506,3,PG,1,100,9026
1760382196.669213,1501556.000,50506,3,PG,1,100,9029
1760382196.669213,1501556.000,50506,3,PG,1,100,9020
1760382196.709212,1501596.000,50523,2,PG,1,100,9024
1760382196.749212,1501636.000,50523,2,PG,1,100,9024
1760382196.789211,1501676.000,50539,3,PG,1,100,9031
1760382196.829210,1501716.000,50539,3,PG,1,100,9018
1760382196.869209,1501756.000,50539,3,PG,1,100,9020
1760382196.909209,1501796.000,50558,2,PG,1,100,9011
1760382196.949208,1501836.000,50558,2,PG,1,100,9009
1760382196.989207,1501876.000,50575,3,PG,1,100,9004
1760382197.029206,1501916.000,50575,3,PG,1,100,9008
1760382197.069205,1501956.000,50575,3,PG,1,100,9004
1760382197.109205,1501996.000,50592,3,PG,1,100,8998
1760382197.149204,1502036.000,50592,3,PG,1,100,9007
1760382197.189203,1502076.000,50592,3,PG,1,100,8999
1760382197.229202,1502116.000,50608,2,PG,1,100,9011
1760382197.269202,1502156.000,50608,2,PG,1,100,9004
1760382197.309201,1502196.000,50626,3,PG,1,100,8997
1760382197.349200,1502236.000,50626,3,PG,1,100,9008
1760382197.389199,1502276.000,50626,3,PG,1,100,9004
1760382197.429199,1502316.000,50640,2,PG,1,100,9007
1760382197.469198,1502356.000,50640,2,PG,1,100,9007
1760382197.509197,1502396.000,50657,3,PG,1,100,8997
1760382197.549196,1502436.000,50657,3,PG,1,100,8994
1760382197.589195,1502476.000,50657,3,PG,1,100,8995
1760382197.629194,1502516.000,50674,2,PG,1,100,8987
1760382197.669194,1502556.000,50674,2,PG,1,100,8983
1760382197.709193,1502596.000,50691,3,PG,1,100,8987
1760382197.749192,1502636.000,50691,3,PG,1,100,8988
1760382197.789191,1502676.000,50691,3,PG,1,100,8984
1760382197.829191,1502716.000,50706,2,PG,1,100,8996
1760382197.869190,1502756.000,50706,2,PG,1,100,8994
1760382197.909189,1502796.000,50723,3,PG,1,100,8991
1760382197.949188,1502836.000,50723,3,PG,1,100,8991
1760382197.989187,1502876.000,50723,3,PG,1,100,8980
1760382198.028687,1502915.500,50739,2,PG,1,100,8983
1760382198.068186,1502955.000,50739,2,PG,1,100,8994
1760382198.108519,1502995.333,50756,3,PG,1,100,8999
1760382198.148851,1503035.667,50756,3,PG,1,100,8979
1760382198.189184,1503076.000,50756,3,PG,1,100,8981
1760382198.228683,1503115.500,50772,2,PG,1,100,8966
1760382198.268182,1503155.000,50772,2,PG,1,100,8971
1760382198.308181,1503195.000,50788,3,PG,1,100,8961
1760382198.348181,1503235.000,50788,3,PG,1,100,8977
1760382198.388180,1503275.000,50788,3,PG,1,100,8979
1760382198.428179,1503315.000,50806,3,PG,1,100,8973
1760382198.468178,1503355.000,50806,3,PG,1,100,8973
1760382198.508178,1503395.000,50806,3,PG,1,100,8965
1760382198.548177,1503435.000,50823,2,PG,1,100,8959
1760382198.588176,1503475.000,50823,2,PG,1,100,8964
1760382198.628175,1503515.000,50840,3,PG,1,100,8971
1760382198.668174,1503555.000,50840,3,PG,1,100,8955
1760382198.708174,1503595.000,50840,3,PG,1,100,8968
1760382198.748173,1503635.000,50855,2,PG,1,100,8956
1760382198.788172,1503675.000,50855,2,PG,1,100,8954
1760382198.828171,1503715.000,50871,3,PG,1,100,8951
1760382198.868170,1503755.000,50871,3,PG,1,100,8949
1760382198.908170,1503795.000,50871,3,PG,1,100,8955
1760382198.948169,1503835.000,50889,2,PG,1,100,8944
1760382198.988168,1503875.000,50889,2,PG,1,100,8954
1760382199.028167,1503915.000,50905,3,PG,1,100,8941
1760382199.068167,1503955.000,50905,3,PG,1,100,8947
1760382199.108166,1503995.000,50905,3,PG,1,100,8952
1760382199.148165,1504035.000,50920,2,PG,1,100,8945
1760382199.188164,1504075.000,50920,2,PG,1,100,8948
1760382199.228163,1504115.000,50936,3,PG,1,100,8950
1760382199.268163,1504155.000,50936,3,PG,1,100,8952
1760382199.308162,1504195.000,50936,3,PG,1,100,8940
1760382199.348161,1504235.000,50954,2,PG,1,100,8944
1760382199.388160,1504275.000,50954,2,PG,1,100,8943
1760382199.428160,1504315.000,50970,3,PG,1,100,8936
1760382199.468159,1504355.000,50970,3,PG,1,100,8919
1760382199.508158,1504395.000,50970,3,PG,1,100,8928
1760382199.548157,1504435.000,50985,3,PG,1,100,8918
1760382199.588156,1504475.000,50985,3,PG,1,100,8928
1760382199.628156,1504515.000,50985,3,PG,1,100,8928
1760382199.668155,1504555.000,51002,2,PG,1,100,8947
1760382199.708154,1504595.000,51002,2,PG,1,100,8940
1760382199.748153,1504635.000,51019,3,PG,1,100,8933
1760382199.788153,1504675.000,51019,3,PG,1,100,8927
1760382199.828152,1504715.000,51019,3,PG,1,100,8928
1760382199.868151,1504755.000,51035,2,PG,1,100,8934
1760382199.908150,1504795.000,51035,2,PG,1,100,8931
1760382199.948149,1504835.000,51052,3,PG,1,100,8932
1760382199.988149,1504875.000,51052,3,PG,1,100,8924
1760382200.028148,1504915.000,51052,3,PG,1,100,8931
1760382200.068147,1504955.000,51067,2,PG,1,100,8921
1760382200.108146,1504995.000,51067,2,PG,1,100,8911
1760382200.148146,1505035.000,51084,3,PG,1,100,8921
1760382200.188145,1505075.000,51084,3,PG,1,100,8920
1760382200.228144,1505115.000,51084,3,PG,1,100,8923
1760382200.268143,1505155.000,51103,2,PG,1,100,8919
1760382200.308143,1505195.000,51103,2,PG,1,100,8920
1760382200.348142,1505235.000,51120,3,PG,1,100,8901
1760382200.388141,1505275.000,51120,3,PG,1,100,8913
1760382200.428140,1505315.000,51120,3,PG,1,100,8913
1760382200.468139,1505355.000,51134,2,PG,1,100,8918
1760382200.508139,1505395.000,51134,2,PG,1,100,8918
1760382200.548138,1505435.000,51151,3,PG,1,100,8919
1760382200.588137,1505475.000,51151,3,PG,1,100,8907
1760382200.628136,1505515.000,51151,3,PG,1,100,8912
1760382200.668136,1505555.000,51168,2,PG,1,100,8909
1760382200.708135,1505595.000,51168,2,PG,1,100,8898
1760382200.748134,1505635.000,51185,3,PG,1,100,8902
1760382200.788133,1505675.000,51185,3,PG,1,100,8901
1760382200.828132,1505715.000,51185,3,PG,1,100,8893
1760382200.868132,1505755.000,51199,2,PG,1,100,8909
1760382200.908131,1505795.000,51199,2,PG,1,100,8906
1760382200.948130,1505835.000,51222,5,PG,1,100,8905
1760382200.988129,1505875.000,51222,5,PG,1,100,8890
1760382201.028129,1505915.000,51222,5,PG,1,100,8890
1760382201.068128,1505955.000,51222,5,PG,1,100,8880
1760382201.108127,1505995.000,51222,5,PG,1,100,8908
1760382201.148126,1506035.000,51239,2,PG,1,100,8905
1760382201.188126,1506075.000,51239,2,PG,1,100,8891
1760382201.228125,1506115.000,51255,3,PG,1,100,8900
1760382201.268124,1506155.000,51255,3,PG,1,100,8898
1760382201.308123,1506195.000,51255,3,PG,1,100,8900
1760382201.348122,1506235.000,51273,2,PG,1,100,8888
1760382201.388122,1506275.000,51273,2,PG,1,100,8889
1760382201.428121,1506315.000,51289,3,PG,1,100,8882
1760382201.468120,1506355.000,51289,3,PG,1,100,8893
1760382201.508119,1506395.000,51289,3,PG,1,100,8895
1760382201.548119,1506435.000,51305,3,PG,1,100,8890
1760382201.588118,1506475.000,51305,3,PG,1,100,8879
1760382201.628117,1506515.000,51305,3,PG,1,100,8886
1760382201.668116,1506555.000,51321,2,PG,1,100,8884
1760382201.708115,1506595.000,51321,2,PG,1,100,8876
1760382201.748115,1506635.000,51338,3,PG,1,100,8886
1760382201.788114,1506675.000,51338,3,PG,1,100,8884
1760382201.828113,1506715.000,51338,3,PG,1,100,8884
1760382201.868112,1506755.000,51354,2,PG,1,100,8876
1760382201.908112,1506795.000,51354,2,PG,1,100,8880
1760382201.948111,1506835.000,51371,3,PG,1,100,8870
1760382201.988110,1506875.000,51371,3,PG,1,100,8876
1760382202.028109,1506915.000,51371,3,PG,1,100,8870
1760382202.068108,1506955.000,51388,2,PG,1,100,8887
1760382202.108108,1506995.000,51388,2,PG,1,100,8882
1760382202.148107,1507035.000,51407,3,PG,1,100,8873
1760382202.188106,1507075.000,51407,3,PG,1,100,8858
1760382202.228105,1507115.000,51407,3,PG,1,100,8862
1760382202.268105,1507155.000,51424,2,PG,1,100,8858
1760382202.308104,1507195.000,51424,2,PG,1,100,8867
1760382202.348103,1507235.000,51441,3,PG,1,100,8872
1760382202.388102,1507275.000,51441,3,PG,1,100,8872
1760382202.428102,1507315.000,51441,3,PG,1,100,8869
1760382202.468101,1507355.000,51455,3,PG,1,100,8852
1760382202.508100,1507395.000,51455,3,PG,1,100,8843
1760382202.548099,1507435.000,51455,3,PG,1,100,8853
1760382202.588098,1507475.000,51472,2,PG,1,100,8851
1760382202.628098,1507515.000,51472,2,PG,1,100,8855
1760382202.668097,1507555.000,51489,3,PG,1,100,8844
1760382202.708096,1507595.000,51489,3,PG,1,100,8850
