LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760382196.669213,1501556.000,50505,3,PR,1,100,110459
1760382196.669213,1501556.000,50505,3,PR,1,100,110446
1760382196.669213,1501556.000,50505,3,PR,1,100,110433
1760382196.709212,1501596.000,50522,2,PR,1,100,110453
1760382196.749212,1501636.000,50522,2,PR,1,100,110429
1760382196.789211,1501676.000,50538,3,PR,1,100,110408
1760382196.829210,1501716.000,50538,3,PR,1,100,110395
1760382196.869209,1501756.000,50538,3,PR,1,100,110427
1760382196.909209,1501796.000,50557,2,PR,1,100,110431
1760382196.949208,1501836.000,50557,2,PR,1,100,110405
1760382196.989207,1501876.000,50574,3,PR,1,100,110392
1760382197.029206,1501916.000,50574,3,PR,1,100,110391
1760382197.069205,1501956.000,50574,3,PR,1,100,110393
1760382197.109205,1501996.000,50591,3,PR,1,100,110397
1760382197.149204,1502036.000,50591,3,PR,1,100,110397
1760382197.189203,1502076.000,50591,3,PR,1,100,110388
1760382197.229202,1502116.000,50607,2,PR,1,100,110396
1760382197.269202,1502156.000,50607,2,PR,1,100,110390
1760382197.309201,1502196.000,50625,3,PR,1,100,110386
1760382197.349200,1502236.000,50625,3,PR,1,100,110385
1760382197.389199,1502276.000,50625,3,PR,1,100,110392
1760382197.429199,1502316.000,50639,2,PR,1,100,110379
1760382197.469198,1502356.000,50639,2,PR,1,100,110373
1760382197.509197,1502396.000,50656,3,PR,1,100,110367
1760382197.549196,1502436.000,50656,3,PR,1,100,110384
1760382197.589195,1502476.000,50656,3,PR,1,100,110375
1760382197.629194,1502516.000,50673,2,PR,1,100,110384
1760382197.669194,1502556.000,50673,2,PR,1,100,110391
1760382197.709193,1502596.000,50690,3,PR,1,100,110379
1760382197.749192,1502636.000,50690,3,PR,1,100,110373
1760382197.789191,1502676.000,50690,3,PR,1,100,110377
1760382197.829191,1502716.000,50705,2,PR,1,100,110401
