LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760382201.018129,1505905,51216,2,RD,1,100,TL,TU
1760382206.139030,1511026,52046,2,RD,1,100,TL,TU
1760382211.247930,1516135,52875,2,RD,1,100,TL,TU
1760382216.367831,1521255,53705,2,RD,1,100,TL,TU
1760382221.475732,1526363,54535,2,RD,1,100,TL,TU
1760382226.587633,1531475,55358,2,RD,1,100,TL,TU
1760382231.708534,1536596,56184,2,RD,1,100,TL,TU
1760382236.818434,1541706,57007,2,RD,1,100,TL,TU
1760382241.932335,1546820,57832,2,RD,1,100,TL,TU
1760382247.044236,1551932,58664,2,RD,1,100,TL,TU
1760382252.160137,1557048,59493,2,RD,1,100,TL,TU
1760382257.282037,1562170,60318,2,RD,1,100,TL,TU
1760382262.397938,1567286,61145,2,RD,1,100,TL,TU
1760382267.515839,1572404,61970,2,RD,1,100,TL,TU
1760382272.639740,1577528,62795,2,RD,1,100,TL,TU
1760382277.748640,1582637,63618,2,RD,1,100,TL,TU
1760382282.873541,1587762,64443,2,RD,1,100,TL,TU
1760382287.992442,1592881,65274,2,RD,1,100,TL,TU
1760382293.113342,1598002,566,2,RD,1,100,TL,TU
1760382298.220243,1603109,1394,2,RD,1,100,TL,TU
1760382303.328144,1608217,2223,2,RD,1,100,TL,TU
1760382308.453045,1613342,3067,2,RD,1,100,TL,TU
1760382313.563946,1618453,3890,2,RD,1,100,TL,TU
1760382318.670847,1623560,4713,2,RD,1,100,TL,TU
1760382323.779747,1628669,5543,2,RD,1,100,TL,TU
