LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760382201.016129,1505903,51214,1,TL,1,100,2025-10-13_15-03-16-033528
1760382201.043128,1505930,51217,1,TL,1,100,2025-10-13_15-03-21-035212
1760382206.136029,1511023,52044,1,TL,1,100,2025-10-13_15-03-21-160572
1760382206.163029,1511050,52047,1,TL,1,100,2025-10-13_15-03-26-149862
1760382211.245930,1516133,52873,1,TL,1,100,2025-10-13_15-03-26-272160
1760382211.259930,1516147,52876,1,TL,1,100,2025-10-13_15-03-31-253930
1760382216.365831,1521253,53703,1,TL,1,100,2025-10-13_15-03-31-380343
1760382216.381831,1521269,53706,1,TL,1,100,2025-10-13_15-03-36-375765
1760382221.473732,1526361,54533,1,TL,1,100,2025-10-13_15-03-36-504120
1760382221.487732,1526375,54536,1,TL,1,100,2025-10-13_15-03-41-482114
1760382226.581633,1531469,55356,1,TL,1,100,2025-10-13_15-03-41-607140
1760382226.599633,1531487,55359,1,TL,1,100,2025-10-13_15-03-46-594989
1760382231.706533,1536594,56182,1,TL,1,100,2025-10-13_15-03-46-723361
1760382231.726533,1536614,56185,1,TL,1,100,2025-10-13_15-03-51-716003
1760382236.816434,1541704,57005,1,TL,1,100,2025-10-13_15-03-51-834164
1760382236.829434,1541717,57008,1,TL,1,100,2025-10-13_15-03-56-823355
1760382241.927335,1546815,57830,1,TL,1,100,2025-10-13_15-03-56-985202
1760382241.979334,1546867,57833,1,TL,1,100,2025-10-13_15-04-01-940217
1760382247.042236,1551930,58662,1,TL,1,100,2025-10-13_15-04-02-068768
1760382247.071235,1551959,58665,1,TL,1,100,2025-10-13_15-04-07-055845
1760382252.158137,1557046,59491,1,TL,1,100,2025-10-13_15-04-07-169844
1760382257.278038,1562166,60314,1,TL,1,100,2025-10-13_15-04-12-184548
1760382257.280037,1562168,60316,1,TL,1,100,2025-10-13_15-04-12-311825
1760382257.303037,1562191,60319,1,TL,1,100,2025-10-13_15-04-17-291711
1760382262.395938,1567284,61143,1,TL,1,100,2025-10-13_15-04-17-430749
1760382262.407938,1567296,61146,1,TL,1,100,2025-10-13_15-04-22-402775
1760382267.510839,1572399,61968,1,TL,1,100,2025-10-13_15-04-22-565540
1760382267.526839,1572415,61971,1,TL,1,100,2025-10-13_15-04-27-520577
1760382272.636739,1577525,62793,1,TL,1,100,2025-10-13_15-04-27-685682
1760382272.653739,1577542,62796,1,TL,1,100,2025-10-13_15-04-32-650453
1760382277.746640,1582635,63616,1,TL,1,100,2025-10-13_15-04-32-795505
1760382277.773640,1582662,63619,1,TL,1,100,2025-10-13_15-04-37-758694
1760382282.868541,1587757,64441,1,TL,1,100,2025-10-13_15-04-37-882508
1760382282.899540,1587788,64444,1,TL,1,100,2025-10-13_15-04-42-888290
1760382287.987442,1592876,65272,1,TL,1,100,2025-10-13_15-04-43-033642
1760382288.032441,1592921,65275,1,TL,1,100,2025-10-13_15-04-48-026404
1760382293.107342,1597996,564,1,TL,1,100,2025-10-13_15-04-48-154238
1760382293.125342,1598014,567,1,TL,1,100,2025-10-13_15-04-53-119342
1760382298.218243,1603107,1392,1,TL,1,100,2025-10-13_15-04-53-200447
1760382298.238243,1603127,1395,1,TL,1,100,2025-10-13_15-04-58-231409
1760382303.326144,1608215,2221,1,TL,1,100,2025-10-13_15-04-58-275521
1760382303.342144,1608231,2224,1,TL,1,100,2025-10-13_15-05-03-338407
1760382308.451045,1613340,3065,1,TL,1,100,2025-10-13_15-05-03-374218
1760382308.470044,1613359,3068,1,TL,1,100,2025-10-13_15-05-08-463265
1760382313.560946,1618450,3888,1,TL,1,100,2025-10-13_15-05-08-540504
1760382313.602945,1618492,3891,1,TL,1,100,2025-10-13_15-05-13-599895
1760382318.668847,1623558,4711,1,TL,1,100,2025-10-13_15-05-13-628095
1760382318.689846,1623579,4714,1,TL,1,100,2025-10-13_15-05-18-686033
1760382323.776747,1628666,5541,1,TL,1,100,2025-10-13_15-05-18-722132
1760382323.795747,1628685,5544,1,TL,1,100,2025-10-13_15-05-23-788224
