LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760384203.421580,69234,9215,2,AK,1,100,8411,RD
1760384203.434580,69247,9218,2,AK,1,100,9216,RD
1760384208.529565,74342,10050,2,AK,1,100,9216,RD
1760384208.539565,74352,10053,2,AK,1,100,10051,RD
1760384213.661550,79474,10909,2,AK,1,100,10051,RD
1760384213.681550,79494,10912,2,AK,1,100,10910,RD
1760384218.769536,84582,11746,2,AK,1,100,10910,RD
1760384218.779535,84592,11749,2,AK,1,100,11747,RD
1760384223.880521,89693,12583,2,AK,1,100,11747,RD
1760384223.897521,89710,12586,2,AK,1,100,12584,RD
1760384229.001506,94814,13430,2,AK,1,100,12584,RD
1760384229.016506,94829,13433,2,AK,1,100,13431,RD
1760384234.106491,99919,14264,2,AK,1,100,13431,RD
1760384234.128491,99941,14267,2,AK,1,100,14265,RD
1760384239.214477,105027,15098,2,AK,1,100,14265,RD
1760384239.244476,105057,15101,2,AK,1,100,15099,RD
1760384244.347462,110160,15950,2,AK,1,100,15099,RD
1760384244.371462,110184,15953,2,AK,1,100,15951,RD
1760384249.455447,115268,16790,2,AK,1,100,15951,RD
1760384249.494447,115307,16793,2,AK,1,100,16791,RD
1760384254.563432,120376,17628,2,AK,1,100,16791,RD
1760384254.576432,120389,17631,2,AK,1,100,17629,RD
1760384259.681417,125494,18477,2,AK,1,100,17629,RD
1760384259.705417,125518,18480,2,AK,1,100,18478,RD
1760384264.788403,130601,19313,2,AK,1,100,18478,RD
1760384264.810403,130623,19316,2,AK,1,100,19314,RD
1760384269.923388,135736,20168,2,AK,1,100,19314,RD
1760384269.941388,135754,20171,2,AK,1,100,20169,RD
1760384275.034373,140847,21004,2,AK,1,100,20169,RD
1760384275.049373,140862,21007,2,AK,1,100,21005,RD
1760384280.163358,145976,21860,2,AK,1,100,21005,RD
1760384280.181358,145994,21863,2,AK,1,100,21861,RD
1760384285.274344,151087,22697,2,AK,1,100,21861,RD
1760384285.291344,151104,22700,2,AK,1,100,22698,RD
1760384290.408329,156221,23553,2,AK,1,100,22698,RD
1760384290.421329,156234,23556,2,AK,1,100,23554,RD
1760384295.517314,161330,24395,2,AK,1,100,23554,RD
1760384295.534314,161347,24398,2,AK,1,100,24396,RD
1760384300.625299,166438,25232,2,AK,1,100,24396,RD
1760384300.638299,166451,25235,2,AK,1,100,25233,RD
1760384305.747285,171560,26086,2,AK,1,100,25233,RD
1760384305.808285,171621,26089,2,AK,1,100,26087,RD
1760384310.858270,176671,26923,2,AK,1,100,26087,RD
1760384310.926270,176739,26926,2,AK,1,100,26924,RD
1760384315.969255,181782,27759,2,AK,1,100,26924,RD
1760384316.019255,181832,27762,2,AK,1,100,27760,RD
1760384321.076241,186889,28603,2,AK,1,100,27760,RD
1760384321.112241,186925,28606,2,AK,1,100,28604,RD
1760384326.184226,191997,29434,2,AK,1,100,28604,RD
1760384326.199226,192012,29437,2,AK,1,100,29435,RD
1760384331.305211,197118,30291,2,AK,1,100,29435,RD
1760384331.323211,197136,30294,2,AK,1,100,30292,RD
