LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760384206.298571,72111.000,9702,1,B%,1,100,48
1760384211.298557,77111.000,10543,1,B%,1,100,47
1760384216.297543,82110.000,11363,1,B%,1,100,47
1760384221.297528,87110.000,12181,1,B%,1,100,47
1760384226.296514,92109.000,13000,1,B%,1,100,48
1760384231.296499,97109.000,13817,1,B%,1,100,48
1760384236.295485,102108.000,14649,1,B%,1,100,48
1760384241.295470,107108.000,15468,1,B%,1,100,47
1760384246.294456,112107.000,16290,1,B%,1,100,47
1760384251.294442,117107.000,17110,1,B%,1,100,48
1760384256.293427,122106.000,17930,1,B%,1,100,48
1760384261.293413,127106.000,18766,1,B%,1,100,46
1760384266.292398,132105.000,19587,1,B%,1,100,47
1760384271.292384,137105.000,20406,1,B%,1,100,47
1760384276.291370,142104.000,21240,1,B%,1,100,47
1760384281.291355,147104.000,22065,1,B%,1,100,46
1760384286.290341,152103.000,22885,1,B%,1,100,47
1760384291.290326,157103.000,23725,1,B%,1,100,47
1760384296.289312,162102.000,24551,1,B%,1,100,47
1760384301.289298,167102.000,25371,1,B%,1,100,47
1760384306.288283,172101.000,26191,1,B%,1,100,47
1760384311.288269,177101.000,27013,1,B%,1,100,47
1760384316.287254,182100.000,27833,1,B%,1,100,46
1760384321.287240,187100.000,28655,1,B%,1,100,46
1760384326.286226,192099.000,29471,1,B%,1,100,45
1760384331.286211,197099.000,30311,1,B%,1,100,47
