LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1760384203.066581,68879.000,9151,2,EL,1,100,-11933.400391
1760384203.066581,68879.000,9151,2,EL,1,100,-11929.000000
1760384203.133580,68946.000,9168,1,EL,1,100,-11921.000000
1760384203.200080,69012.500,9184,2,EL,1,100,-11918.400391
1760384203.266580,69079.000,9184,2,EL,1,100,-11916.200195
1760384203.333580,69146.000,9204,1,EL,1,100,-11913.599609
1760384203.400080,69212.500,9223,2,EL,1,100,-11914.599609
1760384203.466579,69279.000,9223,2,EL,1,100,-11903.200195
1760384203.533579,69346.000,9240,1,EL,1,100,-11900.599609
1760384203.600079,69412.500,9257,2,EL,1,100,-11896.400391
1760384203.666579,69479.000,9257,2,EL,1,100,-11886.599609
1760384203.733579,69546.000,9274,1,EL,1,100,-11879.000000
1760384203.800079,69612.500,9288,2,EL,1,100,-11870.599609
1760384203.866578,69679.000,9288,2,EL,1,100,-11854.599609
1760384203.933578,69746.000,9305,1,EL,1,100,-11850.799805
1760384204.000078,69812.500,9322,2,EL,1,100,-11841.799805
1760384204.066578,69879.000,9322,2,EL,1,100,-11830.799805
1760384204.133578,69946.000,9341,1,EL,1,100,-11815.799805
1760384204.200078,70012.500,9355,2,EL,1,100,-11805.200195
1760384204.266577,70079.000,9355,2,EL,1,100,-11808.799805
1760384204.333577,70146.000,9373,1,EL,1,100,-11804.400391
1760384204.400077,70212.500,9389,2,EL,1,100,-11794.200195
1760384204.466577,70279.000,9389,2,EL,1,100,-11783.200195
1760384204.533576,70346.000,9406,1,EL,1,100,-11775.000000
1760384204.600076,70412.500,9424,2,EL,1,100,-11772.200195
1760384204.666576,70479.000,9424,2,EL,1,100,-11752.400391
1760384204.733576,70546.000,9440,1,EL,1,100,-11744.400391
1760384204.800076,70612.500,9456,2,EL,1,100,-11720.000000
1760384204.866575,70679.000,9456,2,EL,1,100,-11688.799805
1760384204.933075,70745.500,9476,2,EL,1,100,-11727.400391
1760384204.999575,70812.000,9476,2,EL,1,100,-11735.000000
1760384205.066575,70879.000,9492,1,EL,1,100,-11715.200195
1760384205.133075,70945.500,9507,2,EL,1,100,-11716.799805
1760384205.199574,71012.000,9507,2,EL,1,100,-11722.799805
1760384205.266574,71079.000,9523,1,EL,1,100,-11712.400391
1760384205.333074,71145.500,9541,2,EL,1,100,-11697.200195
1760384205.399574,71212.000,9541,2,EL,1,100,-11682.400391
1760384205.466574,71279.000,9559,1,EL,1,100,-11672.200195
1760384205.533074,71345.500,9574,2,EL,1,100,-11666.599609
1760384205.599573,71412.000,9574,2,EL,1,100,-11660.799805
1760384205.666573,71479.000,9591,1,EL,1,100,-11655.000000
1760384205.733073,71545.500,9608,2,EL,1,100,-11656.400391
1760384205.799573,71612.000,9608,2,EL,1,100,-11654.400391
1760384205.866573,71679.000,9624,1,EL,1,100,-11657.400391
1760384205.933072,71745.500,9640,2,EL,1,100,-11653.599609
1760384205.999572,71812.000,9640,2,EL,1,100,-11635.599609
1760384206.066572,71879.000,9656,1,EL,1,100,-11627.000000
1760384206.133072,71945.500,9673,2,EL,1,100,-11628.200195
1760384206.199572,72012.000,9673,2,EL,1,100,-11619.799805
1760384206.266572,72079.000,9691,1,EL,1,100,-11616.400391
1760384206.333071,72145.500,9709,2,EL,1,100,-11624.599609
1760384206.399571,72212.000,9709,2,EL,1,100,-11622.599609
1760384206.466571,72279.000,9725,1,EL,1,100,-11619.400391
1760384206.533071,72345.500,9742,2,EL,1,100,-11619.400391
1760384206.599571,72412.000,9742,2,EL,1,100,-11604.200195
1760384206.666570,72479.000,9759,1,EL,1,100,-11591.799805
1760384206.733070,72545.500,9775,2,EL,1,100,-11588.599609
1760384206.799570,72612.000,9775,2,EL,1,100,-11575.200195
1760384206.866570,72679.000,9790,1,EL,1,100,-11575.400391
1760384206.933069,72745.500,9808,2,EL,1,100,-11563.799805
1760384206.999569,72812.000,9808,2,EL,1,100,-11554.000000
1760384207.066069,72878.500,9824,2,EL,1,100,-11552.599609
1760384207.132569,72945.000,9824,2,EL,1,100,-11541.599609
1760384207.199569,73012.000,9843,1,EL,1,100,-11530.400391
1760384207.266069,73078.500,9858,2,EL,1,100,-11510.400391
1760384207.332568,73145.000,9858,2,EL,1,100,-11530.200195
1760384207.399568,73212.000,9875,1,EL,1,100,-11551.599609
1760384207.466068,73278.500,9891,2,EL,1,100,-11534.400391
1760384207.532568,73345.000,9891,2,EL,1,100,-11523.200195
1760384207.599568,73412.000,9908,1,EL,1,100,-11517.599609
1760384207.666067,73478.500,9923,2,EL,1,100,-11513.400391
1760384207.732567,73545.000,9923,2,EL,1,100,-11497.599609
1760384207.799567,73612.000,9940,1,EL,1,100,-11492.599609
1760384207.866067,73678.500,9956,2,EL,1,100,-11488.799805
1760384207.932567,73745.000,9956,2,EL,1,100,-11490.599609
1760384207.999567,73812.000,9974,1,EL,1,100,-11486.400391
1760384208.066066,73878.500,9988,2,EL,1,100,-11488.599609
1760384208.132566,73945.000,9988,2,EL,1,100,-11482.599609
1760384208.199566,74012.000,10005,1,EL,1,100,-11478.799805
1760384208.266066,74078.500,10022,2,EL,1,100,-11476.000000
1760384208.332566,74145.000,10022,2,EL,1,100,-11480.200195
1760384208.399565,74212.000,10039,1,EL,1,100,-11475.400391
1760384208.466065,74278.500,10060,2,EL,1,100,-11456.599609
1760384208.532565,74345.000,10060,2,EL,1,100,-11449.200195
1760384208.599565,74412.000,10077,1,EL,1,100,-11439.200195
1760384208.666065,74478.500,10094,2,EL,1,100,-11436.799805
1760384208.732564,74545.000,10094,2,EL,1,100,-11433.200195
1760384208.799564,74612.000,10111,1,EL,1,100,-11427.599609
1760384208.866064,74678.500,10126,2,EL,1,100,-11420.799805
1760384208.932564,74745.000,10126,2,EL,1,100,-11412.400391
1760384208.999564,74812.000,10145,1,EL,1,100,-11409.599609
1760384209.066063,74878.500,10161,2,EL,1,100,-11400.799805
1760384209.132563,74945.000,10161,2,EL,1,100,-11392.400391
1760384209.199563,75012.000,10178,1,EL,1,100,-11387.799805
1760384209.266063,75078.500,10195,2,EL,1,100,-11379.799805
1760384209.332563,75145.000,10195,2,EL,1,100,-11369.799805
1760384209.399062,75211.500,10212,2,EL,1,100,-11361.400391
1760384209.465562,75278.000,10212,2,EL,1,100,-11353.599609
1760384209.532562,75345.000,10228,1,EL,1,100,-11342.599609
1760384209.599062,75411.500,10246,2,EL,1,100,-11336.000000
1760384209.665562,75478.000,10246,2,EL,1,100,-11332.400391
1760384209.732562,75545.000,10262,1,EL,1,100,-11342.400391
1760384209.799061,75611.500,10277,2,EL,1,100,-11345.599609
1760384209.865561,75678.000,10277,2,EL,1,100,-11328.599609
1760384209.932561,75745.000,10293,1,EL,1,100,-11314.599609
1760384209.999061,75811.500,10311,2,EL,1,100,-11307.599609
1760384210.065561,75878.000,10311,2,EL,1,100,-11308.799805
1760384210.132560,75945.000,10327,1,EL,1,100,-11301.200195
1760384210.199060,76011.500,10344,2,EL,1,100,-11288.200195
1760384210.265560,76078.000,10344,2,EL,1,100,-11324.799805
1760384210.332560,76145.000,10361,1,EL,1,100,-11493.799805
1760384210.399060,76211.500,10378,2,EL,1,100,-11551.799805
1760384210.465559,76278.000,10378,2,EL,1,100,-11565.599609
1760384210.532559,76345.000,10396,1,EL,1,100,-11563.599609
1760384210.599059,76411.500,10412,2,EL,1,100,-11549.599609
1760384210.665559,76478.000,10412,2,EL,1,100,-11540.799805
1760384210.732558,76545.000,10428,1,EL,1,100,-11525.799805
1760384210.799058,76611.500,10445,2,EL,1,100,-11509.400391
1760384210.865558,76678.000,10445,2,EL,1,100,-11498.400391
1760384210.932558,76745.000,10463,1,EL,1,100,-11487.799805
1760384210.999058,76811.500,10479,2,EL,1,100,-11480.400391
1760384211.065558,76878.000,10479,2,EL,1,100,-11468.400391
1760384211.132557,76945.000,10495,1,EL,1,100,-11451.599609
1760384211.199057,77011.500,10512,2,EL,1,100,-11436.799805
1760384211.265557,77078.000,10512,2,EL,1,100,-11423.000000
1760384211.332557,77145.000,10531,1,EL,1,100,-11397.000000
1760384211.399057,77211.500,10549,2,EL,1,100,-11381.400391
1760384211.465556,77278.000,10549,2,EL,1,100,-11347.599609
1760384211.532556,77345.000,10564,1,EL,1,100,-11382.400391
1760384211.599056,77411.500,10582,2,EL,1,100,-11402.000000
1760384211.665556,77478.000,10582,2,EL,1,100,-11397.400391
1760384211.732056,77544.500,10598,2,EL,1,100,-11372.400391
1760384211.798556,77611.000,10598,2,EL,1,100,-11345.799805
