LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760384203.421580,69234,9216,2,RD,1,100,TL,TU
1760384208.529565,74342,10051,2,RD,1,100,TL,TU
1760384213.662550,79475,10910,2,RD,1,100,TL,TU
1760384218.769536,84582,11747,2,RD,1,100,TL,TU
1760384223.881521,89694,12584,2,RD,1,100,TL,TU
1760384229.002506,94815,13431,2,RD,1,100,TL,TU
1760384234.107491,99920,14265,2,RD,1,100,TL,TU
1760384239.214477,105027,15099,2,RD,1,100,TL,TU
1760384244.348462,110161,15951,2,RD,1,100,TL,TU
1760384249.456447,115269,16791,2,RD,1,100,TL,TU
1760384254.563432,120376,17629,2,RD,1,100,TL,TU
1760384259.681417,125494,18478,2,RD,1,100,TL,TU
1760384264.789403,130602,19314,2,RD,1,100,TL,TU
1760384269.924388,135737,20169,2,RD,1,100,TL,TU
1760384275.034373,140847,21005,2,RD,1,100,TL,TU
1760384280.163358,145976,21861,2,RD,1,100,TL,TU
1760384285.275344,151088,22698,2,RD,1,100,TL,TU
1760384290.408329,156221,23554,2,RD,1,100,TL,TU
1760384295.518314,161331,24396,2,RD,1,100,TL,TU
1760384300.625299,166438,25233,2,RD,1,100,TL,TU
1760384305.751285,171564,26087,2,RD,1,100,TL,TU
1760384310.859270,176672,26924,2,RD,1,100,TL,TU
1760384315.969255,181782,27760,2,RD,1,100,TL,TU
1760384321.076241,186889,28604,2,RD,1,100,TL,TU
1760384326.184226,191997,29435,2,RD,1,100,TL,TU
1760384331.308211,197121,30292,2,RD,1,100,TL,TU
