LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760381152.071341,456958.000,7988,1,BV,1,100,3.83
1760381157.071380,461958.000,8814,1,BV,1,100,3.83
1760381162.070419,466957.000,9632,1,BV,1,100,3.83
1760381167.070458,471957.000,10452,1,BV,1,100,3.83
1760381172.069498,476956.000,11291,1,BV,1,100,3.83
1760381177.069537,481956.000,12112,1,BV,1,100,3.82
1760381182.068576,486955.000,12933,1,BV,1,100,3.83
1760381187.068615,491955.000,13753,1,BV,1,100,3.83
1760381192.067655,496954.000,14573,1,BV,1,100,3.83
1760381197.067694,501954.000,15409,1,BV,1,100,3.83
1760381202.066733,506953.000,16214,1,BV,1,100,3.83
1760381207.066773,511953.000,17050,1,BV,1,100,3.82
1760381212.065812,516952.000,17871,1,BV,1,100,3.83
1760381217.065851,521952.000,18693,1,BV,1,100,3.82
1760381222.064890,526951.000,19511,1,BV,1,100,3.83
1760381227.064930,531951.000,20331,1,BV,1,100,3.83
1760381232.063969,536950.000,21169,1,BV,1,100,3.83
1760381237.064008,541950.000,21990,1,BV,1,100,3.82
1760381242.063047,546949.000,22810,1,BV,1,100,3.82
1760381247.063087,551949.000,23633,1,BV,1,100,3.82
1760381252.062126,556948.000,24451,1,BV,1,100,3.82
1760381257.062165,561948.000,25274,1,BV,1,100,3.82
1760381262.061204,566947.000,26093,1,BV,1,100,3.81
1760381267.061244,571947.000,26912,1,BV,1,100,3.81
1760381272.060283,576946.000,27750,1,BV,1,100,3.82
1760381277.060322,581946.000,28552,1,BV,1,100,3.83
