LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760381148.305311,453192.000,7343,2,EA,1,100,0.752559
1760381148.305311,453192.000,7343,2,EA,1,100,0.750767
1760381148.372312,453259.000,7360,1,EA,1,100,0.749712
1760381148.438812,453325.500,7375,2,EA,1,100,0.750441
1760381148.505313,453392.000,7375,2,EA,1,100,0.750117
1760381148.572313,453459.000,7394,1,EA,1,100,0.749793
1760381148.638814,453525.500,7410,2,EA,1,100,0.749550
1760381148.705314,453592.000,7410,2,EA,1,100,0.749630
1760381148.772315,453659.000,7428,1,EA,1,100,0.749387
1760381148.838815,453725.500,7442,2,EA,1,100,0.749145
1760381148.905316,453792.000,7442,2,EA,1,100,0.748660
1760381148.972317,453859.000,7459,1,EA,1,100,0.748336
1760381149.038817,453925.500,7476,2,EA,1,100,0.748336
1760381149.105317,453992.000,7476,2,EA,1,100,0.748175
1760381149.172318,454059.000,7493,1,EA,1,100,0.747530
1760381149.238818,454125.500,7509,2,EA,1,100,0.747047
1760381149.305319,454192.000,7509,2,EA,1,100,0.746886
1760381149.372319,454259.000,7526,1,EA,1,100,0.746484
1760381149.438820,454325.500,7543,2,EA,1,100,0.746162
1760381149.505321,454392.000,7543,2,EA,1,100,0.745601
1760381149.572321,454459.000,7560,1,EA,1,100,0.744720
1760381149.638822,454525.500,7575,2,EA,1,100,0.744641
1760381149.705322,454592.000,7575,2,EA,1,100,0.744081
1760381149.772323,454659.000,7592,1,EA,1,100,0.743523
1760381149.838823,454725.500,7610,2,EA,1,100,0.743125
1760381149.905324,454792.000,7610,2,EA,1,100,0.742647
1760381149.972324,454859.000,7627,1,EA,1,100,0.742408
1760381150.038825,454925.500,7643,2,EA,1,100,0.742647
1760381150.105325,454992.000,7643,2,EA,1,100,0.741773
1760381150.172326,455059.000,7659,2,EA,1,100,0.741456
1760381150.239326,455126.000,7659,2,EA,1,100,0.740032
1760381150.305327,455192.000,7675,1,EA,1,100,0.740190
1760381150.372327,455259.000,7693,2,EA,1,100,0.740506
1760381150.439328,455326.000,7693,2,EA,1,100,0.740348
1760381150.505328,455392.000,7711,1,EA,1,100,0.739874
1760381150.572329,455459.000,7726,2,EA,1,100,0.739795
1760381150.639329,455526.000,7726,2,EA,1,100,0.739795
1760381150.705330,455592.000,7742,1,EA,1,100,0.739401
1760381150.772331,455659.000,7760,2,EA,1,100,0.739164
1760381150.839331,455726.000,7760,2,EA,1,100,0.738771
1760381150.905332,455792.000,7776,1,EA,1,100,0.738220
1760381150.972332,455859.000,7791,2,EA,1,100,0.737906
1760381151.039333,455926.000,7791,2,EA,1,100,0.737514
1760381151.105333,455992.000,7810,1,EA,1,100,0.737043
1760381151.172334,456059.000,7827,2,EA,1,100,0.737200
1760381151.239334,456126.000,7827,2,EA,1,100,0.736887
1760381151.305335,456192.000,7843,1,EA,1,100,0.736183
1760381151.372335,456259.000,7859,2,EA,1,100,0.736104
1760381151.439336,456326.000,7859,2,EA,1,100,0.735636
1760381151.505336,456392.000,7875,1,EA,1,100,0.735559
1760381151.571837,456458.500,7892,2,EA,1,100,0.734934
1760381151.638337,456525.000,7892,2,EA,1,100,0.735013
1760381151.705338,456592.000,7910,1,EA,1,100,0.735090
1760381151.771838,456658.500,7926,2,EA,1,100,0.734779
1760381151.838339,456725.000,7926,2,EA,1,100,0.734623
1760381151.905339,456792.000,7942,1,EA,1,100,0.734545
1760381151.971840,456858.500,7959,2,EA,1,100,0.734468
1760381152.038341,456925.000,7959,2,EA,1,100,0.733691
1760381152.105341,456992.000,7976,1,EA,1,100,0.733226
1760381152.171842,457058.500,7999,2,EA,1,100,0.733226
1760381152.238342,457125.000,7999,2,EA,1,100,0.732683
1760381152.305343,457192.000,8016,2,EA,1,100,0.732605
1760381152.372343,457259.000,8016,2,EA,1,100,0.731755
1760381152.438344,457325.000,8034,1,EA,1,100,0.732219
1760381152.505344,457392.000,8050,2,EA,1,100,0.731061
1760381152.572345,457459.000,8050,2,EA,1,100,0.730753
1760381152.638345,457525.000,8067,1,EA,1,100,0.730984
1760381152.705346,457592.000,8082,2,EA,1,100,0.731061
1760381152.772346,457659.000,8082,2,EA,1,100,0.730523
1760381152.838347,457725.000,8099,1,EA,1,100,0.730061
1760381152.905347,457792.000,8115,2,EA,1,100,0.729600
1760381152.972348,457859.000,8115,2,EA,1,100,0.729523
1760381153.038348,457925.000,8134,1,EA,1,100,0.729830
1760381153.105349,457992.000,8149,2,EA,1,100,0.729907
1760381153.172349,458059.000,8149,2,EA,1,100,0.729677
1760381153.238350,458125.000,8166,1,EA,1,100,0.729754
1760381153.305350,458192.000,8182,2,EA,1,100,0.729293
1760381153.372351,458259.000,8182,2,EA,1,100,0.729293
1760381153.438351,458325.000,8200,1,EA,1,100,0.729370
1760381153.505352,458392.000,8214,2,EA,1,100,0.730523
1760381153.572352,458459.000,8214,2,EA,1,100,0.730753
1760381153.638353,458525.000,8231,1,EA,1,100,0.731139
1760381153.705353,458592.000,8250,2,EA,1,100,0.731447
1760381153.772354,458659.000,8250,2,EA,1,100,0.732528
1760381153.838355,458725.000,8267,1,EA,1,100,0.733303
1760381153.905355,458792.000,8281,2,EA,1,100,0.733380
1760381153.972356,458859.000,8281,2,EA,1,100,0.734312
1760381154.038356,458925.000,8298,1,EA,1,100,0.735246
1760381154.105357,458992.000,8315,2,EA,1,100,0.735949
1760381154.172357,459059.000,8315,2,EA,1,100,0.736261
1760381154.238358,459125.000,8332,1,EA,1,100,0.736183
1760381154.305358,459192.000,8349,2,EA,1,100,0.736731
1760381154.372359,459259.000,8349,2,EA,1,100,0.737200
1760381154.438359,459325.000,8366,1,EA,1,100,0.738299
1760381154.505360,459392.000,8382,2,EA,1,100,0.738535
1760381154.572360,459459.000,8382,2,EA,1,100,0.738692
1760381154.638361,459525.000,8401,1,EA,1,100,0.738456
1760381154.704861,459591.500,8417,2,EA,1,100,0.739322
1760381154.771362,459658.000,8417,2,EA,1,100,0.739243
1760381154.838362,459725.000,8433,2,EA,1,100,0.739480
1760381154.905363,459792.000,8433,2,EA,1,100,0.738849
1760381154.971364,459858.000,8449,1,EA,1,100,0.738928
1760381155.038364,459925.000,8469,2,EA,1,100,0.739322
1760381155.105365,459992.000,8469,2,EA,1,100,0.739086
1760381155.171365,460058.000,8485,1,EA,1,100,0.739086
1760381155.238366,460125.000,8500,2,EA,1,100,0.739401
1760381155.305366,460192.000,8500,2,EA,1,100,0.738928
1760381155.371367,460258.000,8516,1,EA,1,100,0.738378
1760381155.438367,460325.000,8534,2,EA,1,100,0.738063
1760381155.505368,460392.000,8534,2,EA,1,100,0.738220
