LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760380772.112527,76996.000,10606,1,B%,1,100,71
1760380777.112423,81996.000,11438,1,B%,1,100,70
1760380782.111320,86995.000,12268,1,B%,1,100,70
1760380787.111216,91995.000,13114,1,B%,1,100,71
1760380792.110113,96994.000,13942,1,B%,1,100,71
1760380797.110009,101994.000,14783,1,B%,1,100,70
1760380802.108906,106993.000,15632,1,B%,1,100,70
1760380807.108802,111993.000,16463,1,B%,1,100,70
1760380812.107699,116992.000,17315,1,B%,1,100,69
1760380817.107595,121992.000,18157,1,B%,1,100,70
1760380822.106492,126991.000,18994,1,B%,1,100,70
1760380827.106388,131991.000,19836,1,B%,1,100,69
1760380832.105285,136990.000,20672,1,B%,1,100,70
1760380837.105181,141990.000,21518,1,B%,1,100,69
1760380842.104078,146989.000,22378,1,B%,1,100,70
1760380847.103974,151989.000,23223,1,B%,1,100,70
1760380852.102871,156988.000,24063,1,B%,1,100,70
1760380857.102767,161988.000,24896,1,B%,1,100,69
1760380862.101664,166987.000,25751,1,B%,1,100,69
1760380867.101560,171987.000,26613,1,B%,1,100,69
1760380872.100457,176986.000,27461,1,B%,1,100,69
1760380877.100353,181986.000,28294,1,B%,1,100,69
1760380882.099250,186985.000,29141,1,B%,1,100,70
1760380887.099146,191985.000,29999,1,B%,1,100,69
1760380892.098042,196984.000,30845,1,B%,1,100,69
