LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1760380768.721597,73605.000,10028,1,GZ,1,100,-6.500
1760380768.761596,73645.000,10050,2,GZ,1,100,10.681
1760380768.801595,73685.000,10050,2,GZ,1,100,-1.770
1760380768.841594,73725.000,10067,3,GZ,1,100,-17.639
1760380768.881593,73765.000,10067,3,GZ,1,100,-11.841
1760380768.921593,73805.000,10067,3,GZ,1,100,-36.591
1760380768.961092,73844.500,10085,2,GZ,1,100,15.472
1760380769.000591,73884.000,10085,2,GZ,1,100,69.366
1760380769.040924,73924.333,10100,3,GZ,1,100,78.247
1760380769.081256,73964.667,10100,3,GZ,1,100,38.483
1760380769.121588,74005.000,10100,3,GZ,1,100,16.968
1760380769.161088,74044.500,10117,2,GZ,1,100,2.533
1760380769.200587,74084.000,10117,2,GZ,1,100,-12.817
1760380769.240586,74124.000,10134,3,GZ,1,100,-69.794
1760380769.280585,74164.000,10134,3,GZ,1,100,-71.686
1760380769.320585,74204.000,10134,3,GZ,1,100,-10.895
1760380769.361084,74244.500,10152,2,GZ,1,100,-27.374
1760380769.401583,74285.000,10152,2,GZ,1,100,-26.764
1760380769.441582,74325.000,10168,3,GZ,1,100,7.751
1760380769.481581,74365.000,10168,3,GZ,1,100,15.808
1760380769.521580,74405.000,10168,3,GZ,1,100,19.867
1760380769.561579,74445.000,10184,3,GZ,1,100,29.236
1760380769.601579,74485.000,10184,3,GZ,1,100,21.240
1760380769.641578,74525.000,10184,3,GZ,1,100,66.010
1760380769.681577,74565.000,10201,2,GZ,1,100,92.743
1760380769.721576,74605.000,10201,2,GZ,1,100,68.237
1760380769.761575,74645.000,10218,3,GZ,1,100,30.640
1760380769.801574,74685.000,10218,3,GZ,1,100,6.042
1760380769.841574,74725.000,10218,3,GZ,1,100,-33.142
1760380769.881573,74765.000,10234,2,GZ,1,100,-64.636
1760380769.921572,74805.000,10234,2,GZ,1,100,-107.788
1760380769.961571,74845.000,10251,3,GZ,1,100,-72.083
1760380770.001570,74885.000,10251,3,GZ,1,100,2.075
1760380770.041569,74925.000,10251,3,GZ,1,100,-6.561
