LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760380768.781596,73665,10034,2,RD,1,100,TL,TU
1760380773.888490,78772,10875,2,RD,1,100,TL,TU
1760380779.017384,83901,11741,2,RD,1,100,TL,TU
1760380784.123278,89007,12589,2,RD,1,100,TL,TU
1760380789.231172,94115,13432,2,RD,1,100,TL,TU
1760380794.359066,99243,14300,2,RD,1,100,TL,TU
1760380799.459960,104344,15159,2,RD,1,100,TL,TU
1760380804.567855,109452,16024,2,RD,1,100,TL,TU
1760380809.704748,114589,16884,2,RD,1,100,TL,TU
1760380814.812643,119697,17745,2,RD,1,100,TL,TU
1760380819.918537,124803,18602,2,RD,1,100,TL,TU
1760380825.054430,129939,19473,2,RD,1,100,TL,TU
1760380830.160325,135045,20328,2,RD,1,100,TL,TU
1760380835.269219,140154,21186,2,RD,1,100,TL,TU
1760380840.398113,145283,22069,2,RD,1,100,TL,TU
1760380845.506007,150391,22927,2,RD,1,100,TL,TU
1760380850.620901,155506,23785,2,RD,1,100,TL,TU
1760380855.746795,160632,24656,2,RD,1,100,TL,TU
1760380860.854689,165740,25519,2,RD,1,100,TL,TU
1760380865.965584,170851,26395,2,RD,1,100,TL,TU
1760380871.072478,175958,27269,2,RD,1,100,TL,TU
1760380876.180372,181066,28124,2,RD,1,100,TL,TU
1760380881.288266,186174,28982,2,RD,1,100,TL,TU
1760380886.395161,191281,29853,2,RD,1,100,TL,TU
1760380891.536054,196422,30741,2,RD,1,100,TL,TU
