LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760380780.679349,85563.000,12048,1,SR,1,100,0.066667
1760380781.012342,85896.000,12098,1,SR,1,100,0.066667
1760380781.279337,86163.000,12250,1,SR,1,100,0.733333
1760380783.612288,88496.000,12521,1,SR,1,100,0.066667
1760380783.945282,88829.000,12595,1,SR,1,100,0.133333
1760380792.544104,97428.000,14012,1,SR,1,100,0.066667
1760380793.211090,98095.000,14133,1,SR,1,100,0.066667
1760380795.210048,100094.000,14474,1,SR,1,100,0.066667
1760380795.877035,100761.000,14592,1,SR,1,100,0.133333
1760380796.210028,101094.000,14646,1,SR,1,100,0.133333
1760380796.544021,101428.000,14697,1,SR,1,100,0.133333
1760380796.944013,101828.000,14764,1,SR,1,100,0.066667
1760380797.943992,102828.000,14935,1,SR,1,100,0.133333
1760380798.276985,103161.000,14986,1,SR,1,100,0.133333
1760380798.542979,103427.000,15055,1,SR,1,100,0.200000
1760380798.876972,103761.000,15106,1,SR,1,100,0.200000
1760380799.210966,104095.000,15163,1,SR,1,100,0.200000
1760380799.542959,104427.000,15232,1,SR,1,100,0.200000
1760380799.876952,104761.000,15285,1,SR,1,100,0.200000
1760380800.210945,105095.000,15337,1,SR,1,100,0.200000
1760380800.542938,105427.000,15390,1,SR,1,100,0.200000
1760380800.876931,105761.000,15459,1,SR,1,100,0.200000
1760380801.209924,106094.000,15511,1,SR,1,100,0.200000
1760380801.675915,106560.000,15564,1,SR,1,100,0.066667
1760380802.009908,106894.000,15636,1,SR,1,100,0.133333
1760380802.275902,107160.000,15703,1,SR,1,100,0.200000
1760380802.609895,107494.000,15788,1,SR,1,100,0.400000
1760380803.942868,108827.000,15956,1,SR,1,100,0.133333
1760380804.342859,109227.000,16098,1,SR,1,100,0.533333
1760380810.475732,115360.000,17055,1,SR,1,100,0.133333
1760380810.741727,115626.000,17107,1,SR,1,100,0.200000
1760380811.075720,115960.000,17160,1,SR,1,100,0.200000
1760380811.408713,116293.000,17212,1,SR,1,100,0.200000
1760380811.741706,116626.000,17281,1,SR,1,100,0.200000
1760380812.074699,116959.000,17334,1,SR,1,100,0.200000
1760380812.408692,117293.000,17504,1,SR,1,100,0.933333
1760380813.474670,118359.000,17554,1,SR,1,100,0.133333
1760380813.742665,118627.000,17605,1,SR,1,100,0.200000
1760380814.074658,118959.000,17726,1,SR,1,100,0.533333
1760380815.941619,120826.000,17968,1,SR,1,100,0.066667
1760380816.141615,121026.000,18071,1,SR,1,100,0.533333
1760380817.608585,122493.000,18243,1,SR,1,100,0.066667
1760380817.808581,122693.000,18310,1,SR,1,100,0.266667
1760380818.208572,123093.000,18363,1,SR,1,100,0.200000
1760380818.674563,123559.000,18430,1,SR,1,100,0.066667
1760380818.874558,123759.000,18707,1,SR,1,100,1.600000
1760380820.607523,125492.000,18774,1,SR,1,100,0.200000
1760380822.273488,127158.000,19049,1,SR,1,100,0.200000
1760380822.607481,127492.000,19166,1,SR,1,100,0.533333
1760380824.473443,129358.000,19387,1,SR,1,100,0.066667
1760380824.673439,129558.000,19526,1,SR,1,100,0.600000
1760380825.406423,130291.000,19578,1,SR,1,100,0.200000
1760380825.740416,130625.000,19630,1,SR,1,100,0.200000
1760380826.073410,130958.000,19699,1,SR,1,100,0.200000
1760380826.406403,131291.000,19750,1,SR,1,100,0.200000
1760380827.140387,132025.000,19853,1,SR,1,100,0.133333
1760380827.540379,132425.000,19920,1,SR,1,100,0.066667
1760380827.873372,132758.000,19975,1,SR,1,100,0.066667
1760380828.206365,133091.000,20025,1,SR,1,100,0.066667
1760380830.473318,135358.000,20498,1,SR,1,100,0.600000
1760380831.206303,136091.000,20553,1,SR,1,100,0.200000
1760380831.940288,136825.000,20674,1,SR,1,100,0.133333
1760380833.339259,138224.000,20965,1,SR,1,100,0.466667
1760380833.939247,138824.000,21015,1,SR,1,100,0.200000
1760380834.673231,139558.000,21117,1,SR,1,100,0.066667
1760380835.006225,139891.000,21192,1,SR,1,100,0.133333
1760380835.406216,140291.000,21243,1,SR,1,100,0.066667
1760380835.739209,140624.000,21310,1,SR,1,100,0.133333
1760380836.006204,140891.000,21363,1,SR,1,100,0.200000
1760380836.339197,141224.000,21417,1,SR,1,100,0.200000
1760380836.672190,141557.000,21486,1,SR,1,100,0.266667
1760380837.072182,141957.000,21656,1,SR,1,100,0.800000
1760380838.805146,143690.000,21807,1,SR,1,100,0.066667
1760380839.538131,144423.000,21945,1,SR,1,100,0.066667
1760380839.872124,144757.000,21998,1,SR,1,100,0.066667
1760380840.205117,145090.000,22050,1,SR,1,100,0.066667
1760380840.538110,145423.000,22124,1,SR,1,100,0.066667
1760380840.872103,145757.000,22175,1,SR,1,100,0.133333
1760380843.005059,147890.000,22529,1,SR,1,100,0.066667
1760380843.205055,148090.000,22582,1,SR,1,100,0.200000
1760380843.539048,148424.000,22634,1,SR,1,100,0.200000
1760380844.005038,148890.000,22701,1,SR,1,100,0.066667
1760380844.339031,149224.000,22754,1,SR,1,100,0.066667
1760380844.671025,149556.000,22824,1,SR,1,100,0.133333
1760380845.004018,149889.000,22875,1,SR,1,100,0.133333
1760380845.404009,150289.000,22932,1,SR,1,100,0.066667
1760380845.604005,150489.000,23001,1,SR,1,100,0.200000
1760380846.071995,150957.000,23051,1,SR,1,100,0.066667
1760380846.403989,151289.000,23104,1,SR,1,100,0.066667
1760380849.136932,154022.000,23578,1,SR,1,100,0.133333
1760380849.404927,154290.000,23628,1,SR,1,100,0.200000
1760380849.737920,154623.000,23746,1,SR,1,100,0.600000
1760380850.470904,155356.000,23805,1,SR,1,100,0.133333
1760380850.870896,155756.000,23856,1,SR,1,100,0.066667
1760380851.203889,156089.000,23908,1,SR,1,100,0.066667
1760380851.536882,156422.000,23975,1,SR,1,100,0.066667
1760380851.870875,156756.000,24044,1,SR,1,100,0.133333
1760380852.536862,157422.000,24149,1,SR,1,100,0.133333
1760380852.936853,157822.000,24202,1,SR,1,100,0.066667
1760380856.269784,161155.000,24795,1,SR,1,100,0.200000
1760380856.602777,161488.000,24967,1,SR,1,100,0.933333
1760380857.670755,162556.000,25020,1,SR,1,100,0.133333
1760380858.735733,163621.000,25188,1,SR,1,100,0.066667
1760380859.069726,163955.000,25258,1,SR,1,100,0.133333
1760380859.335721,164221.000,25311,1,SR,1,100,0.200000
1760380859.803711,164689.000,25364,1,SR,1,100,0.066667
1760380860.135704,165021.000,25414,1,SR,1,100,0.066667
1760380860.469697,165355.000,25483,1,SR,1,100,0.066667
1760380860.803690,165689.000,25555,1,SR,1,100,0.133333
1760380861.069685,165955.000,25610,1,SR,1,100,0.200000
1760380861.402678,166288.000,25664,1,SR,1,100,0.200000
1760380861.736671,166622.000,25715,1,SR,1,100,0.200000
1760380862.068664,166954.000,25788,1,SR,1,100,0.200000
1760380862.402657,167288.000,25840,1,SR,1,100,0.200000
1760380862.868648,167754.000,25893,1,SR,1,100,0.066667
1760380863.202641,168088.000,25962,1,SR,1,100,0.066667
1760380863.536634,168422.000,26029,1,SR,1,100,0.133333
1760380863.802628,168688.000,26079,1,SR,1,100,0.200000
1760380864.135622,169021.000,26134,1,SR,1,100,0.200000
1760380864.469615,169355.000,26203,1,SR,1,100,0.266667
1760380864.869606,169755.000,26255,1,SR,1,100,0.133333
1760380865.269598,170155.000,26306,1,SR,1,100,0.066667
1760380865.602591,170488.000,26359,1,SR,1,100,0.066667
1760380865.935584,170821.000,26435,1,SR,1,100,0.133333
1760380866.201579,171087.000,26487,1,SR,1,100,0.200000
1760380866.535572,171421.000,26539,1,SR,1,100,0.200000
1760380866.868565,171754.000,26594,1,SR,1,100,0.200000
1760380867.601550,172487.000,26716,1,SR,1,100,0.133333
1760380868.268536,173154.000,26836,1,SR,1,100,0.200000
1760380868.601529,173487.000,26906,1,SR,1,100,0.200000
1760380869.068519,173954.000,26960,1,SR,1,100,0.066667
1760380869.734506,174620.000,27079,1,SR,1,100,0.133333
1760380870.002500,174888.000,27132,1,SR,1,100,0.200000
1760380870.334493,175220.000,27199,1,SR,1,100,0.266667
1760380870.734485,175620.000,27251,1,SR,1,100,0.133333
1760380871.002479,175888.000,27325,1,SR,1,100,0.266667
1760380873.801421,178687.000,27779,1,SR,1,100,0.200000
1760380874.134414,179020.000,27833,1,SR,1,100,0.200000
1760380874.468408,179354.000,27884,1,SR,1,100,0.200000
1760380874.801401,179687.000,27934,1,SR,1,100,0.200000
1760380875.134394,180020.000,27987,1,SR,1,100,0.133333
1760380879.067312,183953.000,28639,1,SR,1,100,0.066667
1760380879.400306,184286.000,28691,1,SR,1,100,0.066667
1760380879.733299,184619.000,28742,1,SR,1,100,0.066667
1760380880.401285,185287.000,28878,1,SR,1,100,0.133333
1760380880.733278,185619.000,28930,1,SR,1,100,0.133333
1760380881.001272,185887.000,28986,1,SR,1,100,0.200000
1760380881.334265,186220.000,29039,1,SR,1,100,0.200000
1760380882.133249,187019.000,29160,1,SR,1,100,0.066667
1760380883.533220,188419.000,29397,1,SR,1,100,0.066667
1760380883.733216,188619.000,29466,1,SR,1,100,0.266667
1760380884.133208,189019.000,29504,1,SR,1,100,0.133333
1760380884.533199,189419.000,29554,1,SR,1,100,0.066667
1760380884.866192,189752.000,29625,1,SR,1,100,0.133333
1760380885.133187,190019.000,29694,1,SR,1,100,0.200000
1760380885.466180,190352.000,29749,1,SR,1,100,0.200000
1760380885.933170,190819.000,29801,1,SR,1,100,0.066667
1760380886.266163,191152.000,29857,1,SR,1,100,0.066667
1760380886.599156,191485.000,29927,1,SR,1,100,0.066667
1760380886.933150,191819.000,29982,1,SR,1,100,0.066667
1760380889.066105,193952.000,30342,1,SR,1,100,0.066667
1760380889.266101,194152.000,30394,1,SR,1,100,0.200000
1760380889.599094,194485.000,30463,1,SR,1,100,0.266667
1760380890.000086,194886.000,30516,1,SR,1,100,0.133333
1760380890.400078,195286.000,30568,1,SR,1,100,0.066667
1760380891.000065,195886.000,30690,1,SR,1,100,0.133333
1760380893.199020,198085.000,31051,1,SR,1,100,0.066667
1760380893.465014,198351.000,31171,1,SR,1,100,0.533333
1760380894.132000,199018.000,31209,1,SR,1,100,0.133333
1760380894.398995,199285.000,31278,1,SR,1,100,0.266667
1760380894.797987,199684.000,31330,1,SR,1,100,0.133333
1760380895.197978,200084.000,31399,1,SR,1,100,0.133333
1760380895.597970,200484.000,31450,1,SR,1,100,0.066667
