LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760380768.754596,73638.000,10044,1,TH,1,100,31.397
1760380768.888593,73772.000,10061,1,TH,1,100,31.397
1760380769.021591,73905.000,10079,1,TH,1,100,31.444
1760380769.154588,74038.000,10111,1,TH,1,100,31.444
1760380769.288585,74172.000,10128,1,TH,1,100,31.431
1760380769.421582,74305.000,10146,1,TH,1,100,31.431
1760380769.554579,74438.000,10178,1,TH,1,100,31.472
1760380769.688577,74572.000,10195,1,TH,1,100,31.472
1760380769.821574,74705.000,10212,1,TH,1,100,31.360
1760380769.954571,74838.000,10245,1,TH,1,100,31.368
1760380770.088568,74972.000,10263,1,TH,1,100,31.397
1760380770.221566,75105.000,10279,1,TH,1,100,31.397
1760380770.354563,75238.000,10296,1,TH,1,100,31.399
1760380770.488560,75372.000,10328,1,TH,1,100,31.399
1760380770.621557,75505.000,10344,1,TH,1,100,31.419
1760380770.754555,75638.000,10363,1,TH,1,100,31.419
1760380770.888552,75772.000,10395,1,TH,1,100,31.504
1760380771.021549,75905.000,10411,1,TH,1,100,31.504
1760380771.154546,76038.000,10431,1,TH,1,100,31.433
1760380771.288544,76172.000,10462,1,TH,1,100,31.433
1760380771.421541,76305.000,10478,1,TH,1,100,31.402
1760380771.554538,76438.000,10496,1,TH,1,100,31.402
1760380771.687536,76571.000,10527,1,TH,1,100,31.407
1760380771.821533,76705.000,10544,1,TH,1,100,31.407
1760380771.954530,76838.000,10561,1,TH,1,100,31.448
1760380772.087527,76971.000,10595,1,TH,1,100,31.448
1760380772.221524,77105.000,10613,1,TH,1,100,31.389
1760380772.354522,77238.000,10630,1,TH,1,100,31.397
1760380772.487519,77371.000,10664,1,TH,1,100,31.370
1760380772.621516,77505.000,10680,1,TH,1,100,31.370
1760380772.754513,77638.000,10699,1,TH,1,100,31.455
1760380772.887511,77771.000,10716,1,TH,1,100,31.455
1760380773.021508,77905.000,10747,1,TH,1,100,31.411
1760380773.154505,78038.000,10765,1,TH,1,100,31.411
1760380773.287502,78171.000,10783,1,TH,1,100,31.426
1760380773.421499,78305.000,10815,1,TH,1,100,31.426
1760380773.554497,78438.000,10832,1,TH,1,100,31.416
1760380773.687494,78571.000,10848,1,TH,1,100,31.416
1760380773.821491,78705.000,10887,1,TH,1,100,31.447
1760380773.954489,78838.000,10904,1,TH,1,100,31.447
1760380774.087486,78971.000,10920,1,TH,1,100,31.418
1760380774.221483,79105.000,10940,1,TH,1,100,31.425
1760380774.354480,79238.000,10971,1,TH,1,100,31.386
