LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760380187.110419,201984.000,31544,1,BV,1,100,3.89
1760380192.110474,206984.000,32401,1,BV,1,100,3.89
1760380197.109529,211983.000,33222,1,BV,1,100,3.89
1760380202.109584,216983.000,34059,1,BV,1,100,3.89
1760380207.108639,221982.000,34876,1,BV,1,100,3.89
1760380212.108695,226982.000,35716,1,BV,1,100,3.88
1760380217.107750,231981.000,36553,1,BV,1,100,3.89
1760380222.107805,236981.000,37377,1,BV,1,100,3.88
1760380227.106861,241980.000,38219,1,BV,1,100,3.89
1760380232.106916,246980.000,39052,1,BV,1,100,3.88
1760380237.105971,251979.000,39887,1,BV,1,100,3.88
1760380242.106026,256979.000,40708,1,BV,1,100,3.88
1760380247.106082,261979.000,41551,1,BV,1,100,3.88
1760380252.105137,266978.000,42392,1,BV,1,100,3.88
1760380257.105192,271978.000,43225,1,BV,1,100,3.88
1760380262.104248,276977.000,44042,1,BV,1,100,3.88
1760380267.103303,281976.000,44878,1,BV,1,100,3.87
1760380272.103358,286976.000,45715,1,BV,1,100,3.88
1760380277.102413,291975.000,46552,1,BV,1,100,3.88
1760380282.102469,296975.000,47390,1,BV,1,100,3.88
1760380287.101524,301974.000,48229,1,BV,1,100,3.88
1760380292.101579,306974.000,49049,1,BV,1,100,3.88
1760380297.100635,311973.000,49885,1,BV,1,100,3.88
1760380302.100690,316973.000,50722,1,BV,1,100,3.87
1760380307.099745,321972.000,51560,1,BV,1,100,3.87
1760380312.099800,326972.000,52393,1,BV,1,100,3.87
1760380317.098856,331971.000,53217,1,BV,1,100,3.87
1760380322.098911,336971.000,54028,1,BV,1,100,3.88
