LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760380187.110419,201984.000,31545,1,B%,1,100,76
1760380192.110474,206984.000,32402,1,B%,1,100,75
1760380197.109529,211983.000,33223,1,B%,1,100,75
1760380202.109584,216983.000,34060,1,B%,1,100,75
1760380207.108639,221982.000,34877,1,B%,1,100,74
1760380212.108695,226982.000,35717,1,B%,1,100,74
1760380217.107750,231981.000,36554,1,B%,1,100,75
1760380222.107805,236981.000,37378,1,B%,1,100,74
1760380227.106861,241980.000,38220,1,B%,1,100,75
1760380232.106916,246980.000,39053,1,B%,1,100,74
1760380237.105971,251979.000,39888,1,B%,1,100,74
1760380242.106026,256979.000,40709,1,B%,1,100,73
1760380247.106082,261979.000,41552,1,B%,1,100,73
1760380252.105137,266978.000,42393,1,B%,1,100,74
1760380257.105192,271978.000,43226,1,B%,1,100,73
1760380262.104248,276977.000,44043,1,B%,1,100,73
1760380267.103303,281976.000,44879,1,B%,1,100,73
1760380272.103358,286976.000,45716,1,B%,1,100,73
1760380277.102413,291975.000,46553,1,B%,1,100,74
1760380282.102469,296975.000,47391,1,B%,1,100,73
1760380287.101524,301974.000,48230,1,B%,1,100,73
1760380292.101579,306974.000,49050,1,B%,1,100,73
1760380297.100635,311973.000,49886,1,B%,1,100,73
1760380302.100690,316973.000,50723,1,B%,1,100,72
1760380307.099745,321972.000,51561,1,B%,1,100,71
1760380312.099800,326972.000,52394,1,B%,1,100,72
1760380317.098856,331971.000,53218,1,B%,1,100,73
1760380322.098911,336971.000,54029,1,B%,1,100,72
