LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760380186.678414,201552.000,31549,1,SR,1,100,0.400000
1760380187.211420,202085.000,31585,1,SR,1,100,0.066667
1760380187.545423,202419.000,31652,1,SR,1,100,0.133333
1760380188.211431,203085.000,31755,1,SR,1,100,0.133333
1760380188.611435,203485.000,31840,1,SR,1,100,0.266667
1760380189.011440,203885.000,31907,1,SR,1,100,0.266667
1760380189.411444,204285.000,31959,1,SR,1,100,0.133333
1760380190.211453,205085.000,32093,1,SR,1,100,0.200000
1760380190.677458,205551.000,32161,1,SR,1,100,0.133333
1760380191.077462,205951.000,32317,1,SR,1,100,0.600000
1760380191.944472,206818.000,32367,1,SR,1,100,0.066667
1760380192.144474,207018.000,32420,1,SR,1,100,0.133333
1760380192.545479,207419.000,32472,1,SR,1,100,0.066667
1760380192.744481,207618.000,32506,1,SR,1,100,0.066667
1760380193.077484,207951.000,32676,1,SR,1,100,0.733333
1760380194.210497,209084.000,32774,1,SR,1,100,0.200000
1760380194.677502,209551.000,32828,1,SR,1,100,0.066667
1760380195.278509,210152.000,32947,1,SR,1,100,0.200000
1760380196.410521,211284.000,33119,1,SR,1,100,0.066667
1760380196.610523,211484.000,33171,1,SR,1,100,0.266667
1760380197.143529,212017.000,33240,1,SR,1,100,0.066667
1760380197.743536,212617.000,33360,1,SR,1,100,0.266667
1760380198.277542,213151.000,33429,1,SR,1,100,0.133333
1760380198.543545,213417.000,33463,1,SR,1,100,0.066667
1760380198.743547,213617.000,33515,1,SR,1,100,0.133333
1760380199.011550,213885.000,33566,1,SR,1,100,0.200000
1760380199.343554,214217.000,33599,1,SR,1,100,0.066667
1760380199.677557,214551.000,33667,1,SR,1,100,0.066667
1760380199.877560,214751.000,33736,1,SR,1,100,0.333333
1760380200.344565,215218.000,33853,1,SR,1,100,0.533333
1760380201.276575,216150.000,33937,1,SR,1,100,0.133333
1760380201.544578,216418.000,34026,1,SR,1,100,0.400000
1760380202.076584,216950.000,34095,1,SR,1,100,0.333333
1760380202.943594,217817.000,34264,1,SR,1,100,0.466667
1760380203.676602,218550.000,34348,1,SR,1,100,0.200000
1760380204.276608,219150.000,34431,1,SR,1,100,0.133333
1760380204.543611,219417.000,34499,1,SR,1,100,0.266667
1760380205.209619,220083.000,34601,1,SR,1,100,0.200000
1760380206.076628,220950.000,34734,1,SR,1,100,0.200000
1760380206.542633,221416.000,34801,1,SR,1,100,0.066667
1760380206.742635,221616.000,34844,1,SR,1,100,0.133333
1760380207.276641,222150.000,34930,1,SR,1,100,0.133333
1760380207.876648,222750.000,35047,1,SR,1,100,0.200000
1760380208.343653,223217.000,35147,1,SR,1,100,0.400000
1760380209.009660,223883.000,35215,1,SR,1,100,0.133333
1760380209.276664,224150.000,35283,1,SR,1,100,0.266667
1760380209.809669,224683.000,35334,1,SR,1,100,0.066667
1760380210.009672,224883.000,35369,1,SR,1,100,0.066667
1760380210.609678,225483.000,35504,1,SR,1,100,0.266667
1760380211.009683,225883.000,35556,1,SR,1,100,0.133333
1760380211.276686,226150.000,35608,1,SR,1,100,0.133333
1760380211.542689,226416.000,35658,1,SR,1,100,0.200000
1760380212.409698,227283.000,35786,1,SR,1,100,0.066667
1760380212.609700,227483.000,35903,1,SR,1,100,0.600000
1760380213.342709,228216.000,35972,1,SR,1,100,0.266667
1760380213.742713,228616.000,36039,1,SR,1,100,0.266667
1760380214.276719,229150.000,36092,1,SR,1,100,0.066667
1760380214.742724,229616.000,36193,1,SR,1,100,0.200000
1760380215.076728,229950.000,36231,1,SR,1,100,0.133333
1760380215.475732,230349.000,36314,1,SR,1,100,0.200000
1760380216.609745,231483.000,36497,1,SR,1,100,0.133333
1760380217.008749,231882.000,36604,1,SR,1,100,0.400000
1760380217.675756,232549.000,36674,1,SR,1,100,0.133333
1760380218.341764,233215.000,36791,1,SR,1,100,0.266667
1760380219.275774,234149.000,36923,1,SR,1,100,0.066667
1760380219.741779,234615.000,36993,1,SR,1,100,0.066667
1760380220.208784,235082.000,37093,1,SR,1,100,0.133333
1760380220.742790,235616.000,37212,1,SR,1,100,0.400000
1760380222.208807,237082.000,37454,1,SR,1,100,0.333333
1760380222.808813,237682.000,37506,1,SR,1,100,0.066667
1760380223.208817,238082.000,37590,1,SR,1,100,0.200000
1760380224.207829,239081.000,37741,1,SR,1,100,0.133333
1760380224.741835,239615.000,37844,1,SR,1,100,0.200000
1760380225.207840,240081.000,37911,1,SR,1,100,0.133333
1760380225.474843,240348.000,37962,1,SR,1,100,0.133333
1760380225.875847,240749.000,38014,1,SR,1,100,0.066667
1760380226.074849,240948.000,38065,1,SR,1,100,0.200000
1760380226.407853,241281.000,38099,1,SR,1,100,0.066667
1760380226.740857,241614.000,38168,1,SR,1,100,0.133333
1760380227.274863,242148.000,38260,1,SR,1,100,0.133333
1760380227.674867,242548.000,38360,1,SR,1,100,0.333333
1760380228.407875,243281.000,38447,1,SR,1,100,0.066667
1760380229.141883,244015.000,38682,1,SR,1,100,0.800000
1760380230.207895,245081.000,38831,1,SR,1,100,0.666667
1760380231.540910,246414.000,38966,1,SR,1,100,0.066667
1760380231.740912,246614.000,39003,1,SR,1,100,0.066667
1760380232.074916,246948.000,39056,1,SR,1,100,0.133333
1760380232.340919,247214.000,39130,1,SR,1,100,0.266667
1760380233.273929,248147.000,39278,1,SR,1,100,0.266667
1760380233.674933,248548.000,39330,1,SR,1,100,0.133333
