LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760380448.063065,462934.000,9275,1,TH,1,100,30.933
1760380448.196057,463067.000,9292,1,TH,1,100,30.933
1760380448.329049,463200.000,9308,1,TH,1,100,30.945
1760380448.463041,463334.000,9340,1,TH,1,100,30.952
1760380448.596032,463467.000,9357,1,TH,1,100,30.974
1760380448.729024,463600.000,9373,1,TH,1,100,30.974
1760380448.863016,463734.000,9407,1,TH,1,100,30.969
1760380448.996008,463867.000,9424,1,TH,1,100,30.969
1760380449.129000,464000.000,9441,1,TH,1,100,30.959
1760380449.262992,464134.000,9472,1,TH,1,100,30.959
1760380449.395984,464267.000,9489,1,TH,1,100,30.952
1760380449.528976,464400.000,9506,1,TH,1,100,30.959
1760380449.661968,464533.000,9537,1,TH,1,100,30.978
1760380449.795960,464667.000,9555,1,TH,1,100,30.978
1760380449.928952,464800.000,9571,1,TH,1,100,31.027
1760380450.061944,464933.000,9605,1,TH,1,100,31.027
1760380450.195936,465067.000,9622,1,TH,1,100,30.849
1760380450.328928,465200.000,9638,1,TH,1,100,30.849
1760380450.461920,465333.000,9656,1,TH,1,100,30.949
1760380450.595912,465467.000,9687,1,TH,1,100,30.949
1760380450.728904,465600.000,9703,1,TH,1,100,30.925
1760380450.861896,465733.000,9721,1,TH,1,100,30.925
1760380450.995888,465867.000,9752,1,TH,1,100,30.995
1760380451.128879,466000.000,9769,1,TH,1,100,31.003
1760380451.261871,466133.000,9786,1,TH,1,100,31.027
1760380451.395863,466267.000,9820,1,TH,1,100,31.027
1760380451.528855,466400.000,9836,1,TH,1,100,30.934
1760380451.661847,466533.000,9853,1,TH,1,100,30.934
1760380451.795839,466667.000,9885,1,TH,1,100,30.992
1760380451.928831,466800.000,9901,1,TH,1,100,30.992
1760380452.061823,466933.000,9920,1,TH,1,100,30.885
1760380452.195815,467067.000,9954,1,TH,1,100,30.885
1760380452.328807,467200.000,9975,1,TH,1,100,31.036
1760380452.461799,467333.000,9993,1,TH,1,100,31.036
1760380452.594791,467466.000,10009,1,TH,1,100,30.890
1760380452.728783,467600.000,10045,1,TH,1,100,30.897
1760380452.861775,467733.000,10062,1,TH,1,100,30.958
1760380452.994767,467866.000,10078,1,TH,1,100,30.958
1760380453.128758,468000.000,10110,1,TH,1,100,30.990
1760380453.261750,468133.000,10127,1,TH,1,100,30.990
1760380453.394742,468266.000,10145,1,TH,1,100,30.987
1760380453.528734,468400.000,10177,1,TH,1,100,30.987
1760380453.661726,468533.000,10194,1,TH,1,100,30.961
1760380453.794718,468666.000,10213,1,TH,1,100,30.961
1760380453.928710,468800.000,10244,1,TH,1,100,30.965
1760380454.061702,468933.000,10263,1,TH,1,100,30.965
1760380454.194694,469066.000,10280,1,TH,1,100,30.968
1760380454.328686,469200.000,10311,1,TH,1,100,30.975
1760380454.461678,469333.000,10329,1,TH,1,100,31.024
1760380454.594670,469466.000,10345,1,TH,1,100,31.024
1760380454.728662,469600.000,10364,1,TH,1,100,31.068
1760380454.861654,469733.000,10396,1,TH,1,100,31.068
1760380454.994646,469866.000,10412,1,TH,1,100,30.955
1760380455.128638,470000.000,10430,1,TH,1,100,30.955
1760380455.261630,470133.000,10463,1,TH,1,100,30.931
1760380455.394622,470266.000,10481,1,TH,1,100,30.931
1760380455.528614,470400.000,10499,1,TH,1,100,30.926
1760380455.661605,470533.000,10530,1,TH,1,100,30.933
1760380455.794597,470666.000,10547,1,TH,1,100,31.099
1760380455.928589,470800.000,10564,1,TH,1,100,31.099
1760380456.061581,470933.000,10596,1,TH,1,100,30.987
1760380456.194573,471066.000,10612,1,TH,1,100,30.987
1760380456.328565,471200.000,10629,1,TH,1,100,31.045
1760380456.461557,471333.000,10661,1,TH,1,100,31.045
1760380456.594549,471466.000,10677,1,TH,1,100,31.026
1760380456.727541,471599.000,10696,1,TH,1,100,31.026
1760380456.861533,471733.000,10713,1,TH,1,100,31.001
1760380456.994525,471866.000,10744,1,TH,1,100,31.001
1760380457.127517,471999.000,10762,1,TH,1,100,31.084
1760380457.261509,472133.000,10782,1,TH,1,100,31.091
1760380457.394501,472266.000,10819,1,TH,1,100,31.004
1760380457.527493,472399.000,10838,1,TH,1,100,31.004
1760380457.661485,472533.000,10854,1,TH,1,100,30.967
1760380457.794477,472666.000,10886,1,TH,1,100,30.967
1760380457.927469,472799.000,10905,1,TH,1,100,31.084
1760380458.061460,472933.000,10921,1,TH,1,100,31.084
1760380458.194453,473066.000,10953,1,TH,1,100,31.089
1760380458.327444,473199.000,10970,1,TH,1,100,31.096
1760380458.461436,473333.000,10987,1,TH,1,100,31.018
1760380458.594428,473466.000,11006,1,TH,1,100,31.011
1760380458.727420,473599.000,11040,1,TH,1,100,31.025
1760380458.861412,473733.000,11056,1,TH,1,100,31.033
1760380458.994404,473866.000,11073,1,TH,1,100,31.008
1760380459.127396,473999.000,11107,1,TH,1,100,31.008
1760380459.261388,474133.000,11125,1,TH,1,100,31.033
1760380459.394380,474266.000,11142,1,TH,1,100,31.033
1760380459.527372,474399.000,11174,1,TH,1,100,31.050
1760380459.660364,474532.000,11190,1,TH,1,100,31.050
1760380459.794356,474666.000,11210,1,TH,1,100,31.059
1760380459.927348,474799.000,11243,1,TH,1,100,31.059
1760380460.060340,474932.000,11259,1,TH,1,100,31.071
1760380460.194332,475066.000,11277,1,TH,1,100,31.071
1760380460.327323,475199.000,11308,1,TH,1,100,31.052
1760380460.460315,475332.000,11325,1,TH,1,100,31.059
1760380460.594307,475466.000,11344,1,TH,1,100,31.103
1760380460.727299,475599.000,11376,1,TH,1,100,31.103
1760380460.860291,475732.000,11392,1,TH,1,100,31.064
1760380460.994283,475866.000,11409,1,TH,1,100,31.064
1760380461.127275,475999.000,11428,1,TH,1,100,31.083
1760380461.260267,476132.000,11459,1,TH,1,100,31.083
1760380461.394259,476266.000,11476,1,TH,1,100,31.064
1760380461.527251,476399.000,11495,1,TH,1,100,31.071
1760380461.660243,476532.000,11528,1,TH,1,100,31.027
1760380461.794235,476666.000,11546,1,TH,1,100,31.027
1760380461.927227,476799.000,11562,1,TH,1,100,31.108
1760380462.060219,476932.000,11596,1,TH,1,100,31.107
1760380462.194211,477066.000,11615,1,TH,1,100,31.112
1760380462.327203,477199.000,11631,1,TH,1,100,31.112
1760380462.460195,477332.000,11663,1,TH,1,100,31.090
1760380462.594187,477466.000,11685,1,TH,1,100,31.090
1760380462.727179,477599.000,11701,1,TH,1,100,31.039
1760380462.860170,477732.000,11735,1,TH,1,100,31.039
1760380462.993162,477865.000,11752,1,TH,1,100,31.076
1760380463.127154,477999.000,11771,1,TH,1,100,31.083
1760380463.260146,478132.000,11790,1,TH,1,100,31.049
1760380463.393138,478265.000,11822,1,TH,1,100,31.049
1760380463.527130,478399.000,11838,1,TH,1,100,31.070
1760380463.660122,478532.000,11857,1,TH,1,100,31.070
1760380463.793114,478665.000,11889,1,TH,1,100,31.058
1760380463.927106,478799.000,11907,1,TH,1,100,31.058
1760380464.060098,478932.000,11924,1,TH,1,100,31.110
1760380464.193090,479065.000,11956,1,TH,1,100,31.109
1760380464.327082,479199.000,11972,1,TH,1,100,31.119
1760380464.460074,479332.000,11990,1,TH,1,100,31.119
1760380464.593066,479465.000,12023,1,TH,1,100,31.051
1760380464.727058,479599.000,12039,1,TH,1,100,31.058
1760380464.860049,479732.000,12057,1,TH,1,100,31.161
1760380464.993042,479865.000,12090,1,TH,1,100,31.161
1760380465.127033,479999.000,12107,1,TH,1,100,31.082
1760380465.260026,480132.000,12124,1,TH,1,100,31.082
1760380465.393017,480265.000,12142,1,TH,1,100,31.136
1760380465.527009,480399.000,12174,1,TH,1,100,31.136
1760380465.660001,480532.000,12191,1,TH,1,100,31.178
1760380465.792993,480665.000,12208,1,TH,1,100,31.177
1760380465.926985,480799.000,12241,1,TH,1,100,31.173
1760380466.059977,480932.000,12258,1,TH,1,100,31.180
1760380466.192969,481065.000,12275,1,TH,1,100,31.075
1760380466.325961,481198.000,12308,1,TH,1,100,31.075
1760380466.459953,481332.000,12326,1,TH,1,100,31.128
1760380466.592945,481465.000,12342,1,TH,1,100,31.128
1760380466.726937,481599.000,12374,1,TH,1,100,31.080
1760380466.859929,481732.000,12391,1,TH,1,100,31.080
1760380466.992921,481865.000,12407,1,TH,1,100,31.143
1760380467.125913,481998.000,12443,1,TH,1,100,31.143
1760380467.259905,482132.000,12460,1,TH,1,100,31.128
1760380467.392897,482265.000,12476,1,TH,1,100,31.136
1760380467.525888,482398.000,12508,1,TH,1,100,31.152
1760380467.659880,482532.000,12530,1,TH,1,100,31.152
1760380467.792872,482665.000,12547,1,TH,1,100,31.148
1760380467.925864,482798.000,12566,1,TH,1,100,31.148
1760380468.059856,482932.000,12598,1,TH,1,100,31.187
1760380468.192848,483065.000,12616,1,TH,1,100,31.187
1760380468.325840,483198.000,12633,1,TH,1,100,31.094
1760380468.459832,483332.000,12665,1,TH,1,100,31.094
1760380468.592824,483465.000,12683,1,TH,1,100,31.113
1760380468.725816,483598.000,12700,1,TH,1,100,31.121
1760380468.859808,483732.000,12734,1,TH,1,100,31.106
1760380468.992800,483865.000,12750,1,TH,1,100,31.106
1760380469.125792,483998.000,12768,1,TH,1,100,31.152
1760380469.259784,484132.000,12799,1,TH,1,100,31.152
1760380469.392776,484265.000,12815,1,TH,1,100,31.181
1760380469.525768,484398.000,12833,1,TH,1,100,31.181
1760380469.658760,484531.000,12866,1,TH,1,100,31.064
1760380469.792752,484665.000,12883,1,TH,1,100,31.071
1760380469.925744,484798.000,12900,1,TH,1,100,31.201
1760380470.058735,484931.000,12932,1,TH,1,100,31.201
1760380470.192727,485065.000,12950,1,TH,1,100,31.179
1760380470.325719,485198.000,12969,1,TH,1,100,31.179
1760380470.458711,485331.000,12986,1,TH,1,100,31.137
1760380470.592703,485465.000,13017,1,TH,1,100,31.137
1760380470.725695,485598.000,13034,1,TH,1,100,31.201
1760380470.858687,485731.000,13051,1,TH,1,100,31.201
1760380470.992679,485865.000,13084,1,TH,1,100,31.145
