LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760380452.349806,467221,9964,1,TL,1,100,2025-10-13_14-34-07-353036
1760380452.363805,467235,9967,1,TL,1,100,2025-10-13_14-34-12-352628
1760380457.456497,472328,10807,1,TL,1,100,2025-10-13_14-34-12-399810
1760380457.474496,472346,10810,1,TL,1,100,2025-10-13_14-34-17-466331
1760380462.580187,477452,11673,1,TL,1,100,2025-10-13_14-34-17-499202
1760380462.596186,477468,11676,1,TL,1,100,2025-10-13_14-34-22-584976
1760380467.685879,482558,12519,1,TL,1,100,2025-10-13_14-34-22-682726
1760380467.698878,482571,12522,1,TL,1,100,2025-10-13_14-34-27-693378
1760380472.793570,487666,13366,1,TL,1,100,2025-10-13_14-34-27-759043
1760380472.807569,487680,13369,1,TL,1,100,2025-10-13_14-34-32-800846
1760380477.915261,492788,14230,1,TL,1,100,2025-10-13_14-34-32-860718
1760380477.945259,492818,14233,1,TL,1,100,2025-10-13_14-34-37-935628
1760380483.024952,497898,15083,1,TL,1,100,2025-10-13_14-34-38-008240
1760380483.038951,497912,15086,1,TL,1,100,2025-10-13_14-34-43-030468
1760380488.132643,503006,15932,1,TL,1,100,2025-10-13_14-34-43-100127
1760380488.150642,503024,15935,1,TL,1,100,2025-10-13_14-34-48-140570
1760380493.252334,508126,16800,1,TL,1,100,2025-10-13_14-34-48-180309
1760380493.277332,508151,16803,1,TL,1,100,2025-10-13_14-34-53-267873
1760380498.361025,513235,17652,1,TL,1,100,2025-10-13_14-34-53-354338
1760380498.378024,513252,17655,1,TL,1,100,2025-10-13_14-34-58-370746
1760380503.468716,518343,18500,1,TL,1,100,2025-10-13_14-34-58-418188
1760380503.482716,518357,18503,1,TL,1,100,2025-10-13_14-35-03-478502
1760380508.596406,523471,19367,1,TL,1,100,2025-10-13_14-35-03-510030
1760380508.611406,523486,19370,1,TL,1,100,2025-10-13_14-35-08-607844
1760380513.704098,528579,20220,1,TL,1,100,2025-10-13_14-35-08-686957
1760380513.715097,528590,20223,1,TL,1,100,2025-10-13_14-35-13-709824
1760380518.838788,533714,21092,1,TL,1,100,2025-10-13_14-35-13-760077
1760380518.853787,533729,21095,1,TL,1,100,2025-10-13_14-35-18-846376
1760380523.946479,538822,21938,1,TL,1,100,2025-10-13_14-35-18-930472
1760380523.965478,538841,21941,1,TL,1,100,2025-10-13_14-35-23-959793
1760380529.057170,543933,22787,1,TL,1,100,2025-10-13_14-35-24-012432
1760380529.072169,543948,22790,1,TL,1,100,2025-10-13_14-35-29-067044
1760380534.193860,549070,23653,1,TL,1,100,2025-10-13_14-35-29-101615
1760380534.208859,549085,23656,1,TL,1,100,2025-10-13_14-35-34-202761
1760380539.301551,554178,24504,1,TL,1,100,2025-10-13_14-35-34-278842
1760380539.314550,554191,24507,1,TL,1,100,2025-10-13_14-35-39-313082
1760380544.434241,559311,25373,1,TL,1,100,2025-10-13_14-35-39-349860
1760380544.450240,559327,25376,1,TL,1,100,2025-10-13_14-35-44-443240
1760380549.541932,564419,26220,1,TL,1,100,2025-10-13_14-35-44-528322
1760380549.618927,564496,26223,1,TL,1,100,2025-10-13_14-35-49-614228
1760380554.649624,569527,27071,1,TL,1,100,2025-10-13_14-35-49-660846
1760380554.668622,569546,27074,1,TL,1,100,2025-10-13_14-35-54-664170
1760380559.759315,574637,27930,1,TL,1,100,2025-10-13_14-35-54-718527
1760380559.805312,574683,27933,1,TL,1,100,2025-10-13_14-35-59-771138
1760380564.867006,579745,28781,1,TL,1,100,2025-10-13_14-35-59-841550
1760380564.925003,579803,28784,1,TL,1,100,2025-10-13_14-36-04-914641
1760380569.974697,584853,29629,1,TL,1,100,2025-10-13_14-36-04-953548
1760380570.011695,584890,29632,1,TL,1,100,2025-10-13_14-36-10-007810
