LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760382021.929613,1326816,21934,2,AK,1,100,21115,RD
1760382021.945613,1326832,21937,2,AK,1,100,21935,RD
1760382027.037740,1331924,22770,2,AK,1,100,21935,RD
1760382027.067741,1331954,22773,2,AK,1,100,22771,RD
1760382032.172869,1337059,23626,2,AK,1,100,22771,RD
1760382032.196870,1337083,23629,2,AK,1,100,23627,RD
1760382037.280997,1342167,24461,2,AK,1,100,23627,RD
1760382037.299997,1342186,24464,2,AK,1,100,24462,RD
1760382042.392125,1347278,25296,2,AK,1,100,24462,RD
1760382042.421125,1347307,25299,2,AK,1,100,25297,RD
1760382047.500252,1352386,26132,2,AK,1,100,25297,RD
1760382047.516253,1352402,26135,2,AK,1,100,26133,RD
1760382052.636381,1357522,26985,2,AK,1,100,26133,RD
1760382052.651381,1357537,26988,2,AK,1,100,26986,RD
1760382057.744509,1362630,27823,2,AK,1,100,26986,RD
1760382057.760509,1362646,27826,2,AK,1,100,27824,RD
1760382062.883637,1367769,28675,2,AK,1,100,27824,RD
1760382062.916638,1367802,28678,2,AK,1,100,28676,RD
1760382067.992765,1372878,29512,2,AK,1,100,28676,RD
1760382068.010766,1372896,29515,2,AK,1,100,29513,RD
1760382073.098893,1377984,30347,2,AK,1,100,29513,RD
1760382073.118893,1378004,30350,2,AK,1,100,30348,RD
1760382078.231021,1383116,31199,2,AK,1,100,30348,RD
1760382078.262022,1383147,31202,2,AK,1,100,31200,RD
1760382083.338149,1388223,32037,2,AK,1,100,31200,RD
1760382083.365150,1388250,32040,2,AK,1,100,32038,RD
1760382088.476278,1393361,32889,2,AK,1,100,32038,RD
1760382088.492278,1393377,32892,2,AK,1,100,32890,RD
1760382093.601406,1398486,33728,2,AK,1,100,32890,RD
1760382093.618406,1398503,33731,2,AK,1,100,33729,RD
1760382098.716534,1403601,34564,2,AK,1,100,33729,RD
1760382098.729534,1403614,34567,2,AK,1,100,34565,RD
1760382103.832662,1408717,35401,2,AK,1,100,34565,RD
1760382103.848662,1408733,35404,2,AK,1,100,35402,RD
1760382108.943789,1413828,36237,2,AK,1,100,35402,RD
1760382108.968790,1413853,36240,2,AK,1,100,36238,RD
1760382114.068918,1418953,37075,2,AK,1,100,36238,RD
1760382114.088918,1418973,37078,2,AK,1,100,37076,RD
1760382119.192046,1424076,37914,2,AK,1,100,37076,RD
1760382119.219047,1424103,37917,2,AK,1,100,37915,RD
1760382124.320174,1429204,38749,2,AK,1,100,37915,RD
1760382124.346175,1429230,38752,2,AK,1,100,38750,RD
1760382129.443302,1434327,39586,2,AK,1,100,38750,RD
1760382129.458303,1434342,39589,2,AK,1,100,39587,RD
1760382134.562430,1439446,40423,2,AK,1,100,39587,RD
1760382134.590431,1439474,40426,2,AK,1,100,40424,RD
1760382139.691559,1444575,41258,2,AK,1,100,40424,RD
1760382139.725559,1444609,41261,2,AK,1,100,41259,RD
