LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760382021.984614,1326871.000,21972,1,B%,1,100,56
1760382026.984739,1331871.000,22794,1,B%,1,100,54
1760382031.983864,1336870.000,23607,1,B%,1,100,55
1760382036.983989,1341870.000,24426,1,B%,1,100,55
1760382041.983114,1346869.000,25245,1,B%,1,100,55
1760382046.983239,1351869.000,26064,1,B%,1,100,55
1760382051.982365,1356868.000,26886,1,B%,1,100,54
1760382056.982490,1361868.000,27722,1,B%,1,100,54
1760382061.981615,1366867.000,28541,1,B%,1,100,54
1760382066.981740,1371867.000,29358,1,B%,1,100,55
1760382071.980865,1376866.000,30181,1,B%,1,100,55
1760382076.980990,1381866.000,31017,1,B%,1,100,54
1760382081.980115,1386865.000,31837,1,B%,1,100,54
1760382086.980240,1391865.000,32656,1,B%,1,100,54
1760382091.979365,1396864.000,33477,1,B%,1,100,53
1760382096.979490,1401864.000,34297,1,B%,1,100,54
1760382101.978615,1406863.000,35117,1,B%,1,100,53
1760382106.978740,1411863.000,35920,1,B%,1,100,53
1760382111.977865,1416862.000,36740,1,B%,1,100,55
1760382116.977990,1421862.000,37562,1,B%,1,100,53
1760382121.977115,1426861.000,38382,1,B%,1,100,53
1760382126.977241,1431861.000,39205,1,B%,1,100,52
1760382131.976366,1436860.000,40007,1,B%,1,100,53
1760382136.976491,1441860.000,40826,1,B%,1,100,54
1760382141.975616,1446859.000,41646,1,B%,1,100,53
