LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1760382020.139568,1325026.000,21646,1,GZ,1,100,5.463
1760382020.179569,1325066.000,21662,2,GZ,1,100,3.723
1760382020.219570,1325106.000,21662,2,GZ,1,100,2.625
1760382020.259571,1325146.000,21680,3,GZ,1,100,0.641
1760382020.299572,1325186.000,21680,3,GZ,1,100,-0.549
1760382020.339573,1325226.000,21680,3,GZ,1,100,-2.014
1760382020.379574,1325266.000,21696,2,GZ,1,100,-3.845
1760382020.419575,1325306.000,21696,2,GZ,1,100,-9.674
1760382020.459576,1325346.000,21713,3,GZ,1,100,-11.169
1760382020.499577,1325386.000,21713,3,GZ,1,100,-8.301
1760382020.539578,1325426.000,21713,3,GZ,1,100,-4.120
1760382020.579579,1325466.000,21729,3,GZ,1,100,-2.106
1760382020.619580,1325506.000,21729,3,GZ,1,100,-2.686
1760382020.659581,1325546.000,21729,3,GZ,1,100,-2.777
1760382020.699582,1325586.000,21747,2,GZ,1,100,-2.380
1760382020.739583,1325626.000,21747,2,GZ,1,100,-1.556
1760382020.779584,1325666.000,21761,3,GZ,1,100,-0.641
1760382020.819585,1325706.000,21761,3,GZ,1,100,0.641
1760382020.859586,1325746.000,21761,3,GZ,1,100,0.610
1760382020.899587,1325786.000,21778,2,GZ,1,100,0.366
1760382020.939588,1325826.000,21778,2,GZ,1,100,-0.397
1760382020.979589,1325866.000,21797,3,GZ,1,100,0.122
1760382021.019590,1325906.000,21797,3,GZ,1,100,0.275
1760382021.059591,1325946.000,21797,3,GZ,1,100,-0.031
1760382021.099592,1325986.000,21814,2,GZ,1,100,0.580
1760382021.139593,1326026.000,21814,2,GZ,1,100,0.519
1760382021.179594,1326066.000,21828,3,GZ,1,100,0.702
1760382021.219595,1326106.000,21828,3,GZ,1,100,0.610
1760382021.259596,1326146.000,21828,3,GZ,1,100,-0.061
1760382021.299597,1326186.000,21846,2,GZ,1,100,0.214
1760382021.339598,1326226.000,21846,2,GZ,1,100,0.275
1760382021.379599,1326266.000,21862,3,GZ,1,100,0.610
1760382021.419600,1326306.000,21862,3,GZ,1,100,0.305
1760382021.459601,1326346.000,21862,3,GZ,1,100,0.519
1760382021.499602,1326386.000,21879,2,GZ,1,100,0.488
1760382021.539603,1326426.000,21879,2,GZ,1,100,0.488
1760382021.579604,1326466.000,21895,3,GZ,1,100,0.397
1760382021.619605,1326506.000,21895,3,GZ,1,100,0.244
1760382021.659606,1326546.000,21895,3,GZ,1,100,0.031
1760382021.699607,1326586.000,21913,3,GZ,1,100,-0.275
1760382021.739608,1326626.000,21913,3,GZ,1,100,-0.031
1760382021.779609,1326666.000,21913,3,GZ,1,100,0.671
1760382021.812610,1326699.000,21929,2,GZ,1,100,-0.153
1760382021.845611,1326732.000,21929,2,GZ,1,100,-0.031
1760382021.885945,1326772.333,21951,3,GZ,1,100,0.885
1760382021.926279,1326812.667,21951,3,GZ,1,100,-0.214
1760382021.966614,1326853.000,21951,3,GZ,1,100,0.153
1760382022.006115,1326892.500,21967,2,GZ,1,100,0.397
1760382022.045616,1326932.000,21967,2,GZ,1,100,0.305
1760382022.085950,1326972.333,21985,3,GZ,1,100,-0.183
1760382022.126284,1327012.667,21985,3,GZ,1,100,-0.031
1760382022.166619,1327053.000,21985,3,GZ,1,100,-0.153
1760382022.206620,1327093.000,22001,3,GZ,1,100,-0.305
1760382022.246621,1327133.000,22001,3,GZ,1,100,-0.244
1760382022.286622,1327173.000,22001,3,GZ,1,100,-0.061
1760382022.326623,1327213.000,22021,2,GZ,1,100,-0.214
1760382022.366624,1327253.000,22021,2,GZ,1,100,-0.214
1760382022.406291,1327292.667,22037,3,GZ,1,100,-0.214
1760382022.445959,1327332.333,22037,3,GZ,1,100,-0.244
1760382022.485627,1327372.000,22037,3,GZ,1,100,-0.061
1760382022.525628,1327412.000,22052,2,GZ,1,100,0.092
1760382022.565629,1327452.000,22052,2,GZ,1,100,0.275
1760382022.605630,1327492.000,22069,3,GZ,1,100,1.068
1760382022.645631,1327532.000,22069,3,GZ,1,100,0.977
1760382022.685632,1327572.000,22069,3,GZ,1,100,-0.153
1760382022.725633,1327612.000,22086,2,GZ,1,100,0.549
1760382022.765634,1327652.000,22086,2,GZ,1,100,0.763
1760382022.805635,1327692.000,22102,3,GZ,1,100,-0.061
1760382022.845636,1327732.000,22102,3,GZ,1,100,-0.214
1760382022.885637,1327772.000,22102,3,GZ,1,100,0.214
1760382022.925638,1327812.000,22119,2,GZ,1,100,0.244
1760382022.965639,1327852.000,22119,2,GZ,1,100,0.061
1760382023.005640,1327892.000,22136,3,GZ,1,100,0.244
1760382023.045641,1327932.000,22136,3,GZ,1,100,0.183
1760382023.085642,1327972.000,22136,3,GZ,1,100,-0.275
1760382023.125643,1328012.000,22153,2,GZ,1,100,0.061
1760382023.165644,1328052.000,22153,2,GZ,1,100,-0.153
1760382023.205645,1328092.000,22169,3,GZ,1,100,-0.214
1760382023.245646,1328132.000,22169,3,GZ,1,100,0.031
1760382023.285647,1328172.000,22169,3,GZ,1,100,-0.092
1760382023.325648,1328212.000,22185,2,GZ,1,100,0.427
1760382023.365649,1328252.000,22185,2,GZ,1,100,0.458
1760382023.405983,1328292.333,22201,3,GZ,1,100,-0.275
1760382023.446317,1328332.667,22201,3,GZ,1,100,0.122
1760382023.486652,1328373.000,22201,3,GZ,1,100,0.183
1760382023.526653,1328413.000,22218,3,GZ,1,100,0.183
1760382023.566654,1328453.000,22218,3,GZ,1,100,0.183
1760382023.606655,1328493.000,22218,3,GZ,1,100,0.214
1760382023.646656,1328533.000,22235,2,GZ,1,100,0.000
1760382023.686657,1328573.000,22235,2,GZ,1,100,0.214
1760382023.726658,1328613.000,22252,3,GZ,1,100,0.244
1760382023.766659,1328653.000,22252,3,GZ,1,100,0.244
1760382023.806660,1328693.000,22252,3,GZ,1,100,0.061
1760382023.846661,1328733.000,22268,2,GZ,1,100,0.122
1760382023.886662,1328773.000,22268,2,GZ,1,100,0.183
1760382023.926663,1328813.000,22285,3,GZ,1,100,0.092
1760382023.966664,1328853.000,22285,3,GZ,1,100,0.275
1760382024.006665,1328893.000,22285,3,GZ,1,100,0.549
1760382024.046666,1328933.000,22302,2,GZ,1,100,0.275
1760382024.086667,1328973.000,22302,2,GZ,1,100,0.641
1760382024.126668,1329013.000,22318,3,GZ,1,100,0.275
1760382024.166669,1329053.000,22318,3,GZ,1,100,-0.244
1760382024.206670,1329093.000,22318,3,GZ,1,100,0.336
1760382024.246671,1329133.000,22333,2,GZ,1,100,0.519
1760382024.286672,1329173.000,22333,2,GZ,1,100,0.305
1760382024.326673,1329213.000,22351,3,GZ,1,100,0.122
1760382024.366674,1329253.000,22351,3,GZ,1,100,0.397
1760382024.406675,1329293.000,22351,3,GZ,1,100,0.122
1760382024.446676,1329333.000,22367,2,GZ,1,100,0.092
1760382024.486677,1329373.000,22367,2,GZ,1,100,0.397
1760382024.526678,1329413.000,22386,3,GZ,1,100,0.275
1760382024.566679,1329453.000,22386,3,GZ,1,100,0.061
1760382024.606680,1329493.000,22386,3,GZ,1,100,0.000
1760382024.646681,1329533.000,22401,2,GZ,1,100,0.122
1760382024.686682,1329573.000,22401,2,GZ,1,100,0.153
1760382024.726683,1329613.000,22418,3,GZ,1,100,0.244
1760382024.766684,1329653.000,22418,3,GZ,1,100,0.366
1760382024.806685,1329693.000,22418,3,GZ,1,100,0.305
1760382024.846686,1329733.000,22434,3,GZ,1,100,0.244
1760382024.886687,1329773.000,22434,3,GZ,1,100,0.397
1760382024.926688,1329813.000,22434,3,GZ,1,100,0.183
1760382024.966689,1329853.000,22452,2,GZ,1,100,0.366
1760382025.006690,1329893.000,22452,2,GZ,1,100,0.610
1760382025.046691,1329933.000,22466,3,GZ,1,100,-0.397
1760382025.086692,1329973.000,22466,3,GZ,1,100,0.244
1760382025.126693,1330013.000,22466,3,GZ,1,100,0.336
1760382025.166694,1330053.000,22483,2,GZ,1,100,0.122
