LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760382020.233570,1325120.000,21652,3,PG,1,100,8212
1760382020.233570,1325120.000,21652,3,PG,1,100,8220
1760382020.233570,1325120.000,21652,3,PG,1,100,8219
1760382020.273571,1325160.000,21670,3,PG,1,100,8226
1760382020.313572,1325200.000,21670,3,PG,1,100,8236
1760382020.353573,1325240.000,21670,3,PG,1,100,8247
1760382020.393574,1325280.000,21688,2,PG,1,100,8260
1760382020.433575,1325320.000,21688,2,PG,1,100,8270
1760382020.473576,1325360.000,21703,3,PG,1,100,8300
1760382020.513577,1325400.000,21703,3,PG,1,100,8306
1760382020.553578,1325440.000,21703,3,PG,1,100,8316
1760382020.593579,1325480.000,21719,2,PG,1,100,8289
1760382020.633580,1325520.000,21719,2,PG,1,100,8244
1760382020.673581,1325560.000,21737,3,PG,1,100,8226
1760382020.713582,1325600.000,21737,3,PG,1,100,8222
1760382020.753583,1325640.000,21737,3,PG,1,100,8203
1760382020.793584,1325680.000,21753,2,PG,1,100,8207
1760382020.833586,1325720.000,21753,2,PG,1,100,8213
1760382020.873586,1325760.000,21768,3,PG,1,100,8201
1760382020.913587,1325800.000,21768,3,PG,1,100,8201
1760382020.953588,1325840.000,21768,3,PG,1,100,8203
1760382020.993589,1325880.000,21787,2,PG,1,100,8224
1760382021.033590,1325920.000,21787,2,PG,1,100,8240
1760382021.073591,1325960.000,21804,3,PG,1,100,8257
1760382021.113592,1326000.000,21804,3,PG,1,100,8277
1760382021.153593,1326040.000,21804,3,PG,1,100,8294
1760382021.193594,1326080.000,21820,2,PG,1,100,8273
1760382021.233595,1326120.000,21820,2,PG,1,100,8243
1760382021.273596,1326160.000,21836,3,PG,1,100,8210
1760382021.313597,1326200.000,21836,3,PG,1,100,8194
1760382021.353598,1326240.000,21836,3,PG,1,100,8175
1760382021.393600,1326280.000,21852,3,PG,1,100,8166
1760382021.433600,1326320.000,21852,3,PG,1,100,8172
1760382021.473601,1326360.000,21852,3,PG,1,100,8161
1760382021.513602,1326400.000,21869,2,PG,1,100,8173
1760382021.553603,1326440.000,21869,2,PG,1,100,8177
1760382021.593604,1326480.000,21887,3,PG,1,100,8198
1760382021.633605,1326520.000,21887,3,PG,1,100,8205
1760382021.673606,1326560.000,21887,3,PG,1,100,8212
1760382021.713607,1326600.000,21903,2,PG,1,100,8243
1760382021.753608,1326640.000,21903,2,PG,1,100,8260
1760382021.793609,1326680.000,21919,3,PG,1,100,8282
1760382021.833610,1326720.000,21919,3,PG,1,100,8286
1760382021.873611,1326760.000,21919,3,PG,1,100,8305
1760382021.913612,1326800.000,21941,2,PG,1,100,8273
1760382021.953613,1326840.000,21941,2,PG,1,100,8243
1760382021.993614,1326880.000,21958,3,PG,1,100,8211
1760382022.033615,1326920.000,21958,3,PG,1,100,8194
1760382022.073617,1326960.000,21958,3,PG,1,100,8189
1760382022.113617,1327000.000,21976,2,PG,1,100,8176
1760382022.153618,1327040.000,21976,2,PG,1,100,8175
1760382022.193619,1327080.000,21991,3,PG,1,100,8193
1760382022.233620,1327120.000,21991,3,PG,1,100,8191
1760382022.273621,1327160.000,21991,3,PG,1,100,8211
1760382022.313622,1327200.000,22011,2,PG,1,100,8239
1760382022.353623,1327240.000,22011,2,PG,1,100,8274
1760382022.393624,1327280.000,22027,3,PG,1,100,8269
1760382022.433625,1327320.000,22027,3,PG,1,100,8293
1760382022.473626,1327360.000,22027,3,PG,1,100,8316
1760382022.513627,1327400.000,22044,2,PG,1,100,8338
1760382022.553628,1327440.000,22044,2,PG,1,100,8362
1760382022.593629,1327480.000,22059,3,PG,1,100,8371
1760382022.633631,1327520.000,22059,3,PG,1,100,8345
1760382022.673631,1327560.000,22059,3,PG,1,100,8314
1760382022.713632,1327600.000,22076,2,PG,1,100,8290
1760382022.753633,1327640.000,22076,2,PG,1,100,8278
1760382022.793634,1327680.000,22092,3,PG,1,100,8267
1760382022.833635,1327720.000,22092,3,PG,1,100,8280
1760382022.873636,1327760.000,22092,3,PG,1,100,8284
1760382022.913637,1327800.000,22111,3,PG,1,100,8288
1760382022.953638,1327840.000,22111,3,PG,1,100,8307
1760382022.993639,1327880.000,22111,3,PG,1,100,8309
1760382023.033640,1327920.000,22126,2,PG,1,100,8307
1760382023.073641,1327960.000,22126,2,PG,1,100,8330
1760382023.113642,1328000.000,22143,3,PG,1,100,8340
1760382023.153643,1328040.000,22143,3,PG,1,100,8354
1760382023.193645,1328080.000,22143,3,PG,1,100,8372
1760382023.233645,1328120.000,22159,2,PG,1,100,8381
1760382023.273646,1328160.000,22159,2,PG,1,100,8406
1760382023.313648,1328200.000,22177,2,PG,1,100,8418
1760382023.353648,1328240.000,22177,2,PG,1,100,8415
1760382023.397983,1328284.333,22191,3,PG,1,100,8391
1760382023.442317,1328328.667,22191,3,PG,1,100,8362
1760382023.486652,1328373.000,22191,3,PG,1,100,8335
1760382023.526653,1328413.000,22208,3,PG,1,100,8319
1760382023.566654,1328453.000,22208,3,PG,1,100,8312
1760382023.606655,1328493.000,22208,3,PG,1,100,8342
1760382023.646656,1328533.000,22225,2,PG,1,100,8344
1760382023.686657,1328573.000,22225,2,PG,1,100,8341
1760382023.726658,1328613.000,22244,3,PG,1,100,8344
1760382023.766659,1328653.000,22244,3,PG,1,100,8369
1760382023.806660,1328693.000,22244,3,PG,1,100,8374
1760382023.846661,1328733.000,22258,2,PG,1,100,8377
1760382023.886662,1328773.000,22258,2,PG,1,100,8389
1760382023.926663,1328813.000,22275,3,PG,1,100,8410
1760382023.966664,1328853.000,22275,3,PG,1,100,8433
1760382024.006665,1328893.000,22275,3,PG,1,100,8441
1760382024.046666,1328933.000,22292,2,PG,1,100,8472
1760382024.086667,1328973.000,22292,2,PG,1,100,8478
1760382024.126668,1329013.000,22309,3,PG,1,100,8457
1760382024.166669,1329053.000,22309,3,PG,1,100,8434
1760382024.206670,1329093.000,22309,3,PG,1,100,8414
1760382024.246671,1329133.000,22324,2,PG,1,100,8407
1760382024.286672,1329173.000,22324,2,PG,1,100,8405
1760382024.326673,1329213.000,22341,3,PG,1,100,8392
1760382024.366674,1329253.000,22341,3,PG,1,100,8394
1760382024.406675,1329293.000,22341,3,PG,1,100,8398
