LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760382020.233570,1325120.000,21650,3,PI,1,100,161940
1760382020.233570,1325120.000,21650,3,PI,1,100,161949
1760382020.233570,1325120.000,21650,3,PI,1,100,161965
1760382020.273571,1325160.000,21668,3,PI,1,100,161958
1760382020.313572,1325200.000,21668,3,PI,1,100,161960
1760382020.353573,1325240.000,21668,3,PI,1,100,161994
1760382020.393574,1325280.000,21686,2,PI,1,100,162043
1760382020.433575,1325320.000,21686,2,PI,1,100,162071
1760382020.473576,1325360.000,21701,3,PI,1,100,162113
1760382020.513577,1325400.000,21701,3,PI,1,100,162141
1760382020.553578,1325440.000,21701,3,PI,1,100,162137
1760382020.593579,1325480.000,21717,2,PI,1,100,162100
1760382020.633580,1325520.000,21717,2,PI,1,100,162056
1760382020.673581,1325560.000,21735,3,PI,1,100,162048
1760382020.713582,1325600.000,21735,3,PI,1,100,162032
1760382020.753583,1325640.000,21735,3,PI,1,100,162026
1760382020.793584,1325680.000,21751,2,PI,1,100,162023
1760382020.833586,1325720.000,21751,2,PI,1,100,162034
1760382020.873586,1325760.000,21766,3,PI,1,100,162031
1760382020.913587,1325800.000,21766,3,PI,1,100,162039
1760382020.953588,1325840.000,21766,3,PI,1,100,162017
1760382020.993589,1325880.000,21785,2,PI,1,100,162063
1760382021.033590,1325920.000,21785,2,PI,1,100,162080
1760382021.073591,1325960.000,21802,3,PI,1,100,162095
1760382021.113592,1326000.000,21802,3,PI,1,100,162129
1760382021.153593,1326040.000,21802,3,PI,1,100,162143
1760382021.193594,1326080.000,21818,2,PI,1,100,162164
1760382021.233595,1326120.000,21818,2,PI,1,100,162121
1760382021.273596,1326160.000,21834,3,PI,1,100,162078
1760382021.313597,1326200.000,21834,3,PI,1,100,162059
1760382021.353598,1326240.000,21834,3,PI,1,100,162029
1760382021.393600,1326280.000,21850,3,PI,1,100,162025
1760382021.433600,1326320.000,21850,3,PI,1,100,162041
1760382021.473601,1326360.000,21850,3,PI,1,100,162028
1760382021.513602,1326400.000,21867,2,PI,1,100,162059
1760382021.553603,1326440.000,21867,2,PI,1,100,162064
1760382021.593604,1326480.000,21885,3,PI,1,100,162095
1760382021.633605,1326520.000,21885,3,PI,1,100,162100
1760382021.673606,1326560.000,21885,3,PI,1,100,162135
1760382021.713607,1326600.000,21901,2,PI,1,100,162153
1760382021.753608,1326640.000,21901,2,PI,1,100,162158
1760382021.793609,1326680.000,21917,3,PI,1,100,162192
1760382021.833610,1326720.000,21917,3,PI,1,100,162236
1760382021.873611,1326760.000,21917,3,PI,1,100,162244
1760382021.913612,1326800.000,21939,2,PI,1,100,162197
1760382021.953613,1326840.000,21939,2,PI,1,100,162151
1760382021.993614,1326880.000,21956,3,PI,1,100,162118
1760382022.033615,1326920.000,21956,3,PI,1,100,162091
1760382022.073617,1326960.000,21956,3,PI,1,100,162082
1760382022.113617,1327000.000,21974,2,PI,1,100,162080
1760382022.153618,1327040.000,21974,2,PI,1,100,162099
1760382022.193619,1327080.000,21989,3,PI,1,100,162104
1760382022.233620,1327120.000,21989,3,PI,1,100,162122
1760382022.273621,1327160.000,21989,3,PI,1,100,162129
1760382022.313622,1327200.000,22009,2,PI,1,100,162142
1760382022.353623,1327240.000,22009,2,PI,1,100,162151
1760382022.393624,1327280.000,22025,3,PI,1,100,162181
1760382022.433625,1327320.000,22025,3,PI,1,100,162212
1760382022.473626,1327360.000,22025,3,PI,1,100,162204
1760382022.513627,1327400.000,22042,2,PI,1,100,162228
1760382022.553628,1327440.000,22042,2,PI,1,100,162251
1760382022.593629,1327480.000,22057,3,PI,1,100,162270
1760382022.633631,1327520.000,22057,3,PI,1,100,162224
1760382022.673631,1327560.000,22057,3,PI,1,100,162195
1760382022.713632,1327600.000,22074,2,PI,1,100,162181
1760382022.753633,1327640.000,22074,2,PI,1,100,162179
1760382022.793634,1327680.000,22090,3,PI,1,100,162145
1760382022.833635,1327720.000,22090,3,PI,1,100,162162
1760382022.873636,1327760.000,22090,3,PI,1,100,162185
1760382022.913637,1327800.000,22109,3,PI,1,100,162193
1760382022.953638,1327840.000,22109,3,PI,1,100,162196
1760382022.993639,1327880.000,22109,3,PI,1,100,162220
1760382023.033640,1327920.000,22124,2,PI,1,100,162226
1760382023.073641,1327960.000,22124,2,PI,1,100,162251
1760382023.113642,1328000.000,22141,3,PI,1,100,162247
1760382023.153643,1328040.000,22141,3,PI,1,100,162261
1760382023.193645,1328080.000,22141,3,PI,1,100,162279
1760382023.233645,1328120.000,22157,2,PI,1,100,162300
1760382023.273646,1328160.000,22157,2,PI,1,100,162325
