LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760382020.233570,1325120.000,21651,3,PR,1,100,117689
1760382020.233570,1325120.000,21651,3,PR,1,100,117694
1760382020.233570,1325120.000,21651,3,PR,1,100,117691
1760382020.273571,1325160.000,21669,3,PR,1,100,117697
1760382020.313572,1325200.000,21669,3,PR,1,100,117699
1760382020.353573,1325240.000,21669,3,PR,1,100,117726
1760382020.393574,1325280.000,21687,2,PR,1,100,117722
1760382020.433575,1325320.000,21687,2,PR,1,100,117742
1760382020.473576,1325360.000,21702,3,PR,1,100,117785
1760382020.513577,1325400.000,21702,3,PR,1,100,117790
1760382020.553578,1325440.000,21702,3,PR,1,100,117801
1760382020.593579,1325480.000,21718,2,PR,1,100,117790
1760382020.633580,1325520.000,21718,2,PR,1,100,117777
1760382020.673581,1325560.000,21736,3,PR,1,100,117759
1760382020.713582,1325600.000,21736,3,PR,1,100,117754
1760382020.753583,1325640.000,21736,3,PR,1,100,117751
1760382020.793584,1325680.000,21752,2,PR,1,100,117744
1760382020.833586,1325720.000,21752,2,PR,1,100,117749
1760382020.873586,1325760.000,21767,3,PR,1,100,117753
1760382020.913587,1325800.000,21767,3,PR,1,100,117768
1760382020.953588,1325840.000,21767,3,PR,1,100,117772
1760382020.993589,1325880.000,21786,2,PR,1,100,117776
1760382021.033590,1325920.000,21786,2,PR,1,100,117773
1760382021.073591,1325960.000,21803,3,PR,1,100,117780
1760382021.113592,1326000.000,21803,3,PR,1,100,117787
1760382021.153593,1326040.000,21803,3,PR,1,100,117793
1760382021.193594,1326080.000,21819,2,PR,1,100,117811
1760382021.233595,1326120.000,21819,2,PR,1,100,117804
1760382021.273596,1326160.000,21835,3,PR,1,100,117793
1760382021.313597,1326200.000,21835,3,PR,1,100,117780
1760382021.353598,1326240.000,21835,3,PR,1,100,117759
1760382021.393600,1326280.000,21851,3,PR,1,100,117759
1760382021.433600,1326320.000,21851,3,PR,1,100,117762
1760382021.473601,1326360.000,21851,3,PR,1,100,117760
1760382021.513602,1326400.000,21868,2,PR,1,100,117768
1760382021.553603,1326440.000,21868,2,PR,1,100,117784
1760382021.593604,1326480.000,21886,3,PR,1,100,117773
1760382021.633605,1326520.000,21886,3,PR,1,100,117805
1760382021.673606,1326560.000,21886,3,PR,1,100,117786
1760382021.713607,1326600.000,21902,2,PR,1,100,117822
1760382021.753608,1326640.000,21902,2,PR,1,100,117829
1760382021.793609,1326680.000,21918,3,PR,1,100,117847
1760382021.833610,1326720.000,21918,3,PR,1,100,117851
1760382021.873611,1326760.000,21918,3,PR,1,100,117853
1760382021.913612,1326800.000,21940,2,PR,1,100,117827
1760382021.953613,1326840.000,21940,2,PR,1,100,117821
1760382021.993614,1326880.000,21957,3,PR,1,100,117800
1760382022.033615,1326920.000,21957,3,PR,1,100,117790
1760382022.073617,1326960.000,21957,3,PR,1,100,117783
1760382022.113617,1327000.000,21975,2,PR,1,100,117799
1760382022.153618,1327040.000,21975,2,PR,1,100,117802
1760382022.193619,1327080.000,21990,3,PR,1,100,117798
1760382022.233620,1327120.000,21990,3,PR,1,100,117796
1760382022.273621,1327160.000,21990,3,PR,1,100,117810
1760382022.313622,1327200.000,22010,2,PR,1,100,117816
1760382022.353623,1327240.000,22010,2,PR,1,100,117818
1760382022.393624,1327280.000,22026,3,PR,1,100,117829
1760382022.433625,1327320.000,22026,3,PR,1,100,117829
1760382022.473626,1327360.000,22026,3,PR,1,100,117846
1760382022.513627,1327400.000,22043,2,PR,1,100,117843
1760382022.553628,1327440.000,22043,2,PR,1,100,117837
1760382022.593629,1327480.000,22058,3,PR,1,100,117854
1760382022.633631,1327520.000,22058,3,PR,1,100,117838
1760382022.673631,1327560.000,22058,3,PR,1,100,117829
1760382022.713632,1327600.000,22075,2,PR,1,100,117833
1760382022.753633,1327640.000,22075,2,PR,1,100,117819
1760382022.793634,1327680.000,22091,3,PR,1,100,117820
1760382022.833635,1327720.000,22091,3,PR,1,100,117811
1760382022.873636,1327760.000,22091,3,PR,1,100,117815
1760382022.913637,1327800.000,22110,3,PR,1,100,117836
1760382022.953638,1327840.000,22110,3,PR,1,100,117826
1760382022.993639,1327880.000,22110,3,PR,1,100,117835
1760382023.033640,1327920.000,22125,2,PR,1,100,117825
1760382023.073641,1327960.000,22125,2,PR,1,100,117843
1760382023.113642,1328000.000,22142,3,PR,1,100,117843
1760382023.153643,1328040.000,22142,3,PR,1,100,117846
1760382023.193645,1328080.000,22142,3,PR,1,100,117853
1760382023.233645,1328120.000,22158,2,PR,1,100,117874
1760382023.273646,1328160.000,22158,2,PR,1,100,117882
1760382023.313648,1328200.000,22176,2,PR,1,100,117894
1760382023.353648,1328240.000,22176,2,PR,1,100,117868
1760382023.397983,1328284.333,22190,3,PR,1,100,117895
1760382023.442317,1328328.667,22190,3,PR,1,100,117872
1760382023.486652,1328373.000,22190,3,PR,1,100,117846
1760382023.526653,1328413.000,22207,3,PR,1,100,117862
1760382023.566654,1328453.000,22207,3,PR,1,100,117856
1760382023.606655,1328493.000,22207,3,PR,1,100,117864
1760382023.646656,1328533.000,22224,2,PR,1,100,117850
1760382023.686657,1328573.000,22224,2,PR,1,100,117855
1760382023.726658,1328613.000,22243,3,PR,1,100,117847
1760382023.766659,1328653.000,22243,3,PR,1,100,117860
1760382023.806660,1328693.000,22243,3,PR,1,100,117876
1760382023.846661,1328733.000,22257,2,PR,1,100,117881
