LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760382020.352573,1325239.000,21667,1,SF,1,100,8.7922
1760382020.752583,1325639.000,21734,1,SF,1,100,8.6905
1760382021.018590,1325905.000,21784,1,SF,1,100,8.5900
1760382021.351598,1326238.000,21833,1,SF,1,100,8.4906
1760382021.751608,1326638.000,21900,1,SF,1,100,8.3924
1760382022.018615,1326905.000,21955,1,SF,1,100,8.2953
1760382022.351623,1327238.000,22008,1,SF,1,100,8.1993
1760382022.685632,1327572.000,22056,1,SF,1,100,8.1045
1760382023.085642,1327972.000,22123,1,SF,1,100,8.0107
1760382023.351648,1328238.000,22174,1,SF,1,100,7.9181
1760382023.685657,1328572.000,22222,1,SF,1,100,7.8265
1760382024.085667,1328972.000,22289,1,SF,1,100,7.7359
1760382024.418675,1329305.000,22338,1,SF,1,100,7.6464
1760382024.684682,1329571.000,22390,1,SF,1,100,7.5580
1760382025.018690,1329905.000,22439,1,SF,1,100,7.4706
1760382025.418700,1330305.000,22504,1,SF,1,100,7.3841
1760382025.684707,1330571.000,22554,1,SF,1,100,7.2987
1760382026.018715,1330905.000,22603,1,SF,1,100,7.2143
1760382026.418725,1331305.000,22670,1,SF,1,100,7.1308
1760382026.751734,1331638.000,22720,1,SF,1,100,7.0483
1760382027.018740,1331905.000,22776,1,SF,1,100,6.9668
1760382027.351748,1332238.000,22826,1,SF,1,100,6.8862
1760382027.751758,1332638.000,22893,1,SF,1,100,6.8065
1760382028.018765,1332905.000,22944,1,SF,1,100,6.7278
1760382028.351774,1333238.000,22992,1,SF,1,100,6.6500
1760382028.684782,1333571.000,23043,1,SF,1,100,6.5731
1760382029.084792,1333971.000,23108,1,SF,1,100,6.4970
1760382029.351799,1334238.000,23160,1,SF,1,100,6.4219
1760382029.684807,1334571.000,23209,1,SF,1,100,6.3476
1760382030.084817,1334971.000,23276,1,SF,1,100,6.2741
1760382030.351824,1335238.000,23324,1,SF,1,100,6.2016
1760382030.684832,1335571.000,23374,1,SF,1,100,6.1298
1760382031.017840,1335904.000,23425,1,SF,1,100,6.0589
1760382031.417850,1336304.000,23490,1,SF,1,100,5.9888
1760382031.684857,1336571.000,23541,1,SF,1,100,5.9195
1760382032.017865,1336904.000,23589,1,SF,1,100,5.8511
1760382032.417875,1337304.000,23661,1,SF,1,100,5.7834
1760382032.684882,1337571.000,23714,1,SF,1,100,5.7165
1760382033.017890,1337904.000,23762,1,SF,1,100,5.6503
1760382033.350899,1338237.000,23811,1,SF,1,100,5.5850
1760382033.750909,1338637.000,23878,1,SF,1,100,5.5204
1760382034.017915,1338904.000,23928,1,SF,1,100,5.4565
1760382034.350924,1339237.000,23979,1,SF,1,100,5.3934
1760382034.750933,1339637.000,24044,1,SF,1,100,5.3310
1760382035.083942,1339970.000,24092,1,SF,1,100,5.2693
1760382035.350949,1340237.000,24145,1,SF,1,100,5.2084
1760382035.683957,1340570.000,24193,1,SF,1,100,5.1481
1760382036.083967,1340970.000,24258,1,SF,1,100,5.0886
1760382036.350974,1341237.000,24309,1,SF,1,100,5.0297
1760382036.683982,1341570.000,24358,1,SF,1,100,4.9715
