LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760382020.226570,1325113.000,21656,1,TH,1,100,31.685
1760382020.360574,1325247.000,21674,1,TH,1,100,31.739
1760382020.493577,1325380.000,21707,1,TH,1,100,31.739
1760382020.626580,1325513.000,21723,1,TH,1,100,31.671
1760382020.760584,1325647.000,21741,1,TH,1,100,31.671
1760382020.893587,1325780.000,21772,1,TH,1,100,31.683
1760382021.026590,1325913.000,21791,1,TH,1,100,31.690
1760382021.160594,1326047.000,21808,1,TH,1,100,31.741
1760382021.293597,1326180.000,21840,1,TH,1,100,31.741
1760382021.426600,1326313.000,21856,1,TH,1,100,31.688
1760382021.559603,1326446.000,21873,1,TH,1,100,31.688
1760382021.693607,1326580.000,21907,1,TH,1,100,31.697
1760382021.826610,1326713.000,21923,1,TH,1,100,31.697
1760382021.959614,1326846.000,21945,1,TH,1,100,31.704
1760382022.093617,1326980.000,21979,1,TH,1,100,31.704
1760382022.226620,1327113.000,21995,1,TH,1,100,31.792
1760382022.359624,1327246.000,22015,1,TH,1,100,31.792
1760382022.493627,1327380.000,22031,1,TH,1,100,31.688
1760382022.626630,1327513.000,22063,1,TH,1,100,31.688
1760382022.759634,1327646.000,22080,1,TH,1,100,31.675
1760382022.893637,1327780.000,22096,1,TH,1,100,31.675
1760382023.026640,1327913.000,22130,1,TH,1,100,31.789
1760382023.159644,1328046.000,22147,1,TH,1,100,31.789
1760382023.293647,1328180.000,22163,1,TH,1,100,31.787
1760382023.426650,1328313.000,22195,1,TH,1,100,31.787
1760382023.559654,1328446.000,22212,1,TH,1,100,31.729
1760382023.693657,1328580.000,22229,1,TH,1,100,31.729
1760382023.826660,1328713.000,22262,1,TH,1,100,31.663
1760382023.959664,1328846.000,22279,1,TH,1,100,31.663
1760382024.093667,1328980.000,22296,1,TH,1,100,31.794
1760382024.226670,1329113.000,22327,1,TH,1,100,31.794
1760382024.359674,1329246.000,22345,1,TH,1,100,31.673
1760382024.493677,1329380.000,22361,1,TH,1,100,31.673
1760382024.626680,1329513.000,22380,1,TH,1,100,31.738
1760382024.759684,1329646.000,22412,1,TH,1,100,31.738
1760382024.892687,1329779.000,22428,1,TH,1,100,31.673
1760382025.026690,1329913.000,22446,1,TH,1,100,31.680
1760382025.159694,1330046.000,22477,1,TH,1,100,31.692
1760382025.292697,1330179.000,22493,1,TH,1,100,31.685
1760382025.426700,1330313.000,22511,1,TH,1,100,31.719
1760382025.559704,1330446.000,22544,1,TH,1,100,31.726
1760382025.692707,1330579.000,22561,1,TH,1,100,31.765
1760382025.826710,1330713.000,22578,1,TH,1,100,31.765
1760382025.959714,1330846.000,22610,1,TH,1,100,31.772
1760382026.092717,1330979.000,22626,1,TH,1,100,31.772
1760382026.226720,1331113.000,22643,1,TH,1,100,31.716
1760382026.359724,1331246.000,22677,1,TH,1,100,31.716
1760382026.492727,1331379.000,22693,1,TH,1,100,31.677
1760382026.626730,1331513.000,22710,1,TH,1,100,31.677
1760382026.759734,1331646.000,22727,1,TH,1,100,31.716
1760382026.892737,1331779.000,22758,1,TH,1,100,31.716
1760382027.026740,1331913.000,22783,1,TH,1,100,31.830
1760382027.159744,1332046.000,22801,1,TH,1,100,31.830
1760382027.292747,1332179.000,22833,1,TH,1,100,31.784
1760382027.426750,1332313.000,22850,1,TH,1,100,31.784
1760382027.559754,1332446.000,22866,1,TH,1,100,31.813
1760382027.692757,1332579.000,22900,1,TH,1,100,31.813
1760382027.826760,1332713.000,22917,1,TH,1,100,31.711
1760382027.959764,1332846.000,22933,1,TH,1,100,31.711
1760382028.092767,1332979.000,22965,1,TH,1,100,31.741
1760382028.226770,1333113.000,22982,1,TH,1,100,31.741
1760382028.359774,1333246.000,22999,1,TH,1,100,31.745
1760382028.492777,1333379.000,23018,1,TH,1,100,31.745
1760382028.625780,1333512.000,23050,1,TH,1,100,31.804
1760382028.759784,1333646.000,23066,1,TH,1,100,31.804
1760382028.892787,1333779.000,23083,1,TH,1,100,31.799
1760382029.025790,1333912.000,23115,1,TH,1,100,31.799
1760382029.159794,1334046.000,23131,1,TH,1,100,31.779
1760382029.292797,1334179.000,23148,1,TH,1,100,31.779
1760382029.425800,1334312.000,23182,1,TH,1,100,31.665
1760382029.559804,1334446.000,23198,1,TH,1,100,31.665
1760382029.692807,1334579.000,23216,1,TH,1,100,31.755
1760382029.825810,1334712.000,23247,1,TH,1,100,31.755
1760382029.959814,1334846.000,23263,1,TH,1,100,31.692
1760382030.092817,1334979.000,23283,1,TH,1,100,31.699
1760382030.225820,1335112.000,23314,1,TH,1,100,31.818
1760382030.359824,1335246.000,23331,1,TH,1,100,31.818
1760382030.492827,1335379.000,23348,1,TH,1,100,31.728
1760382030.625830,1335512.000,23380,1,TH,1,100,31.728
1760382030.759834,1335646.000,23398,1,TH,1,100,31.740
1760382030.892837,1335779.000,23415,1,TH,1,100,31.740
1760382031.025840,1335912.000,23432,1,TH,1,100,31.799
1760382031.159844,1336046.000,23463,1,TH,1,100,31.799
1760382031.292847,1336179.000,23480,1,TH,1,100,31.774
1760382031.425850,1336312.000,23497,1,TH,1,100,31.774
1760382031.558854,1336445.000,23528,1,TH,1,100,31.711
