LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760382021.928613,1326815,21933,1,TL,1,100,2025-10-13_15-00-16-873629
1760382021.942613,1326829,21936,1,TL,1,100,2025-10-13_15-00-21-936613
1760382027.036741,1331923,22769,1,TL,1,100,2025-10-13_15-00-22-003253
1760382027.065741,1331952,22772,1,TL,1,100,2025-10-13_15-00-27-056545
1760382032.171869,1337058,23625,1,TL,1,100,2025-10-13_15-00-27-096492
1760382032.195870,1337082,23628,1,TL,1,100,2025-10-13_15-00-32-176149
1760382037.279997,1342166,24460,1,TL,1,100,2025-10-13_15-00-32-258729
1760382037.294997,1342181,24463,1,TL,1,100,2025-10-13_15-00-37-286657
1760382042.388124,1347274,25295,1,TL,1,100,2025-10-13_15-00-37-347901
1760382042.420125,1347306,25298,1,TL,1,100,2025-10-13_15-00-42-398939
1760382047.498252,1352384,26131,1,TL,1,100,2025-10-13_15-00-42-449677
1760382047.513253,1352399,26134,1,TL,1,100,2025-10-13_15-00-47-505347
1760382052.635381,1357521,26984,1,TL,1,100,2025-10-13_15-00-47-540049
1760382052.650381,1357536,26987,1,TL,1,100,2025-10-13_15-00-52-641840
1760382057.743509,1362629,27822,1,TL,1,100,2025-10-13_15-00-52-720904
1760382057.758509,1362644,27825,1,TL,1,100,2025-10-13_15-00-57-750495
1760382062.879637,1367765,28674,1,TL,1,100,2025-10-13_15-00-57-799015
1760382062.915638,1367801,28677,1,TL,1,100,2025-10-13_15-01-02-900502
1760382067.990765,1372876,29511,1,TL,1,100,2025-10-13_15-01-02-969080
1760382068.009765,1372895,29514,1,TL,1,100,2025-10-13_15-01-08-001902
1760382073.097893,1377983,30346,1,TL,1,100,2025-10-13_15-01-08-039719
1760382073.117893,1378003,30349,1,TL,1,100,2025-10-13_15-01-13-107111
1760382078.226021,1383111,31198,1,TL,1,100,2025-10-13_15-01-13-142802
1760382078.260022,1383145,31201,1,TL,1,100,2025-10-13_15-01-18-251791
1760382083.337149,1388222,32036,1,TL,1,100,2025-10-13_15-01-18-324570
1760382083.364150,1388249,32039,1,TL,1,100,2025-10-13_15-01-23-349914
1760382088.475277,1393360,32888,1,TL,1,100,2025-10-13_15-01-23-385191
1760382088.491278,1393376,32891,1,TL,1,100,2025-10-13_15-01-28-480783
1760382093.597406,1398482,33727,1,TL,1,100,2025-10-13_15-01-28-614288
1760382093.616406,1398501,33730,1,TL,1,100,2025-10-13_15-01-33-604537
1760382098.714534,1403599,34563,1,TL,1,100,2025-10-13_15-01-33-734568
1760382098.727534,1403612,34566,1,TL,1,100,2025-10-13_15-01-38-721011
1760382103.831662,1408716,35400,1,TL,1,100,2025-10-13_15-01-38-849613
1760382103.847662,1408732,35403,1,TL,1,100,2025-10-13_15-01-43-836479
1760382108.942790,1413827,36236,1,TL,1,100,2025-10-13_15-01-43-974736
1760382108.967790,1413852,36239,1,TL,1,100,2025-10-13_15-01-48-951371
1760382114.067918,1418952,37074,1,TL,1,100,2025-10-13_15-01-49-077374
1760382114.081918,1418966,37077,1,TL,1,100,2025-10-13_15-01-54-075418
1760382119.189046,1424073,37913,1,TL,1,100,2025-10-13_15-01-54-199460
1760382119.218046,1424102,37916,1,TL,1,100,2025-10-13_15-01-59-195951
1760382124.316174,1429200,38748,1,TL,1,100,2025-10-13_15-01-59-321987
1760382124.342175,1429226,38751,1,TL,1,100,2025-10-13_15-02-04-332545
1760382129.442302,1434326,39585,1,TL,1,100,2025-10-13_15-02-04-458317
1760382129.457303,1434341,39588,1,TL,1,100,2025-10-13_15-02-09-446110
1760382134.561430,1439445,40422,1,TL,1,100,2025-10-13_15-02-09-576120
1760382134.588431,1439472,40425,1,TL,1,100,2025-10-13_15-02-14-578019
1760382139.687558,1444571,41257,1,TL,1,100,2025-10-13_15-02-14-693051
1760382139.724560,1444608,41260,1,TL,1,100,2025-10-13_15-02-19-699180
