LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1760381794.934255,1099822.000,49411,3,AX,1,100,-1.621
1760381794.934255,1099822.000,49411,3,AX,1,100,-1.159
1760381794.934255,1099822.000,49411,3,AX,1,100,-0.766
1760381794.974589,1099862.333,49431,3,AX,1,100,-0.683
1760381795.014922,1099902.667,49431,3,AX,1,100,-0.626
1760381795.055256,1099943.000,49431,3,AX,1,100,-0.489
1760381795.094757,1099982.500,49445,2,AX,1,100,-0.379
1760381795.134257,1100022.000,49445,2,AX,1,100,-0.361
1760381795.174591,1100062.333,49462,3,AX,1,100,-0.321
1760381795.214925,1100102.667,49462,3,AX,1,100,-1.110
1760381795.255259,1100143.000,49462,3,AX,1,100,-2.531
1760381795.294759,1100182.500,49478,2,AX,1,100,-1.340
1760381795.334260,1100222.000,49478,2,AX,1,100,-0.234
1760381795.374260,1100262.000,49498,3,AX,1,100,0.227
1760381795.414261,1100302.000,49498,3,AX,1,100,0.282
1760381795.454261,1100342.000,49498,3,AX,1,100,0.733
1760381795.494262,1100382.000,49512,2,AX,1,100,1.136
1760381795.534262,1100422.000,49512,2,AX,1,100,0.679
1760381795.574263,1100462.000,49531,3,AX,1,100,0.184
1760381795.614263,1100502.000,49531,3,AX,1,100,-1.434
1760381795.654264,1100542.000,49531,3,AX,1,100,-1.365
1760381795.694264,1100582.000,49548,2,AX,1,100,-0.522
1760381795.734265,1100622.000,49548,2,AX,1,100,-0.874
1760381795.774265,1100662.000,49567,3,AX,1,100,-0.841
1760381795.814266,1100702.000,49567,3,AX,1,100,-0.595
1760381795.854266,1100742.000,49567,3,AX,1,100,-0.259
1760381795.894267,1100782.000,49582,2,AX,1,100,-0.390
1760381795.934268,1100822.000,49582,2,AX,1,100,-0.402
1760381795.974268,1100862.000,49601,3,AX,1,100,-1.341
1760381796.014268,1100902.000,49601,3,AX,1,100,-2.169
1760381796.054269,1100942.000,49601,3,AX,1,100,-1.055
1760381796.089603,1100977.333,49617,3,AX,1,100,-0.273
1760381796.124937,1101012.667,49617,3,AX,1,100,0.146
1760381796.160270,1101048.000,49617,3,AX,1,100,0.373
1760381796.200271,1101088.000,49634,2,AX,1,100,0.907
1760381796.240271,1101128.000,49634,2,AX,1,100,0.973
1760381796.280272,1101168.000,49651,3,AX,1,100,0.636
1760381796.320272,1101208.000,49651,3,AX,1,100,0.003
1760381796.360273,1101248.000,49651,3,AX,1,100,-1.488
1760381796.400773,1101288.500,49666,2,AX,1,100,-1.502
1760381796.441274,1101329.000,49666,2,AX,1,100,-0.437
1760381796.480941,1101368.667,49684,3,AX,1,100,-0.774
1760381796.520608,1101408.333,49684,3,AX,1,100,-0.711
1760381796.560275,1101448.000,49684,3,AX,1,100,-0.670
1760381796.600276,1101488.000,49701,3,AX,1,100,-0.186
1760381796.640276,1101528.000,49701,3,AX,1,100,-0.497
1760381796.680277,1101568.000,49701,3,AX,1,100,-0.438
1760381796.720277,1101608.000,49718,2,AX,1,100,-0.936
1760381796.760278,1101648.000,49718,2,AX,1,100,-2.544
1760381796.800278,1101688.000,49740,4,AX,1,100,-1.204
1760381796.840279,1101728.000,49740,4,AX,1,100,-0.176
1760381796.880279,1101768.000,49740,4,AX,1,100,0.289
1760381796.920280,1101808.000,49740,4,AX,1,100,0.375
1760381796.960280,1101848.000,49756,2,AX,1,100,0.887
1760381797.000281,1101888.000,49756,2,AX,1,100,0.765
1760381797.040281,1101928.000,49778,3,AX,1,100,0.469
1760381797.080282,1101968.000,49778,3,AX,1,100,-0.068
1760381797.120282,1102008.000,49778,3,AX,1,100,-1.216
1760381797.160283,1102048.000,49794,2,AX,1,100,-1.165
1760381797.200284,1102088.000,49794,2,AX,1,100,-0.407
1760381797.240284,1102128.000,49813,3,AX,1,100,-0.720
1760381797.280284,1102168.000,49813,3,AX,1,100,-0.906
1760381797.320285,1102208.000,49813,3,AX,1,100,-0.740
1760381797.360286,1102248.000,49829,2,AX,1,100,-0.099
1760381797.400286,1102288.000,49829,2,AX,1,100,-0.641
1760381797.440286,1102328.000,49845,3,AX,1,100,-0.487
1760381797.480287,1102368.000,49845,3,AX,1,100,-0.894
1760381797.520288,1102408.000,49845,3,AX,1,100,-2.376
1760381797.560288,1102448.000,49861,3,AX,1,100,-1.417
1760381797.600288,1102488.000,49861,3,AX,1,100,-0.170
1760381797.640289,1102528.000,49861,3,AX,1,100,0.500
1760381797.680290,1102568.000,49879,2,AX,1,100,0.597
1760381797.720290,1102608.000,49879,2,AX,1,100,1.001
1760381797.760290,1102648.000,49897,3,AX,1,100,0.740
1760381797.800291,1102688.000,49897,3,AX,1,100,0.392
1760381797.840292,1102728.000,49897,3,AX,1,100,-0.107
1760381797.880292,1102768.000,49912,2,AX,1,100,-0.967
1760381797.920293,1102808.000,49912,2,AX,1,100,-0.855
1760381797.960293,1102848.000,49929,3,AX,1,100,-0.407
1760381798.000293,1102888.000,49929,3,AX,1,100,-1.017
1760381798.040294,1102928.000,49929,3,AX,1,100,-0.676
1760381798.080295,1102968.000,49948,2,AX,1,100,-0.803
1760381798.120295,1103008.000,49948,2,AX,1,100,-0.432
1760381798.160295,1103048.000,49966,3,AX,1,100,-0.474
1760381798.200296,1103088.000,49966,3,AX,1,100,-0.240
1760381798.240297,1103128.000,49966,3,AX,1,100,-1.236
1760381798.280297,1103168.000,49981,2,AX,1,100,-1.965
1760381798.320297,1103208.000,49981,2,AX,1,100,-1.286
1760381798.360298,1103248.000,49998,3,AX,1,100,-0.280
1760381798.400299,1103288.000,49998,3,AX,1,100,0.260
1760381798.440299,1103328.000,49998,3,AX,1,100,0.364
1760381798.480299,1103368.000,50017,2,AX,1,100,0.691
1760381798.520300,1103408.000,50017,2,AX,1,100,1.096
1760381798.560301,1103448.000,50033,3,AX,1,100,0.511
1760381798.600301,1103488.000,50033,3,AX,1,100,0.169
1760381798.640302,1103528.000,50033,3,AX,1,100,-0.660
1760381798.680302,1103568.000,50049,2,AX,1,100,-1.491
1760381798.720303,1103608.000,50049,2,AX,1,100,-0.279
1760381798.760303,1103648.000,50067,3,AX,1,100,-0.671
1760381798.800304,1103688.000,50067,3,AX,1,100,-0.600
1760381798.840304,1103728.000,50067,3,AX,1,100,-0.790
1760381798.880305,1103768.000,50084,2,AX,1,100,-0.493
1760381798.920305,1103808.000,50084,2,AX,1,100,-0.441
1760381798.960306,1103848.000,50101,3,AX,1,100,-0.376
1760381799.000306,1103888.000,50101,3,AX,1,100,-0.849
1760381799.040307,1103928.000,50101,3,AX,1,100,-1.447
1760381799.080307,1103968.000,50116,2,AX,1,100,-1.518
1760381799.120308,1104008.000,50116,2,AX,1,100,-0.633
1760381799.160308,1104048.000,50132,3,AX,1,100,0.203
1760381799.200309,1104088.000,50132,3,AX,1,100,0.212
1760381799.240309,1104128.000,50132,3,AX,1,100,0.513
1760381799.280310,1104168.000,50151,3,AX,1,100,1.019
1760381799.320310,1104208.000,50151,3,AX,1,100,0.657
1760381799.360311,1104248.000,50151,3,AX,1,100,0.271
1760381799.400311,1104288.000,50170,2,AX,1,100,-0.855
1760381799.440312,1104328.000,50170,2,AX,1,100,-1.591
1760381799.475979,1104363.667,50185,3,AX,1,100,-0.482
1760381799.511646,1104399.333,50185,3,AX,1,100,-0.411
1760381799.547313,1104435.000,50185,3,AX,1,100,-0.653
1760381799.587314,1104475.000,50203,2,AX,1,100,-0.659
1760381799.627314,1104515.000,50203,2,AX,1,100,-0.646
1760381799.667315,1104555.000,50221,3,AX,1,100,-0.529
1760381799.707315,1104595.000,50221,3,AX,1,100,-0.431
1760381799.747316,1104635.000,50221,3,AX,1,100,-0.695
1760381799.787316,1104675.000,50237,3,AX,1,100,-1.050
1760381799.827317,1104715.000,50237,3,AX,1,100,-1.263
1760381799.867317,1104755.000,50237,3,AX,1,100,-0.834
1760381799.907318,1104795.000,50253,2,AX,1,100,-0.500
1760381799.947318,1104835.000,50253,2,AX,1,100,0.138
1760381799.987319,1104875.000,50271,3,AX,1,100,0.459
1760381800.027319,1104915.000,50271,3,AX,1,100,1.161
1760381800.067320,1104955.000,50271,3,AX,1,100,1.238
1760381800.107320,1104995.000,50290,2,AX,1,100,0.446
1760381800.147321,1105035.000,50290,2,AX,1,100,-0.630
1760381800.187321,1105075.000,50306,3,AX,1,100,-1.196
1760381800.227322,1105115.000,50306,3,AX,1,100,-0.460
1760381800.267322,1105155.000,50306,3,AX,1,100,-0.542
1760381800.307323,1105195.000,50324,2,AX,1,100,-0.764
1760381800.347323,1105235.000,50324,2,AX,1,100,-0.789
1760381800.387324,1105275.000,50340,3,AX,1,100,-0.732
1760381800.427324,1105315.000,50340,3,AX,1,100,-0.403
1760381800.467325,1105355.000,50340,3,AX,1,100,-0.628
1760381800.507325,1105395.000,50357,2,AX,1,100,-1.099
1760381800.547326,1105435.000,50357,2,AX,1,100,-0.707
1760381800.587326,1105475.000,50373,3,AX,1,100,-0.826
1760381800.627327,1105515.000,50373,3,AX,1,100,-0.705
1760381800.667327,1105555.000,50373,3,AX,1,100,-0.410
1760381800.707328,1105595.000,50393,2,AX,1,100,0.230
1760381800.747328,1105635.000,50393,2,AX,1,100,0.530
1760381800.787329,1105675.000,50407,3,AX,1,100,0.965
1760381800.827329,1105715.000,50407,3,AX,1,100,0.911
1760381800.867330,1105755.000,50407,3,AX,1,100,0.478
1760381800.907330,1105795.000,50426,3,AX,1,100,-0.315
1760381800.947331,1105835.000,50426,3,AX,1,100,-1.635
1760381800.987331,1105875.000,50426,3,AX,1,100,-0.798
1760381801.027332,1105915.000,50443,2,AX,1,100,-0.170
1760381801.067332,1105955.000,50443,2,AX,1,100,-0.665
1760381801.107333,1105995.000,50462,3,AX,1,100,-0.530
1760381801.147333,1106035.000,50462,3,AX,1,100,-0.768
