LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760381797.006281,1101894.000,49765,1,BV,1,100,3.78
1760381802.005344,1106893.000,50613,1,BV,1,100,3.78
1760381807.005407,1111893.000,51447,1,BV,1,100,3.77
1760381812.004470,1116892.000,52291,1,BV,1,100,3.77
1760381817.004534,1121892.000,53141,1,BV,1,100,3.77
1760381822.003597,1126891.000,53988,1,BV,1,100,3.77
1760381827.003660,1131891.000,54815,1,BV,1,100,3.77
1760381832.002723,1136890.000,55667,1,BV,1,100,3.78
1760381837.002786,1141890.000,56522,1,BV,1,100,3.77
1760381842.001849,1146889.000,57372,1,BV,1,100,3.78
1760381847.001912,1151889.000,58224,1,BV,1,100,3.78
1760381852.000975,1156888.000,59055,1,BV,1,100,3.77
1760381857.001039,1161888.000,59900,1,BV,1,100,3.77
1760381862.000102,1166887.000,60759,1,BV,1,100,3.77
1760381867.000165,1171887.000,61617,1,BV,1,100,3.77
1760381871.999228,1176886.000,62473,1,BV,1,100,3.77
1760381876.999291,1181886.000,63329,1,BV,1,100,3.77
1760381881.998354,1186885.000,64168,1,BV,1,100,3.78
1760381886.998417,1191885.000,65030,1,BV,1,100,3.77
1760381891.997481,1196884.000,346,1,BV,1,100,3.76
1760381896.997544,1201884.000,1201,1,BV,1,100,3.76
1760381901.996607,1206883.000,2043,1,BV,1,100,3.77
1760381906.996670,1211883.000,2902,1,BV,1,100,3.77
1760381911.995733,1216882.000,3744,1,BV,1,100,3.77
1760381916.995796,1221882.000,4602,1,BV,1,100,3.77
1760381921.994859,1226881.000,5468,1,BV,1,100,3.77
