LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760381794.934255,1099822.000,49414,3,GX,1,100,71.198
1760381794.934255,1099822.000,49414,3,GX,1,100,138.214
1760381794.934255,1099822.000,49414,3,GX,1,100,72.662
1760381794.974589,1099862.333,49434,3,GX,1,100,71.136
1760381795.014922,1099902.667,49434,3,GX,1,100,66.010
1760381795.055256,1099943.000,49434,3,GX,1,100,47.150
1760381795.094757,1099982.500,49448,2,GX,1,100,40.283
1760381795.134257,1100022.000,49448,2,GX,1,100,-17.395
1760381795.174591,1100062.333,49465,3,GX,1,100,-78.278
1760381795.214925,1100102.667,49465,3,GX,1,100,-131.226
1760381795.255259,1100143.000,49465,3,GX,1,100,-129.211
1760381795.294759,1100182.500,49481,2,GX,1,100,-119.324
1760381795.334260,1100222.000,49481,2,GX,1,100,-83.679
1760381795.374260,1100262.000,49501,3,GX,1,100,-54.230
1760381795.414261,1100302.000,49501,3,GX,1,100,-52.551
1760381795.454261,1100342.000,49501,3,GX,1,100,-48.706
1760381795.494262,1100382.000,49515,2,GX,1,100,-22.461
1760381795.534262,1100422.000,49515,2,GX,1,100,12.665
1760381795.574263,1100462.000,49534,3,GX,1,100,35.217
1760381795.614263,1100502.000,49534,3,GX,1,100,60.364
1760381795.654264,1100542.000,49534,3,GX,1,100,149.811
1760381795.694264,1100582.000,49551,2,GX,1,100,94.696
1760381795.734265,1100622.000,49551,2,GX,1,100,78.705
1760381795.774265,1100662.000,49570,3,GX,1,100,71.381
1760381795.814266,1100702.000,49570,3,GX,1,100,49.347
1760381795.854266,1100742.000,49570,3,GX,1,100,31.067
1760381795.894267,1100782.000,49585,2,GX,1,100,-20.264
1760381795.934268,1100822.000,49585,2,GX,1,100,-82.794
1760381795.974268,1100862.000,49604,3,GX,1,100,-172.363
1760381796.014268,1100902.000,49604,3,GX,1,100,-152.771
1760381796.054269,1100942.000,49604,3,GX,1,100,-120.941
1760381796.089603,1100977.333,49620,3,GX,1,100,-67.780
1760381796.124937,1101012.667,49620,3,GX,1,100,-41.107
1760381796.160270,1101048.000,49620,3,GX,1,100,-34.637
1760381796.200271,1101088.000,49637,2,GX,1,100,-29.419
1760381796.240271,1101128.000,49637,2,GX,1,100,-9.552
1760381796.280272,1101168.000,49654,3,GX,1,100,2.777
1760381796.320272,1101208.000,49654,3,GX,1,100,32.928
1760381796.360273,1101248.000,49654,3,GX,1,100,71.564
1760381796.400773,1101288.500,49669,2,GX,1,100,175.598
1760381796.441274,1101329.000,49669,2,GX,1,100,85.144
1760381796.480941,1101368.667,49687,3,GX,1,100,62.592
1760381796.520608,1101408.333,49687,3,GX,1,100,70.801
1760381796.560275,1101448.000,49687,3,GX,1,100,32.379
1760381796.600276,1101488.000,49704,3,GX,1,100,27.130
1760381796.640276,1101528.000,49704,3,GX,1,100,-17.365
1760381796.680277,1101568.000,49704,3,GX,1,100,-82.367
1760381796.720277,1101608.000,49721,2,GX,1,100,-125.732
1760381796.760278,1101648.000,49721,2,GX,1,100,-108.917
1760381796.800278,1101688.000,49743,4,GX,1,100,-99.915
1760381796.840279,1101728.000,49743,4,GX,1,100,-78.278
1760381796.880279,1101768.000,49743,4,GX,1,100,-44.586
1760381796.920280,1101808.000,49743,4,GX,1,100,-45.807
1760381796.960280,1101848.000,49759,2,GX,1,100,-39.978
1760381797.000281,1101888.000,49759,2,GX,1,100,-28.595
1760381797.040281,1101928.000,49781,3,GX,1,100,-9.979
1760381797.080282,1101968.000,49781,3,GX,1,100,28.351
1760381797.120282,1102008.000,49781,3,GX,1,100,72.693
1760381797.160283,1102048.000,49797,2,GX,1,100,150.818
1760381797.200284,1102088.000,49797,2,GX,1,100,75.714
1760381797.240284,1102128.000,49816,3,GX,1,100,54.169
1760381797.280284,1102168.000,49816,3,GX,1,100,66.345
1760381797.320285,1102208.000,49816,3,GX,1,100,36.774
1760381797.360286,1102248.000,49832,2,GX,1,100,39.124
1760381797.400286,1102288.000,49832,2,GX,1,100,-28.961
1760381797.440286,1102328.000,49848,3,GX,1,100,-95.032
1760381797.480287,1102368.000,49848,3,GX,1,100,-144.287
1760381797.520288,1102408.000,49848,3,GX,1,100,-140.808
1760381797.560288,1102448.000,49864,3,GX,1,100,-116.516
1760381797.600288,1102488.000,49864,3,GX,1,100,-81.818
1760381797.640289,1102528.000,49864,3,GX,1,100,-53.558
1760381797.680290,1102568.000,49882,2,GX,1,100,-60.486
1760381797.720290,1102608.000,49882,2,GX,1,100,-56.366
1760381797.760290,1102648.000,49900,3,GX,1,100,-17.120
1760381797.800291,1102688.000,49900,3,GX,1,100,41.321
1760381797.840292,1102728.000,49900,3,GX,1,100,79.865
1760381797.880292,1102768.000,49915,2,GX,1,100,97.656
1760381797.920293,1102808.000,49915,2,GX,1,100,136.627
1760381797.960293,1102848.000,49932,3,GX,1,100,90.607
1760381798.000293,1102888.000,49932,3,GX,1,100,73.914
1760381798.040294,1102928.000,49932,3,GX,1,100,61.951
1760381798.080295,1102968.000,49951,2,GX,1,100,17.548
1760381798.120295,1103008.000,49951,2,GX,1,100,-26.703
1760381798.160295,1103048.000,49969,3,GX,1,100,-54.626
1760381798.200296,1103088.000,49969,3,GX,1,100,-74.860
1760381798.240297,1103128.000,49969,3,GX,1,100,-107.300
1760381798.280297,1103168.000,49984,2,GX,1,100,-128.601
1760381798.320297,1103208.000,49984,2,GX,1,100,-151.184
1760381798.360298,1103248.000,50001,3,GX,1,100,-123.688
1760381798.400299,1103288.000,50001,3,GX,1,100,-93.475
1760381798.440299,1103328.000,50001,3,GX,1,100,-88.135
1760381798.480299,1103368.000,50020,2,GX,1,100,-97.565
1760381798.520300,1103408.000,50020,2,GX,1,100,-61.005
1760381798.560301,1103448.000,50036,3,GX,1,100,-15.625
1760381798.600301,1103488.000,50036,3,GX,1,100,29.785
1760381798.640302,1103528.000,50036,3,GX,1,100,57.953
1760381798.680302,1103568.000,50052,2,GX,1,100,148.712
1760381798.720303,1103608.000,50052,2,GX,1,100,137.756
1760381798.760303,1103648.000,50070,3,GX,1,100,87.616
1760381798.800304,1103688.000,50070,3,GX,1,100,81.268
1760381798.840304,1103728.000,50070,3,GX,1,100,71.716
1760381798.880305,1103768.000,50087,2,GX,1,100,45.837
1760381798.920305,1103808.000,50087,2,GX,1,100,10.803
1760381798.960306,1103848.000,50104,3,GX,1,100,-34.637
1760381799.000306,1103888.000,50104,3,GX,1,100,-70.221
1760381799.040307,1103928.000,50104,3,GX,1,100,-91.217
1760381799.080307,1103968.000,50119,2,GX,1,100,-117.157
1760381799.120308,1104008.000,50119,2,GX,1,100,-124.573
1760381799.160308,1104048.000,50135,3,GX,1,100,-91.644
1760381799.200309,1104088.000,50135,3,GX,1,100,-75.836
1760381799.240309,1104128.000,50135,3,GX,1,100,-81.848
1760381799.280310,1104168.000,50154,3,GX,1,100,-52.399
1760381799.320310,1104208.000,50154,3,GX,1,100,-18.372
1760381799.360311,1104248.000,50154,3,GX,1,100,19.562
1760381799.400311,1104288.000,50173,2,GX,1,100,54.626
1760381799.440312,1104328.000,50173,2,GX,1,100,153.870
1760381799.475979,1104363.667,50188,3,GX,1,100,195.618
1760381799.511646,1104399.333,50188,3,GX,1,100,139.130
1760381799.547313,1104435.000,50188,3,GX,1,100,128.754
1760381799.587314,1104475.000,50206,2,GX,1,100,107.147
1760381799.627314,1104515.000,50206,2,GX,1,100,59.723
1760381799.667315,1104555.000,50224,3,GX,1,100,10.742
1760381799.707315,1104595.000,50224,3,GX,1,100,-54.260
1760381799.747316,1104635.000,50224,3,GX,1,100,-98.022
1760381799.787316,1104675.000,50240,3,GX,1,100,-144.379
