LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1760381794.934255,1099822.000,49415,3,GY,1,100,182.678
1760381794.934255,1099822.000,49415,3,GY,1,100,123.627
1760381794.934255,1099822.000,49415,3,GY,1,100,63.995
1760381794.974589,1099862.333,49435,3,GY,1,100,143.738
1760381795.014922,1099902.667,49435,3,GY,1,100,127.472
1760381795.055256,1099943.000,49435,3,GY,1,100,57.678
1760381795.094757,1099982.500,49449,2,GY,1,100,10.437
1760381795.134257,1100022.000,49449,2,GY,1,100,-50.171
1760381795.174591,1100062.333,49466,3,GY,1,100,-56.915
1760381795.214925,1100102.667,49466,3,GY,1,100,-53.253
1760381795.255259,1100143.000,49466,3,GY,1,100,-50.049
1760381795.294759,1100182.500,49482,2,GY,1,100,-100.098
1760381795.334260,1100222.000,49482,2,GY,1,100,-165.131
1760381795.374260,1100262.000,49502,3,GY,1,100,-143.524
1760381795.414261,1100302.000,49502,3,GY,1,100,-90.973
1760381795.454261,1100342.000,49502,3,GY,1,100,-86.578
1760381795.494262,1100382.000,49516,2,GY,1,100,-85.846
1760381795.534262,1100422.000,49516,2,GY,1,100,42.572
1760381795.574263,1100462.000,49535,3,GY,1,100,168.457
1760381795.614263,1100502.000,49535,3,GY,1,100,209.320
1760381795.654264,1100542.000,49535,3,GY,1,100,131.165
1760381795.694264,1100582.000,49552,2,GY,1,100,17.670
1760381795.734265,1100622.000,49552,2,GY,1,100,148.895
1760381795.774265,1100662.000,49571,3,GY,1,100,188.751
1760381795.814266,1100702.000,49571,3,GY,1,100,68.634
1760381795.854266,1100742.000,49571,3,GY,1,100,-40.802
1760381795.894267,1100782.000,49586,2,GY,1,100,-63.416
1760381795.934268,1100822.000,49586,2,GY,1,100,-31.982
1760381795.974268,1100862.000,49605,3,GY,1,100,-28.259
1760381796.014268,1100902.000,49605,3,GY,1,100,-108.917
1760381796.054269,1100942.000,49605,3,GY,1,100,-168.304
1760381796.089603,1100977.333,49621,3,GY,1,100,-133.698
1760381796.124937,1101012.667,49621,3,GY,1,100,-114.990
1760381796.160270,1101048.000,49621,3,GY,1,100,-97.412
1760381796.200271,1101088.000,49638,2,GY,1,100,-72.571
1760381796.240271,1101128.000,49638,2,GY,1,100,-20.081
1760381796.280272,1101168.000,49655,3,GY,1,100,78.674
1760381796.320272,1101208.000,49655,3,GY,1,100,150.635
1760381796.360273,1101248.000,49655,3,GY,1,100,208.771
1760381796.400773,1101288.500,49670,2,GY,1,100,180.634
1760381796.441274,1101329.000,49670,2,GY,1,100,-28.076
1760381796.480941,1101368.667,49688,3,GY,1,100,96.252
1760381796.520608,1101408.333,49688,3,GY,1,100,185.822
1760381796.560275,1101448.000,49688,3,GY,1,100,72.266
1760381796.600276,1101488.000,49705,3,GY,1,100,-36.285
1760381796.640276,1101528.000,49705,3,GY,1,100,-44.861
1760381796.680277,1101568.000,49705,3,GY,1,100,-12.970
1760381796.720277,1101608.000,49722,2,GY,1,100,-49.896
1760381796.760278,1101648.000,49722,2,GY,1,100,-48.309
1760381796.800278,1101688.000,49744,4,GY,1,100,-73.273
1760381796.840279,1101728.000,49744,4,GY,1,100,-165.924
1760381796.880279,1101768.000,49744,4,GY,1,100,-156.342
1760381796.920280,1101808.000,49744,4,GY,1,100,-85.236
1760381796.960280,1101848.000,49760,2,GY,1,100,-60.059
1760381797.000281,1101888.000,49760,2,GY,1,100,-20.996
1760381797.040281,1101928.000,49782,3,GY,1,100,76.752
1760381797.080282,1101968.000,49782,3,GY,1,100,145.142
1760381797.120282,1102008.000,49782,3,GY,1,100,184.692
1760381797.160283,1102048.000,49798,2,GY,1,100,124.695
1760381797.200284,1102088.000,49798,2,GY,1,100,-8.942
1760381797.240284,1102128.000,49817,3,GY,1,100,157.166
1760381797.280284,1102168.000,49817,3,GY,1,100,265.808
1760381797.320285,1102208.000,49817,3,GY,1,100,91.400
1760381797.360286,1102248.000,49833,2,GY,1,100,-87.555
1760381797.400286,1102288.000,49833,2,GY,1,100,-36.316
1760381797.440286,1102328.000,49849,3,GY,1,100,-9.155
1760381797.480287,1102368.000,49849,3,GY,1,100,-60.089
1760381797.520288,1102408.000,49849,3,GY,1,100,-100.250
1760381797.560288,1102448.000,49865,3,GY,1,100,-66.040
1760381797.600288,1102488.000,49865,3,GY,1,100,-132.080
1760381797.640289,1102528.000,49865,3,GY,1,100,-146.851
1760381797.680290,1102568.000,49883,2,GY,1,100,-93.109
1760381797.720290,1102608.000,49883,2,GY,1,100,-67.261
1760381797.760290,1102648.000,49901,3,GY,1,100,-24.170
1760381797.800291,1102688.000,49901,3,GY,1,100,60.303
1760381797.840292,1102728.000,49901,3,GY,1,100,80.780
1760381797.880292,1102768.000,49916,2,GY,1,100,147.278
1760381797.920293,1102808.000,49916,2,GY,1,100,105.072
1760381797.960293,1102848.000,49933,3,GY,1,100,41.504
1760381798.000293,1102888.000,49933,3,GY,1,100,205.292
1760381798.040294,1102928.000,49933,3,GY,1,100,221.680
1760381798.080295,1102968.000,49952,2,GY,1,100,70.892
1760381798.120295,1103008.000,49952,2,GY,1,100,-14.313
1760381798.160295,1103048.000,49970,3,GY,1,100,-26.855
1760381798.200296,1103088.000,49970,3,GY,1,100,-41.595
1760381798.240297,1103128.000,49970,3,GY,1,100,-62.958
1760381798.280297,1103168.000,49985,2,GY,1,100,-64.148
1760381798.320297,1103208.000,49985,2,GY,1,100,-91.064
1760381798.360298,1103248.000,50002,3,GY,1,100,-173.981
1760381798.400299,1103288.000,50002,3,GY,1,100,-193.817
1760381798.440299,1103328.000,50002,3,GY,1,100,-147.003
1760381798.480299,1103368.000,50021,2,GY,1,100,-126.678
1760381798.520300,1103408.000,50021,2,GY,1,100,-112.122
1760381798.560301,1103448.000,50037,3,GY,1,100,39.032
1760381798.600301,1103488.000,50037,3,GY,1,100,185.455
1760381798.640302,1103528.000,50037,3,GY,1,100,196.167
1760381798.680302,1103568.000,50053,2,GY,1,100,172.241
1760381798.720303,1103608.000,50053,2,GY,1,100,55.817
1760381798.760303,1103648.000,50071,3,GY,1,100,93.384
1760381798.800304,1103688.000,50071,3,GY,1,100,191.925
1760381798.840304,1103728.000,50071,3,GY,1,100,178.528
1760381798.880305,1103768.000,50088,2,GY,1,100,20.508
1760381798.920305,1103808.000,50088,2,GY,1,100,-81.482
1760381798.960306,1103848.000,50105,3,GY,1,100,-53.162
1760381799.000306,1103888.000,50105,3,GY,1,100,-18.951
1760381799.040307,1103928.000,50105,3,GY,1,100,-69.336
1760381799.080307,1103968.000,50120,2,GY,1,100,-83.313
1760381799.120308,1104008.000,50120,2,GY,1,100,-133.453
1760381799.160308,1104048.000,50136,3,GY,1,100,-152.618
1760381799.200309,1104088.000,50136,3,GY,1,100,-101.776
1760381799.240309,1104128.000,50136,3,GY,1,100,-65.948
1760381799.280310,1104168.000,50155,3,GY,1,100,-93.506
1760381799.320310,1104208.000,50155,3,GY,1,100,6.989
1760381799.360311,1104248.000,50155,3,GY,1,100,151.550
1760381799.400311,1104288.000,50174,2,GY,1,100,194.061
1760381799.440312,1104328.000,50174,2,GY,1,100,201.050
1760381799.475979,1104363.667,50189,3,GY,1,100,61.157
1760381799.511646,1104399.333,50189,3,GY,1,100,37.262
1760381799.547313,1104435.000,50189,3,GY,1,100,197.754
1760381799.587314,1104475.000,50207,2,GY,1,100,192.841
1760381799.627314,1104515.000,50207,2,GY,1,100,63.019
1760381799.667315,1104555.000,50225,3,GY,1,100,-42.542
1760381799.707315,1104595.000,50225,3,GY,1,100,-54.993
1760381799.747316,1104635.000,50225,3,GY,1,100,13.062
1760381799.787316,1104675.000,50241,3,GY,1,100,-14.008
1760381799.827317,1104715.000,50241,3,GY,1,100,-184.174
1760381799.867317,1104755.000,50241,3,GY,1,100,-213.409
1760381799.907318,1104795.000,50257,2,GY,1,100,-113.220
1760381799.947318,1104835.000,50257,2,GY,1,100,-96.313
1760381799.987319,1104875.000,50275,3,GY,1,100,-115.814
1760381800.027319,1104915.000,50275,3,GY,1,100,-111.084
1760381800.067320,1104955.000,50275,3,GY,1,100,-59.387
1760381800.107320,1104995.000,50294,2,GY,1,100,98.877
1760381800.147321,1105035.000,50294,2,GY,1,100,153.595
1760381800.187321,1105075.000,50310,3,GY,1,100,178.253
1760381800.227322,1105115.000,50310,3,GY,1,100,75.104
1760381800.267322,1105155.000,50310,3,GY,1,100,108.887
1760381800.307323,1105195.000,50328,2,GY,1,100,271.698
1760381800.347323,1105235.000,50328,2,GY,1,100,213.440
1760381800.387324,1105275.000,50344,3,GY,1,100,37.598
1760381800.427324,1105315.000,50344,3,GY,1,100,-77.545
1760381800.467325,1105355.000,50344,3,GY,1,100,-17.426
1760381800.507325,1105395.000,50361,2,GY,1,100,37.231
1760381800.547326,1105435.000,50361,2,GY,1,100,-83.221
1760381800.587326,1105475.000,50377,3,GY,1,100,-263.550
1760381800.627327,1105515.000,50377,3,GY,1,100,-208.588
1760381800.667327,1105555.000,50377,3,GY,1,100,-124.725
1760381800.707328,1105595.000,50397,2,GY,1,100,-129.364
1760381800.747328,1105635.000,50397,2,GY,1,100,-118.622
1760381800.787329,1105675.000,50411,3,GY,1,100,-88.531
1760381800.827329,1105715.000,50411,3,GY,1,100,-8.667
1760381800.867330,1105755.000,50411,3,GY,1,100,106.750
1760381800.907330,1105795.000,50430,3,GY,1,100,148.041
1760381800.947331,1105835.000,50430,3,GY,1,100,230.072
1760381800.987331,1105875.000,50430,3,GY,1,100,159.790
1760381801.027332,1105915.000,50447,2,GY,1,100,56.915
1760381801.067332,1105955.000,50447,2,GY,1,100,249.084
1760381801.107333,1105995.000,50466,3,GY,1,100,236.328
1760381801.147333,1106035.000,50466,3,GY,1,100,88.470
1760381801.187334,1106075.000,50466,3,GY,1,100,-51.819
1760381801.227334,1106115.000,50480,2,GY,1,100,-125.305
1760381801.267335,1106155.000,50480,2,GY,1,100,-37.079
1760381801.307335,1106195.000,50500,3,GY,1,100,-43.732
1760381801.347336,1106235.000,50500,3,GY,1,100,-153.381
1760381801.387336,1106275.000,50500,3,GY,1,100,-112.762
1760381801.427337,1106315.000,50516,2,GY,1,100,-94.360
1760381801.467337,1106355.000,50516,2,GY,1,100,-125.580
1760381801.507338,1106395.000,50535,3,GY,1,100,-133.301
1760381801.547338,1106435.000,50535,3,GY,1,100,-92.743
1760381801.587339,1106475.000,50535,3,GY,1,100,-73.273
1760381801.627339,1106515.000,50550,2,GY,1,100,14.130
1760381801.667340,1106555.000,50550,2,GY,1,100,136.658
1760381801.707340,1106595.000,50567,3,GY,1,100,239.746
1760381801.747341,1106635.000,50567,3,GY,1,100,187.531
1760381801.787341,1106675.000,50567,3,GY,1,100,115.295
1760381801.827342,1106715.000,50583,2,GY,1,100,184.692
1760381801.867342,1106755.000,50583,2,GY,1,100,111.267
1760381801.907343,1106795.000,50608,4,GY,1,100,72.815
1760381801.947343,1106835.000,50608,4,GY,1,100,1.160
1760381801.987344,1106875.000,50608,4,GY,1,100,-64.972
1760381802.027344,1106915.000,50608,4,GY,1,100,-82.489
1760381802.067345,1106955.000,50626,3,GY,1,100,-85.846
1760381802.107345,1106995.000,50626,3,GY,1,100,-131.042
1760381802.147346,1107035.000,50626,3,GY,1,100,-135.071
1760381802.187346,1107075.000,50643,2,GY,1,100,-147.430
1760381802.227347,1107115.000,50643,2,GY,1,100,-127.930
1760381802.267347,1107155.000,50659,3,GY,1,100,-80.536
1760381802.307348,1107195.000,50659,3,GY,1,100,-90.118
1760381802.347348,1107235.000,50659,3,GY,1,100,-47.302
1760381802.387349,1107275.000,50679,2,GY,1,100,75.409
1760381802.427349,1107315.000,50679,2,GY,1,100,154.327
1760381802.467350,1107355.000,50695,3,GY,1,100,207.397
1760381802.507350,1107395.000,50695,3,GY,1,100,109.955
1760381802.547351,1107435.000,50695,3,GY,1,100,56.366
1760381802.587351,1107475.000,50712,2,GY,1,100,212.830
1760381802.627352,1107515.000,50712,2,GY,1,100,178.436
1760381802.667352,1107555.000,50729,3,GY,1,100,57.892
1760381802.707353,1107595.000,50729,3,GY,1,100,-24.414
1760381802.747354,1107635.000,50729,3,GY,1,100,-32.623
1760381802.787354,1107675.000,50748,2,GY,1,100,-28.564
1760381802.827354,1107715.000,50748,2,GY,1,100,-63.599
1760381802.867355,1107755.000,50764,3,GY,1,100,-107.452
1760381802.907356,1107795.000,50764,3,GY,1,100,-95.734
1760381802.947356,1107835.000,50764,3,GY,1,100,-116.638
1760381802.987356,1107875.000,50782,3,GY,1,100,-142.365
1760381803.027357,1107915.000,50782,3,GY,1,100,-93.994
1760381803.067358,1107955.000,50782,3,GY,1,100,-50.598
1760381803.100358,1107988.000,50797,2,GY,1,100,-101.349
1760381803.133358,1108021.000,50797,2,GY,1,100,0.580
1760381803.173359,1108061.000,50815,3,GY,1,100,142.181
1760381803.213359,1108101.000,50815,3,GY,1,100,219.574
1760381803.253360,1108141.000,50815,3,GY,1,100,155.121
1760381803.293360,1108181.000,50831,2,GY,1,100,55.115
1760381803.333361,1108221.000,50831,2,GY,1,100,197.449
1760381803.373361,1108261.000,50851,3,GY,1,100,200.165
1760381803.413362,1108301.000,50851,3,GY,1,100,46.417
1760381803.453362,1108341.000,50851,3,GY,1,100,-32.288
1760381803.493363,1108381.000,50867,3,GY,1,100,-52.185
1760381803.533363,1108421.000,50867,3,GY,1,100,-57.526
1760381803.573364,1108461.000,50867,3,GY,1,100,-103.363
1760381803.613364,1108501.000,50882,2,GY,1,100,-106.323
1760381803.653365,1108541.000,50882,2,GY,1,100,-37.354
1760381803.693365,1108581.000,50899,3,GY,1,100,-135.925
1760381803.733366,1108621.000,50899,3,GY,1,100,-169.952
1760381803.773366,1108661.000,50899,3,GY,1,100,-101.868
1760381803.813367,1108701.000,50918,2,GY,1,100,-64.606
1760381803.853367,1108741.000,50918,2,GY,1,100,-81.390
1760381803.893368,1108781.000,50934,3,GY,1,100,12.878
1760381803.933368,1108821.000,50934,3,GY,1,100,118.896
1760381803.973369,1108861.000,50934,3,GY,1,100,182.587
1760381804.013370,1108901.000,50950,2,GY,1,100,154.572
1760381804.053370,1108941.000,50950,2,GY,1,100,38.025
1760381804.093370,1108981.000,50966,3,GY,1,100,186.981
1760381804.133371,1109021.000,50966,3,GY,1,100,237.732
1760381804.173372,1109061.000,50966,3,GY,1,100,132.538
1760381804.213372,1109101.000,50983,2,GY,1,100,-20.294
1760381804.253372,1109141.000,50983,2,GY,1,100,-100.128
1760381804.293373,1109181.000,51002,3,GY,1,100,-51.178
1760381804.333374,1109221.000,51002,3,GY,1,100,1.099
1760381804.373374,1109261.000,51002,3,GY,1,100,-73.547
1760381804.413374,1109301.000,51017,2,GY,1,100,-174.011
1760381804.453375,1109341.000,51017,2,GY,1,100,-136.078
1760381804.493376,1109381.000,51033,3,GY,1,100,-84.503
1760381804.533376,1109421.000,51033,3,GY,1,100,-72.784
1760381804.573376,1109461.000,51033,3,GY,1,100,-77.576
1760381804.613377,1109501.000,51050,2,GY,1,100,-103.973
