LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760381794.934255,1099822.000,49406,3,PG,1,100,8707
1760381794.934255,1099822.000,49406,3,PG,1,100,8710
1760381794.934255,1099822.000,49406,3,PG,1,100,8711
1760381794.974589,1099862.333,49426,3,PG,1,100,8711
1760381795.014922,1099902.667,49426,3,PG,1,100,8739
1760381795.055256,1099943.000,49426,3,PG,1,100,8752
1760381795.094757,1099982.500,49442,2,PG,1,100,8727
1760381795.134257,1100022.000,49442,2,PG,1,100,8707
1760381795.174591,1100062.333,49457,3,PG,1,100,8699
1760381795.214925,1100102.667,49457,3,PG,1,100,8681
1760381795.255259,1100143.000,49457,3,PG,1,100,8676
1760381795.294759,1100182.500,49473,2,PG,1,100,8696
1760381795.334260,1100222.000,49473,2,PG,1,100,8695
1760381795.374260,1100262.000,49493,3,PG,1,100,8712
1760381795.414261,1100302.000,49493,3,PG,1,100,8727
1760381795.454261,1100342.000,49493,3,PG,1,100,8714
1760381795.494262,1100382.000,49509,2,PG,1,100,8719
1760381795.534262,1100422.000,49509,2,PG,1,100,8711
1760381795.574263,1100462.000,49526,3,PG,1,100,8719
1760381795.614263,1100502.000,49526,3,PG,1,100,8701
1760381795.654264,1100542.000,49526,3,PG,1,100,8688
1760381795.694264,1100582.000,49543,2,PG,1,100,8659
1760381795.734265,1100622.000,49543,2,PG,1,100,8667
1760381795.774265,1100662.000,49562,3,PG,1,100,8661
1760381795.814266,1100702.000,49562,3,PG,1,100,8684
1760381795.854266,1100742.000,49562,3,PG,1,100,8672
1760381795.894267,1100782.000,49578,2,PG,1,100,8700
1760381795.934268,1100822.000,49578,2,PG,1,100,8694
1760381795.974268,1100862.000,49597,3,PG,1,100,8705
1760381796.014268,1100902.000,49597,3,PG,1,100,8684
1760381796.054269,1100942.000,49597,3,PG,1,100,8695
1760381796.094270,1100982.000,49612,2,PG,1,100,8693
1760381796.134270,1101022.000,49612,2,PG,1,100,8667
1760381796.174604,1101062.333,49629,3,PG,1,100,8675
1760381796.214938,1101102.667,49629,3,PG,1,100,8657
1760381796.255271,1101143.000,49629,3,PG,1,100,8667
1760381796.294939,1101182.667,49646,3,PG,1,100,8658
1760381796.334606,1101222.333,49646,3,PG,1,100,8679
1760381796.374273,1101262.000,49646,3,PG,1,100,8678
1760381796.421273,1101309.000,49663,2,PG,1,100,8700
1760381796.468274,1101356.000,49663,2,PG,1,100,8698
1760381796.508275,1101396.000,49679,2,PG,1,100,8714
1760381796.548275,1101436.000,49679,2,PG,1,100,8712
1760381796.588276,1101476.000,49696,3,PG,1,100,8691
1760381796.628276,1101516.000,49696,3,PG,1,100,8692
1760381796.668277,1101556.000,49696,3,PG,1,100,8679
1760381796.708277,1101596.000,49713,2,PG,1,100,8689
1760381796.748278,1101636.000,49713,2,PG,1,100,8700
1760381796.788278,1101676.000,49735,4,PG,1,100,8696
1760381796.828279,1101716.000,49735,4,PG,1,100,8697
1760381796.868279,1101756.000,49735,4,PG,1,100,8719
1760381796.908280,1101796.000,49735,4,PG,1,100,8715
1760381796.948280,1101836.000,49753,3,PG,1,100,8717
1760381796.988281,1101876.000,49753,3,PG,1,100,8729
1760381797.028281,1101916.000,49753,3,PG,1,100,8724
1760381797.068282,1101956.000,49773,2,PG,1,100,8729
1760381797.108282,1101996.000,49773,2,PG,1,100,8722
1760381797.148283,1102036.000,49789,3,PG,1,100,8709
1760381797.188283,1102076.000,49789,3,PG,1,100,8704
1760381797.228284,1102116.000,49789,3,PG,1,100,8699
1760381797.268284,1102156.000,49808,2,PG,1,100,8708
1760381797.308285,1102196.000,49808,2,PG,1,100,8730
1760381797.348285,1102236.000,49825,3,PG,1,100,8739
1760381797.388286,1102276.000,49825,3,PG,1,100,8729
1760381797.428286,1102316.000,49825,3,PG,1,100,8733
1760381797.468287,1102356.000,49841,2,PG,1,100,8727
1760381797.508287,1102396.000,49841,2,PG,1,100,8715
1760381797.547955,1102435.667,49856,3,PG,1,100,8708
1760381797.587622,1102475.333,49856,3,PG,1,100,8700
1760381797.627289,1102515.000,49856,3,PG,1,100,8698
1760381797.667789,1102555.500,49874,2,PG,1,100,8703
1760381797.708290,1102596.000,49874,2,PG,1,100,8722
1760381797.747957,1102635.667,49892,3,PG,1,100,8709
1760381797.787624,1102675.333,49892,3,PG,1,100,8731
1760381797.827291,1102715.000,49892,3,PG,1,100,8722
1760381797.867792,1102755.500,49909,2,PG,1,100,8731
1760381797.908292,1102796.000,49909,2,PG,1,100,8751
1760381797.947959,1102835.667,49924,3,PG,1,100,8740
1760381797.987627,1102875.333,49924,3,PG,1,100,8737
1760381798.027294,1102915.000,49924,3,PG,1,100,8747
1760381798.067294,1102955.000,49943,2,PG,1,100,8735
1760381798.107295,1102995.000,49943,2,PG,1,100,8723
1760381798.147295,1103035.000,49961,3,PG,1,100,8705
1760381798.187296,1103075.000,49961,3,PG,1,100,8713
1760381798.227296,1103115.000,49961,3,PG,1,100,8719
1760381798.267630,1103155.333,49978,3,PG,1,100,8734
1760381798.307964,1103195.667,49978,3,PG,1,100,8729
1760381798.348298,1103236.000,49978,3,PG,1,100,8757
1760381798.387798,1103275.500,49993,2,PG,1,100,8773
1760381798.427299,1103315.000,49993,2,PG,1,100,8752
1760381798.467299,1103355.000,50012,3,PG,1,100,8756
1760381798.507300,1103395.000,50012,3,PG,1,100,8746
1760381798.547300,1103435.000,50012,3,PG,1,100,8758
1760381798.587301,1103475.000,50028,2,PG,1,100,8757
1760381798.627301,1103515.000,50028,2,PG,1,100,8752
1760381798.667302,1103555.000,50046,3,PG,1,100,8743
1760381798.707302,1103595.000,50046,3,PG,1,100,8752
1760381798.747303,1103635.000,50046,3,PG,1,100,8750
1760381798.787303,1103675.000,50062,2,PG,1,100,8763
1760381798.827304,1103715.000,50062,2,PG,1,100,8772
1760381798.867305,1103755.000,50079,3,PG,1,100,8790
1760381798.907305,1103795.000,50079,3,PG,1,100,8788
1760381798.947305,1103835.000,50079,3,PG,1,100,8770
1760381798.987306,1103875.000,50096,2,PG,1,100,8758
1760381799.027307,1103915.000,50096,2,PG,1,100,8738
1760381799.067307,1103955.000,50113,3,PG,1,100,8739
1760381799.107307,1103995.000,50113,3,PG,1,100,8736
1760381799.147308,1104035.000,50113,3,PG,1,100,8756
1760381799.187309,1104075.000,50127,2,PG,1,100,8764
1760381799.227309,1104115.000,50127,2,PG,1,100,8765
1760381799.267309,1104155.000,50146,3,PG,1,100,8765
1760381799.307310,1104195.000,50146,3,PG,1,100,8749
1760381799.347311,1104235.000,50146,3,PG,1,100,8776
1760381799.387311,1104275.000,50165,2,PG,1,100,8773
1760381799.427311,1104315.000,50165,2,PG,1,100,8771
1760381799.467312,1104355.000,50182,3,PG,1,100,8768
1760381799.507313,1104395.000,50182,3,PG,1,100,8771
1760381799.547313,1104435.000,50182,3,PG,1,100,8746
1760381799.587314,1104475.000,50198,2,PG,1,100,8769
1760381799.627314,1104515.000,50198,2,PG,1,100,8758
1760381799.667315,1104555.000,50216,3,PG,1,100,8750
1760381799.707315,1104595.000,50216,3,PG,1,100,8748
1760381799.747316,1104635.000,50216,3,PG,1,100,8760
1760381799.787316,1104675.000,50232,3,PG,1,100,8754
1760381799.827317,1104715.000,50232,3,PG,1,100,8756
1760381799.867317,1104755.000,50232,3,PG,1,100,8748
1760381799.907318,1104795.000,50249,2,PG,1,100,8761
1760381799.947318,1104835.000,50249,2,PG,1,100,8748
1760381799.987319,1104875.000,50267,3,PG,1,100,8752
1760381800.027319,1104915.000,50267,3,PG,1,100,8740
1760381800.067320,1104955.000,50267,3,PG,1,100,8748
1760381800.107320,1104995.000,50285,2,PG,1,100,8738
1760381800.147321,1105035.000,50285,2,PG,1,100,8741
1760381800.187321,1105075.000,50301,3,PG,1,100,8758
1760381800.227322,1105115.000,50301,3,PG,1,100,8769
1760381800.267322,1105155.000,50301,3,PG,1,100,8763
1760381800.307323,1105195.000,50319,2,PG,1,100,8788
1760381800.347323,1105235.000,50319,2,PG,1,100,8791
1760381800.387324,1105275.000,50337,3,PG,1,100,8786
1760381800.427324,1105315.000,50337,3,PG,1,100,8780
1760381800.467325,1105355.000,50337,3,PG,1,100,8761
1760381800.507325,1105395.000,50352,2,PG,1,100,8760
1760381800.547326,1105435.000,50352,2,PG,1,100,8764
1760381800.587326,1105475.000,50368,3,PG,1,100,8780
1760381800.627327,1105515.000,50368,3,PG,1,100,8783
1760381800.667327,1105555.000,50368,3,PG,1,100,8794
1760381800.707328,1105595.000,50388,2,PG,1,100,8784
