LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760381795.440261,1100328.000,49522,1,SA,1,100,0.000524
1760381795.840266,1100728.000,49592,1,SA,1,100,0.001127
1760381796.906280,1101794.000,49769,1,SA,1,100,0.000211
1760381797.706290,1102594.000,49888,1,SA,1,100,0.000412
1760381798.106295,1102994.000,49957,1,SA,1,100,0.001502
1760381799.239309,1104127.000,50160,1,SA,1,100,0.000803
1760381799.973318,1104861.000,50281,1,SA,1,100,0.000956
1760381800.707328,1105595.000,50417,1,SA,1,100,0.001815
1760381801.173334,1106061.000,50486,1,SA,1,100,0.001775
1760381802.239347,1107127.000,50666,1,SA,1,100,0.000732
1760381802.706353,1107594.000,50735,1,SA,1,100,0.000471
1760381803.039357,1107927.000,50803,1,SA,1,100,0.000262
1760381804.239372,1109127.000,50988,1,SA,1,100,0.000309
1760381804.572376,1109460.000,51055,1,SA,1,100,0.000746
1760381805.306386,1110194.000,51192,1,SA,1,100,0.000339
1760381806.039395,1110927.000,51312,1,SA,1,100,0.000964
1760381806.505401,1111393.000,51379,1,SA,1,100,0.000183
1760381806.839405,1111727.000,51431,1,SA,1,100,0.000656
1760381807.572414,1112460.000,51555,1,SA,1,100,0.000983
1760381808.038420,1112926.000,51624,1,SA,1,100,0.000099
1760381808.372425,1113260.000,51691,1,SA,1,100,0.000788
1760381808.772429,1113660.000,51761,1,SA,1,100,0.001851
1760381809.839443,1114727.000,51944,1,SA,1,100,0.001961
1760381810.305449,1115193.000,52014,1,SA,1,100,0.001512
1760381810.572452,1115460.000,52081,1,SA,1,100,0.002631
1760381811.039458,1115927.000,52150,1,SA,1,100,0.001647
1760381811.372462,1116260.000,52203,1,SA,1,100,0.002814
1760381811.838468,1116726.000,52272,1,SA,1,100,0.001933
1760381812.571477,1117459.000,52399,1,SA,1,100,0.000661
1760381812.905482,1117793.000,52466,1,SA,1,100,0.001141
1760381813.371488,1118259.000,52519,1,SA,1,100,0.001164
1760381813.639491,1118527.000,52586,1,SA,1,100,0.003384
1760381814.105497,1118993.000,52655,1,SA,1,100,0.002501
1760381814.439501,1119327.000,52724,1,SA,1,100,0.000065
1760381814.839506,1119727.000,52794,1,SA,1,100,0.001921
1760381815.172510,1120060.000,52847,1,SA,1,100,0.002278
1760381815.638516,1120526.000,52917,1,SA,1,100,0.002204
1760381816.704530,1121592.000,53104,1,SA,1,100,0.000906
1760381817.438539,1122326.000,53232,1,SA,1,100,0.001976
1760381817.904545,1122792.000,53301,1,SA,1,100,0.001368
