LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760381794.900254,1099788.000,49409,1,T1,1,100,33.061
1760381795.033256,1099921.000,49429,1,T1,1,100,33.097
1760381795.166258,1100054.000,49460,1,T1,1,100,33.007
1760381795.300259,1100188.000,49476,1,T1,1,100,33.003
1760381795.433261,1100321.000,49496,1,T1,1,100,33.037
1760381795.566263,1100454.000,49529,1,T1,1,100,32.945
1760381795.700264,1100588.000,49546,1,T1,1,100,32.976
1760381795.833266,1100721.000,49565,1,T1,1,100,33.061
1760381795.966268,1100854.000,49581,1,T1,1,100,32.955
1760381796.100270,1100988.000,49615,1,T1,1,100,32.945
1760381796.233271,1101121.000,49632,1,T1,1,100,33.047
1760381796.366273,1101254.000,49649,1,T1,1,100,33.056
1760381796.499274,1101387.000,49682,1,T1,1,100,33.095
1760381796.633276,1101521.000,49699,1,T1,1,100,33.041
1760381796.766278,1101654.000,49716,1,T1,1,100,33.089
1760381796.899280,1101787.000,49738,1,T1,1,100,33.003
1760381797.033281,1101921.000,49776,1,T1,1,100,33.037
1760381797.166283,1102054.000,49792,1,T1,1,100,33.087
1760381797.299285,1102187.000,49811,1,T1,1,100,33.038
1760381797.433286,1102321.000,49828,1,T1,1,100,32.981
1760381797.566288,1102454.000,49859,1,T1,1,100,33.027
1760381797.699290,1102587.000,49877,1,T1,1,100,33.012
1760381797.833291,1102721.000,49895,1,T1,1,100,32.970
1760381797.966293,1102854.000,49927,1,T1,1,100,33.058
1760381798.099295,1102987.000,49946,1,T1,1,100,32.919
1760381798.233296,1103121.000,49964,1,T1,1,100,32.965
1760381798.366298,1103254.000,49996,1,T1,1,100,33.056
1760381798.499300,1103387.000,50015,1,T1,1,100,32.953
1760381798.633301,1103521.000,50031,1,T1,1,100,32.980
1760381798.766303,1103654.000,50065,1,T1,1,100,32.991
1760381798.899305,1103787.000,50082,1,T1,1,100,32.961
1760381799.033307,1103921.000,50099,1,T1,1,100,32.948
1760381799.166308,1104054.000,50130,1,T1,1,100,33.013
1760381799.299310,1104187.000,50149,1,T1,1,100,32.935
1760381799.433312,1104321.000,50168,1,T1,1,100,33.043
1760381799.566313,1104454.000,50201,1,T1,1,100,32.948
1760381799.699315,1104587.000,50219,1,T1,1,100,32.906
1760381799.832317,1104720.000,50235,1,T1,1,100,33.030
1760381799.966318,1104854.000,50252,1,T1,1,100,33.084
1760381800.099320,1104987.000,50288,1,T1,1,100,33.001
1760381800.232322,1105120.000,50304,1,T1,1,100,32.965
1760381800.366323,1105254.000,50322,1,T1,1,100,33.056
1760381800.499325,1105387.000,50355,1,T1,1,100,32.989
1760381800.632327,1105520.000,50371,1,T1,1,100,33.031
1760381800.766328,1105654.000,50391,1,T1,1,100,33.049
1760381800.899330,1105787.000,50424,1,T1,1,100,32.986
1760381801.032332,1105920.000,50441,1,T1,1,100,32.958
1760381801.166333,1106054.000,50460,1,T1,1,100,32.911
1760381801.299335,1106187.000,50494,1,T1,1,100,32.891
1760381801.432337,1106320.000,50510,1,T1,1,100,32.953
1760381801.566339,1106454.000,50529,1,T1,1,100,33.015
1760381801.699340,1106587.000,50545,1,T1,1,100,32.936
1760381801.832342,1106720.000,50577,1,T1,1,100,32.937
1760381801.966344,1106854.000,50602,1,T1,1,100,33.079
1760381802.099345,1106987.000,50620,1,T1,1,100,32.963
1760381802.232347,1107120.000,50637,1,T1,1,100,32.984
1760381802.366349,1107254.000,50673,1,T1,1,100,32.993
1760381802.499350,1107387.000,50689,1,T1,1,100,32.962
1760381802.632352,1107520.000,50706,1,T1,1,100,33.019
1760381802.766354,1107654.000,50742,1,T1,1,100,33.079
1760381802.899355,1107787.000,50758,1,T1,1,100,32.963
1760381803.032357,1107920.000,50776,1,T1,1,100,33.020
1760381803.166359,1108054.000,50792,1,T1,1,100,33.008
1760381803.299361,1108187.000,50825,1,T1,1,100,32.933
1760381803.432362,1108320.000,50845,1,T1,1,100,32.971
1760381803.565364,1108453.000,50861,1,T1,1,100,33.058
1760381803.699365,1108587.000,50893,1,T1,1,100,32.990
1760381803.832367,1108720.000,50912,1,T1,1,100,33.066
1760381803.965369,1108853.000,50928,1,T1,1,100,33.029
1760381804.099370,1108987.000,50960,1,T1,1,100,32.942
1760381804.232372,1109120.000,50977,1,T1,1,100,33.010
1760381804.365374,1109253.000,50996,1,T1,1,100,32.969
1760381804.499376,1109387.000,51027,1,T1,1,100,32.880
1760381804.632377,1109520.000,51044,1,T1,1,100,32.948
1760381804.765379,1109653.000,51063,1,T1,1,100,32.942
1760381804.899381,1109787.000,51096,1,T1,1,100,32.939
1760381805.032382,1109920.000,51114,1,T1,1,100,32.903
1760381805.165384,1110053.000,51130,1,T1,1,100,32.993
1760381805.299386,1110187.000,51164,1,T1,1,100,32.891
1760381805.432387,1110320.000,51181,1,T1,1,100,32.917
1760381805.565389,1110453.000,51199,1,T1,1,100,33.000
1760381805.699391,1110587.000,51216,1,T1,1,100,32.964
1760381805.832392,1110720.000,51250,1,T1,1,100,32.878
1760381805.965394,1110853.000,51266,1,T1,1,100,32.912
1760381806.099396,1110987.000,51284,1,T1,1,100,33.068
1760381806.232398,1111120.000,51319,1,T1,1,100,32.994
