LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760381794.914254,1099802.000,49410,1,TH,1,100,31.956
1760381795.048256,1099936.000,49430,1,TH,1,100,31.999
1760381795.181258,1100069.000,49461,1,TH,1,100,31.999
1760381795.314260,1100202.000,49477,1,TH,1,100,32.055
1760381795.448261,1100336.000,49497,1,TH,1,100,32.055
1760381795.581263,1100469.000,49530,1,TH,1,100,31.992
1760381795.714265,1100602.000,49547,1,TH,1,100,31.992
1760381795.848266,1100736.000,49566,1,TH,1,100,31.939
1760381795.981268,1100869.000,49600,1,TH,1,100,31.939
1760381796.114270,1101002.000,49616,1,TH,1,100,31.992
1760381796.248271,1101136.000,49633,1,TH,1,100,31.992
1760381796.381273,1101269.000,49650,1,TH,1,100,31.953
1760381796.514275,1101402.000,49683,1,TH,1,100,31.953
1760381796.648276,1101536.000,49700,1,TH,1,100,32.007
1760381796.781278,1101669.000,49717,1,TH,1,100,32.007
1760381796.914280,1101802.000,49739,1,TH,1,100,31.968
1760381797.048281,1101936.000,49777,1,TH,1,100,31.968
1760381797.181283,1102069.000,49793,1,TH,1,100,31.903
1760381797.314285,1102202.000,49812,1,TH,1,100,31.903
1760381797.448287,1102336.000,49844,1,TH,1,100,31.878
1760381797.581288,1102469.000,49860,1,TH,1,100,31.878
1760381797.714290,1102602.000,49878,1,TH,1,100,31.893
1760381797.848292,1102736.000,49896,1,TH,1,100,31.893
1760381797.981293,1102869.000,49928,1,TH,1,100,31.985
1760381798.114295,1103002.000,49947,1,TH,1,100,31.985
1760381798.247297,1103135.000,49965,1,TH,1,100,31.898
1760381798.381298,1103269.000,49997,1,TH,1,100,31.898
1760381798.514300,1103402.000,50016,1,TH,1,100,31.888
1760381798.647302,1103535.000,50032,1,TH,1,100,31.881
1760381798.781303,1103669.000,50066,1,TH,1,100,31.908
1760381798.914305,1103802.000,50083,1,TH,1,100,31.908
1760381799.047307,1103935.000,50100,1,TH,1,100,31.939
1760381799.181309,1104069.000,50131,1,TH,1,100,31.939
1760381799.314310,1104202.000,50150,1,TH,1,100,32.033
1760381799.447312,1104335.000,50169,1,TH,1,100,32.033
1760381799.581313,1104469.000,50202,1,TH,1,100,32.007
1760381799.714315,1104602.000,50220,1,TH,1,100,32.007
1760381799.847317,1104735.000,50236,1,TH,1,100,31.970
1760381799.981318,1104869.000,50270,1,TH,1,100,31.970
1760381800.114320,1105002.000,50289,1,TH,1,100,31.949
1760381800.247322,1105135.000,50305,1,TH,1,100,31.949
1760381800.381324,1105269.000,50323,1,TH,1,100,31.890
1760381800.514325,1105402.000,50356,1,TH,1,100,31.891
1760381800.647327,1105535.000,50372,1,TH,1,100,31.869
1760381800.781329,1105669.000,50392,1,TH,1,100,31.869
1760381800.914330,1105802.000,50425,1,TH,1,100,31.946
1760381801.047332,1105935.000,50442,1,TH,1,100,31.946
1760381801.181334,1106069.000,50461,1,TH,1,100,31.944
1760381801.314335,1106202.000,50495,1,TH,1,100,31.944
1760381801.447337,1106335.000,50511,1,TH,1,100,31.949
1760381801.580339,1106468.000,50530,1,TH,1,100,31.949
1760381801.714340,1106602.000,50562,1,TH,1,100,32.004
1760381801.847342,1106735.000,50578,1,TH,1,100,32.004
1760381801.980344,1106868.000,50603,1,TH,1,100,31.898
1760381802.114346,1107002.000,50621,1,TH,1,100,31.898
1760381802.247347,1107135.000,50638,1,TH,1,100,31.953
1760381802.380349,1107268.000,50674,1,TH,1,100,31.953
1760381802.514350,1107402.000,50690,1,TH,1,100,32.002
1760381802.647352,1107535.000,50707,1,TH,1,100,32.002
1760381802.781354,1107669.000,50743,1,TH,1,100,31.937
1760381802.914356,1107802.000,50759,1,TH,1,100,31.937
1760381803.047357,1107935.000,50777,1,TH,1,100,31.934
1760381803.180359,1108068.000,50810,1,TH,1,100,31.934
1760381803.314361,1108202.000,50826,1,TH,1,100,31.971
1760381803.447362,1108335.000,50846,1,TH,1,100,31.971
1760381803.580364,1108468.000,50862,1,TH,1,100,31.932
1760381803.714366,1108602.000,50894,1,TH,1,100,31.932
1760381803.847367,1108735.000,50913,1,TH,1,100,32.057
1760381803.980369,1108868.000,50929,1,TH,1,100,32.057
1760381804.114371,1109002.000,50961,1,TH,1,100,31.898
1760381804.247372,1109135.000,50978,1,TH,1,100,31.898
1760381804.380374,1109268.000,50997,1,TH,1,100,31.987
1760381804.514376,1109402.000,51028,1,TH,1,100,31.987
1760381804.647377,1109535.000,51045,1,TH,1,100,31.915
1760381804.780379,1109668.000,51064,1,TH,1,100,31.915
1760381804.914381,1109802.000,51097,1,TH,1,100,32.033
1760381805.047383,1109935.000,51115,1,TH,1,100,32.033
1760381805.180384,1110068.000,51131,1,TH,1,100,31.869
1760381805.314386,1110202.000,51165,1,TH,1,100,31.869
1760381805.447387,1110335.000,51182,1,TH,1,100,31.924
