RD,TS_received,TS_sent,AK,RoundTrip,
1101705,1101729,2025-10-13_14-56-36-824709,1101731,24,
1106828,1106842,2025-10-13_14-56-41-948472,1106843,14,
1111949,1111970,2025-10-13_14-56-47-072589,1111971,21,
1117068,1117080,2025-10-13_14-56-52-188192,1117081,12,
1122191,1122208,2025-10-13_14-56-57-314574,1122252,17,
1127316,1127327,2025-10-13_14-57-02-434102,1127329,11,
1132439,1132461,2025-10-13_14-57-07-559295,1132462,22,
1137560,1137571,2025-10-13_14-57-12-679919,1137573,11,
1142681,1142695,2025-10-13_14-57-17-801102,1142699,14,
1147814,1147824,2025-10-13_14-57-22-931518,1147825,10,
1152929,1152940,2025-10-13_14-57-28-047693,1152941,11,
1158052,1158067,2025-10-13_14-57-33-176235,1158072,15,
1163170,1163181,2025-10-13_14-57-38-287886,1163182,11,
1168286,1168301,2025-10-13_14-57-43-405133,1168302,15,
1173409,1173420,2025-10-13_14-57-48-526727,1173421,11,
1178527,1178557,2025-10-13_14-57-53-662857,1178558,30,
1183650,1183664,2025-10-13_14-57-58-769192,1183668,14,
1188770,1188788,2025-10-13_14-58-03-895487,1188790,18,
1193903,1193920,2025-10-13_14-58-09-023449,1193921,17,
1199034,1199076,2025-10-13_14-58-14-183676,1199080,42,
1204142,1204178,2025-10-13_14-58-19-283420,1204180,36,
1209253,1209281,2025-10-13_14-58-24-390173,1209282,28,
1214360,1214376,2025-10-13_14-58-29-485573,1214378,16,
1219486,1219498,2025-10-13_14-58-34-605766,1219499,12,
1224598,1224612,2025-10-13_14-58-39-716591,1224613,14,
