LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760381402.832438,707718,49118,2,AK,1,100,48298,RD
1760381402.849438,707735,49121,2,AK,1,100,49119,RD
1760381407.945405,712831,49955,2,AK,1,100,49119,RD
1760381407.976405,712862,49958,2,AK,1,100,49956,RD
1760381413.062372,717948,50808,2,AK,1,100,49956,RD
1760381413.083372,717969,50811,2,AK,1,100,50809,RD
1760381418.177340,723063,51665,2,AK,1,100,50809,RD
1760381418.197340,723083,51668,2,AK,1,100,51666,RD
1760381423.299307,728185,52518,2,AK,1,100,51666,RD
1760381423.310307,728196,52521,2,AK,1,100,52519,RD
1760381428.416274,733302,53367,2,AK,1,100,52519,RD
1760381428.435274,733321,53370,2,AK,1,100,53368,RD
1760381433.541241,738427,54215,2,AK,1,100,53368,RD
1760381433.555241,738441,54218,2,AK,1,100,54216,RD
1760381438.654209,743540,55072,2,AK,1,100,54216,RD
1760381438.674209,743560,55075,2,AK,1,100,55073,RD
1760381443.764176,748650,55927,2,AK,1,100,55073,RD
1760381443.787176,748673,55930,2,AK,1,100,55928,RD
1760381448.874143,753760,56776,2,AK,1,100,55928,RD
1760381448.908143,753794,56779,2,AK,1,100,56777,RD
1760381453.999111,758885,57635,2,AK,1,100,56777,RD
1760381454.020111,758906,57638,2,AK,1,100,57636,RD
1760381459.126078,764012,58499,2,AK,1,100,57636,RD
1760381459.146078,764032,58502,2,AK,1,100,58500,RD
1760381464.242045,769128,59346,2,AK,1,100,58500,RD
1760381464.324045,769210,59349,2,AK,1,100,59347,RD
1760381469.374012,774260,60201,2,AK,1,100,59347,RD
1760381469.386012,774272,60204,2,AK,1,100,60202,RD
1760381474.484980,779371,61055,2,AK,1,100,60202,RD
1760381474.501980,779388,61058,2,AK,1,100,61056,RD
1760381479.603947,784490,61906,2,AK,1,100,61056,RD
1760381479.623947,784510,61909,2,AK,1,100,61907,RD
1760381484.728914,789615,62765,2,AK,1,100,61907,RD
1760381484.743914,789630,62768,2,AK,1,100,62766,RD
1760381489.841882,794728,63611,2,AK,1,100,62766,RD
1760381489.853882,794740,63614,2,AK,1,100,63612,RD
1760381494.967849,799854,64460,2,AK,1,100,63612,RD
1760381494.986849,799873,64463,2,AK,1,100,64461,RD
1760381500.075816,804962,65313,2,AK,1,100,64461,RD
1760381500.119816,805006,65316,2,AK,1,100,65314,RD
1760381505.194783,810081,633,2,AK,1,100,65314,RD
1760381505.213783,810100,636,2,AK,1,100,634,RD
1760381510.300751,815187,1489,2,AK,1,100,634,RD
1760381510.317751,815204,1492,2,AK,1,100,1490,RD
1760381515.441718,820328,2353,2,AK,1,100,1490,RD
1760381515.459718,820346,2356,2,AK,1,100,2354,RD
1760381520.551685,825438,3206,2,AK,1,100,2354,RD
1760381520.566685,825453,3209,2,AK,1,100,3207,RD
1760381525.659653,830546,4051,2,AK,1,100,3207,RD
1760381525.678653,830565,4054,2,AK,1,100,4052,RD
