LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760381400.349454,705235.000,48703,1,AY,1,100,-1.026
1760381400.389453,705275.000,48720,2,AY,1,100,-1.030
1760381400.429453,705315.000,48720,2,AY,1,100,-1.029
1760381400.469453,705355.000,48737,3,AY,1,100,-1.027
1760381400.509453,705395.000,48737,3,AY,1,100,-1.027
1760381400.549452,705435.000,48737,3,AY,1,100,-1.031
1760381400.589452,705475.000,48753,2,AY,1,100,-1.025
1760381400.629452,705515.000,48753,2,AY,1,100,-1.029
1760381400.669451,705555.000,48771,3,AY,1,100,-1.027
1760381400.709451,705595.000,48771,3,AY,1,100,-1.029
1760381400.749451,705635.000,48771,3,AY,1,100,-1.024
1760381400.789451,705675.000,48787,3,AY,1,100,-1.035
1760381400.829451,705715.000,48787,3,AY,1,100,-1.033
1760381400.869450,705755.000,48787,3,AY,1,100,-1.024
1760381400.909450,705795.000,48806,2,AY,1,100,-1.022
1760381400.949450,705835.000,48806,2,AY,1,100,-1.030
1760381400.989450,705875.000,48820,3,AY,1,100,-1.032
1760381401.029449,705915.000,48820,3,AY,1,100,-1.026
1760381401.069449,705955.000,48820,3,AY,1,100,-1.025
1760381401.109449,705995.000,48840,2,AY,1,100,-1.026
1760381401.149448,706035.000,48840,2,AY,1,100,-1.028
1760381401.189448,706075.000,48856,3,AY,1,100,-1.033
1760381401.229448,706115.000,48856,3,AY,1,100,-1.027
1760381401.269448,706155.000,48856,3,AY,1,100,-1.022
1760381401.305114,706190.667,48873,3,AY,1,100,-1.026
1760381401.340780,706226.333,48873,3,AY,1,100,-1.028
1760381401.376447,706262.000,48873,3,AY,1,100,-1.024
1760381401.416447,706302.000,48889,2,AY,1,100,-1.029
1760381401.456447,706342.000,48889,2,AY,1,100,-1.031
1760381401.496446,706382.000,48907,3,AY,1,100,-1.022
1760381401.536446,706422.000,48907,3,AY,1,100,-1.026
1760381401.576446,706462.000,48907,3,AY,1,100,-1.030
1760381401.616446,706502.000,48923,2,AY,1,100,-1.020
1760381401.656445,706542.000,48923,2,AY,1,100,-1.027
1760381401.696445,706582.000,48941,3,AY,1,100,-1.027
1760381401.736445,706622.000,48941,3,AY,1,100,-1.021
1760381401.776444,706662.000,48941,3,AY,1,100,-1.034
1760381401.816444,706702.000,48959,2,AY,1,100,-1.039
1760381401.856444,706742.000,48959,2,AY,1,100,-1.051
1760381401.896444,706782.000,48974,3,AY,1,100,-1.011
1760381401.936444,706822.000,48974,3,AY,1,100,-0.999
1760381401.976443,706862.000,48974,3,AY,1,100,-1.054
1760381402.016443,706902.000,48991,2,AY,1,100,-1.047
1760381402.056443,706942.000,48991,2,AY,1,100,-1.055
1760381402.096442,706982.000,49010,3,AY,1,100,-1.017
1760381402.136442,707022.000,49010,3,AY,1,100,-1.059
1760381402.176442,707062.000,49010,3,AY,1,100,-1.071
1760381402.216442,707102.000,49026,2,AY,1,100,-1.021
1760381402.256441,707142.000,49026,2,AY,1,100,-1.010
1760381402.296441,707182.000,49043,3,AY,1,100,-1.031
1760381402.336441,707222.000,49043,3,AY,1,100,-0.975
1760381402.376441,707262.000,49043,3,AY,1,100,-1.011
1760381402.416440,707302.000,49060,2,AY,1,100,-1.030
1760381402.456440,707342.000,49060,2,AY,1,100,-0.981
1760381402.496440,707382.000,49077,3,AY,1,100,-1.016
1760381402.536440,707422.000,49077,3,AY,1,100,-0.975
1760381402.576439,707462.000,49077,3,AY,1,100,-0.956
1760381402.616439,707502.000,49093,2,AY,1,100,-0.989
1760381402.656439,707542.000,49093,2,AY,1,100,-1.019
1760381402.696439,707582.000,49109,3,AY,1,100,-0.978
