LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760381401.496446,706382.000,48898,1,BI,1,100,4160
1760381407.988405,712874.000,49960,1,BI,1,100,6480
1760381410.588388,715474.000,50382,1,BI,1,100,2600
1760381411.388383,716274.000,50518,1,BI,1,100,800
1760381412.228378,717114.000,50672,1,BI,1,100,840
1760381413.108372,717994.000,50813,1,BI,1,100,880
1760381413.788368,718674.000,50933,1,BI,1,100,680
1760381414.508363,719394.000,51051,1,BI,1,100,720
1760381415.388357,720274.000,51187,1,BI,1,100,880
1760381416.068353,720954.000,51305,1,BI,1,100,680
1760381416.961347,721847.000,51458,1,BI,1,100,880
1760381417.841342,722727.000,51613,1,BI,1,100,880
1760381418.641337,723527.000,51737,1,BI,1,100,800
1760381420.321326,725207.000,52006,1,BI,1,100,1680
1760381421.280320,726166.000,52178,1,BI,1,100,960
1760381421.960315,726846.000,52295,1,BI,1,100,680
1760381422.760310,727646.000,52432,1,BI,1,100,800
1760381423.640305,728526.000,52572,1,BI,1,100,880
1760381424.480299,729366.000,52710,1,BI,1,100,840
1760381425.440293,730326.000,52876,1,BI,1,100,960
1760381426.253288,731139.000,53010,1,BI,1,100,800
1760381427.893278,732779.000,53284,1,BI,1,100,1640
1760381428.853271,733739.000,53442,1,BI,1,100,960
1760381429.613266,734499.000,53557,1,BI,1,100,760
1760381431.093257,735979.000,53805,1,BI,1,100,1480
1760381432.373249,737259.000,54011,1,BI,1,100,1280
1760381433.013245,737899.000,54128,1,BI,1,100,640
1760381433.853240,738739.000,54254,1,BI,1,100,840
1760381434.493235,739379.000,54373,1,BI,1,100,640
1760381435.546229,740432.000,54545,1,BI,1,100,1040
1760381436.386223,741272.000,54681,1,BI,1,100,840
1760381437.226218,742112.000,54835,1,BI,1,100,840
1760381438.025213,742911.000,54971,1,BI,1,100,800
1760381439.625203,744511.000,55226,1,BI,1,100,1600
1760381440.345198,745231.000,55346,1,BI,1,100,720
1760381441.345191,746231.000,55514,1,BI,1,100,1000
1760381442.065187,746951.000,55634,1,BI,1,100,720
1760381442.665183,747551.000,55740,1,BI,1,100,600
1760381445.318166,750204.000,56179,1,BI,1,100,2640
1760381446.918156,751804.000,56448,1,BI,1,100,1600
1760381448.718144,753604.000,56738,1,BI,1,100,1800
1760381449.518139,754404.000,56882,1,BI,1,100,800
1760381450.398134,755284.000,57020,1,BI,1,100,880
1760381452.317122,757203.000,57343,1,BI,1,100,1920
1760381453.277115,758163.000,57513,1,BI,1,100,960
1760381454.037111,758923.000,57640,1,BI,1,100,760
1760381455.090104,759976.000,57810,1,BI,1,100,1040
1760381455.770099,760656.000,57929,1,BI,1,100,680
1760381456.890092,761776.000,58117,1,BI,1,100,1120
1760381457.490088,762376.000,58222,1,BI,1,100,600
1760381458.210084,763096.000,58343,1,BI,1,100,720
1760381459.050078,763936.000,58479,1,BI,1,100,840
1760381460.130071,765016.000,58654,1,BI,1,100,1080
1760381461.010066,765896.000,58806,1,BI,1,100,880
1760381461.410063,766296.000,58873,1,BI,1,100,400
1760381462.610056,767496.000,59077,1,BI,1,100,1200
1760381463.610049,768496.000,59243,1,BI,1,100,1000
1760381465.143039,770029.000,59487,1,BI,1,100,1520
1760381465.863035,770749.000,59607,1,BI,1,100,720
1760381466.703029,771589.000,59758,1,BI,1,100,840
1760381467.103027,771989.000,59828,1,BI,1,100,400
1760381468.822016,773708.000,60098,1,BI,1,100,1720
1760381470.222007,775108.000,60339,1,BI,1,100,1400
1760381471.541999,776428.000,60559,1,BI,1,100,1320
1760381473.141988,778028.000,60832,1,BI,1,100,1600
1760381476.674966,781561.000,61412,1,BI,1,100,3520
1760381479.354949,784241.000,61853,1,BI,1,100,2680
1760381480.914939,785801.000,62117,1,BI,1,100,1560
1760381482.633928,787520.000,62406,1,BI,1,100,1720
1760381483.407923,788294.000,62542,1,BI,1,100,760
1760381488.206892,793093.000,63344,1,BI,1,100,4800
1760381490.686876,795573.000,63748,1,BI,1,100,2480
1760381492.086867,796973.000,63988,1,BI,1,100,1400
1760381492.979861,797866.000,64122,1,BI,1,100,880
1760381494.219854,799106.000,64324,1,BI,1,100,1240
1760381494.939849,799826.000,64465,1,BI,1,100,720
1760381495.939843,800826.000,64616,1,BI,1,100,1000
1760381496.619838,801506.000,64736,1,BI,1,100,680
1760381498.378827,803265.000,65025,1,BI,1,100,1760
1760381500.058816,804945.000,65318,1,BI,1,100,1680
1760381500.698812,805585.000,65423,1,BI,1,100,640
1760381503.191796,808078.000,295,1,BI,1,100,2480
1760381504.591787,809478.000,532,1,BI,1,100,1400
1760381505.471782,810358.000,686,1,BI,1,100,880
1760381507.911766,812798.000,1097,1,BI,1,100,2440
1760381511.510743,816397.000,1693,1,BI,1,100,3600
1760381512.324738,817211.000,1829,1,BI,1,100,800
1760381515.843715,820730.000,2422,1,BI,1,100,3520
1760381516.643710,821530.000,2558,1,BI,1,100,800
1760381517.523705,822410.000,2695,1,BI,1,100,880
1760381518.283700,823170.000,2831,1,BI,1,100,760
1760381520.403686,825290.000,3186,1,BI,1,100,2120
1760381521.403680,826290.000,3361,1,BI,1,100,1000
1760381522.176675,827063.000,3481,1,BI,1,100,760
1760381525.096656,829983.000,3966,1,BI,1,100,2920
1760381525.896651,830783.000,4108,1,BI,1,100,800
1760381527.016644,831903.000,4290,1,BI,1,100,1120
1760381529.495628,834382.000,4692,1,BI,1,100,2480
