LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760381402.047443,706933.000,48999,1,BV,1,100,3.81
1760381407.047411,711933.000,49820,1,BV,1,100,3.81
1760381412.046379,716932.000,50653,1,BV,1,100,3.81
1760381417.046347,721932.000,51493,1,BV,1,100,3.81
1760381422.045315,726931.000,52315,1,BV,1,100,3.81
1760381427.045283,731931.000,53146,1,BV,1,100,3.81
1760381432.044251,736930.000,53975,1,BV,1,100,3.81
1760381437.044219,741930.000,54816,1,BV,1,100,3.81
1760381442.043187,746929.000,55652,1,BV,1,100,3.80
1760381447.043155,751929.000,56486,1,BV,1,100,3.80
1760381452.042123,756928.000,57324,1,BV,1,100,3.81
1760381457.042091,761928.000,58149,1,BV,1,100,3.80
1760381462.041059,766927.000,58991,1,BV,1,100,3.80
1760381467.041027,771927.000,59825,1,BV,1,100,3.80
1760381472.039995,776926.000,60662,1,BV,1,100,3.80
1760381477.039963,781926.000,61500,1,BV,1,100,3.81
1760381482.038931,786925.000,62319,1,BV,1,100,3.80
1760381487.038899,791925.000,63155,1,BV,1,100,3.80
1760381492.037868,796924.000,63985,1,BV,1,100,3.80
1760381497.037836,801924.000,64824,1,BV,1,100,3.81
1760381502.036804,806923.000,120,1,BV,1,100,3.81
1760381507.036772,811923.000,963,1,BV,1,100,3.80
1760381512.035740,816922.000,1794,1,BV,1,100,3.81
1760381517.035708,821922.000,2644,1,BV,1,100,3.81
1760381522.034676,826921.000,3479,1,BV,1,100,3.81
1760381527.034644,831921.000,4309,1,BV,1,100,3.80
