LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760381402.047443,706933.000,49000,1,B%,1,100,62
1760381407.047411,711933.000,49821,1,B%,1,100,62
1760381412.046379,716932.000,50654,1,B%,1,100,62
1760381417.046347,721932.000,51494,1,B%,1,100,63
1760381422.045315,726931.000,52316,1,B%,1,100,62
1760381427.045283,731931.000,53147,1,B%,1,100,63
1760381432.044251,736930.000,53976,1,B%,1,100,62
1760381437.044219,741930.000,54817,1,B%,1,100,62
1760381442.043187,746929.000,55653,1,B%,1,100,61
1760381447.043155,751929.000,56487,1,B%,1,100,62
1760381452.042123,756928.000,57325,1,B%,1,100,63
1760381457.042091,761928.000,58150,1,B%,1,100,62
1760381462.041059,766927.000,58992,1,B%,1,100,62
1760381467.041027,771927.000,59826,1,B%,1,100,62
1760381472.039995,776926.000,60663,1,B%,1,100,61
1760381477.039963,781926.000,61501,1,B%,1,100,62
1760381482.038931,786925.000,62320,1,B%,1,100,61
1760381487.038899,791925.000,63156,1,B%,1,100,62
1760381492.037868,796924.000,63986,1,B%,1,100,61
1760381497.037836,801924.000,64825,1,B%,1,100,63
1760381502.036804,806923.000,121,1,B%,1,100,62
1760381507.036772,811923.000,964,1,B%,1,100,62
1760381512.035740,816922.000,1795,1,B%,1,100,62
1760381517.035708,821922.000,2645,1,B%,1,100,62
1760381522.034676,826921.000,3480,1,B%,1,100,63
1760381527.034644,831921.000,4310,1,B%,1,100,62
