LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760381401.496446,706382.000,48899,1,HR,1,100,63.51
1760381407.988405,712874.000,49961,1,HR,1,100,51.45
1760381410.588388,715474.000,50383,1,HR,1,100,45.15
1760381411.388383,716274.000,50519,1,HR,1,100,51.78
1760381412.228378,717114.000,50673,1,HR,1,100,56.15
1760381413.108372,717994.000,50814,1,HR,1,100,58.82
1760381413.788368,718674.000,50934,1,HR,1,100,65.36
1760381414.508363,719394.000,51052,1,HR,1,100,69.35
1760381415.388357,720274.000,51188,1,HR,1,100,69.09
1760381416.068353,720954.000,51306,1,HR,1,100,73.35
1760381416.961347,721847.000,51459,1,HR,1,100,72.20
1760381417.841342,722727.000,51614,1,HR,1,100,71.31
1760381418.641337,723527.000,51738,1,HR,1,100,72.13
1760381420.321326,725207.000,52007,1,HR,1,100,64.03
1760381421.280320,726166.000,52179,1,HR,1,100,63.69
1760381421.960315,726846.000,52296,1,HR,1,100,69.15
1760381422.760310,727646.000,52433,1,HR,1,100,70.45
1760381423.640305,728526.000,52573,1,HR,1,100,69.94
1760381424.480299,729366.000,52711,1,HR,1,100,70.27
1760381425.440293,730326.000,52877,1,HR,1,100,68.55
1760381426.253288,731139.000,53011,1,HR,1,100,69.98
1760381427.893278,732779.000,53285,1,HR,1,100,62.56
1760381428.853271,733739.000,53443,1,HR,1,100,62.55
1760381429.613266,734499.000,53558,1,HR,1,100,66.19
1760381431.093257,735979.000,53806,1,HR,1,100,60.49
1760381432.373249,737259.000,54012,1,HR,1,100,57.46
1760381433.013245,737899.000,54129,1,HR,1,100,65.53
1760381433.853240,738739.000,54255,1,HR,1,100,66.84
1760381434.493235,739379.000,54374,1,HR,1,100,72.82
1760381435.546229,740432.000,54546,1,HR,1,100,69.46
1760381436.386223,741272.000,54682,1,HR,1,100,69.90
1760381437.226218,742112.000,54836,1,HR,1,100,70.24
1760381438.025213,742911.000,54972,1,HR,1,100,71.30
1760381439.625203,744511.000,55227,1,HR,1,100,63.78
1760381440.345198,745231.000,55347,1,HR,1,100,68.13
1760381441.345191,746231.000,55515,1,HR,1,100,66.32
1760381442.065187,746951.000,55635,1,HR,1,100,70.10
1760381442.665183,747551.000,55741,1,HR,1,100,76.75
1760381445.318166,750204.000,56180,1,HR,1,100,64.74
1760381446.918156,751804.000,56449,1,HR,1,100,58.69
1760381448.718144,753604.000,56739,1,HR,1,100,53.05
1760381449.518139,754404.000,56883,1,HR,1,100,57.93
1760381450.398134,755284.000,57021,1,HR,1,100,60.21
1760381452.317122,757203.000,57344,1,HR,1,100,53.77
1760381453.277115,758163.000,57514,1,HR,1,100,55.71
1760381454.037111,758923.000,57641,1,HR,1,100,60.88
1760381455.090104,759976.000,57811,1,HR,1,100,60.17
1760381455.770099,760656.000,57930,1,HR,1,100,66.41
1760381456.890092,761776.000,58118,1,HR,1,100,63.55
1760381457.490088,762376.000,58223,1,HR,1,100,71.65
1760381458.210084,763096.000,58344,1,HR,1,100,74.25
1760381459.050078,763936.000,58480,1,HR,1,100,73.62
1760381460.130071,765016.000,58655,1,HR,1,100,69.61
1760381461.010066,765896.000,58807,1,HR,1,100,69.29
1760381461.410063,766296.000,58874,1,HR,1,100,87.23
1760381462.610056,767496.000,59078,1,HR,1,100,78.95
1760381463.610049,768496.000,59244,1,HR,1,100,74.74
1760381465.143039,770029.000,59488,1,HR,1,100,66.90
1760381465.863035,770749.000,59608,1,HR,1,100,70.56
1760381466.703029,771589.000,59759,1,HR,1,100,70.75
1760381467.103027,771989.000,59829,1,HR,1,100,88.36
1760381468.822016,773708.000,60099,1,HR,1,100,76.48
1760381470.222007,775108.000,60340,1,HR,1,100,69.01
1760381471.541999,776428.000,60560,1,HR,1,100,63.77
1760381473.141988,778028.000,60833,1,HR,1,100,57.93
1760381476.674966,781561.000,61413,1,HR,1,100,48.85
1760381479.354949,784241.000,61854,1,HR,1,100,42.97
1760381480.914939,785801.000,62118,1,HR,1,100,41.97
1760381482.633928,787520.000,62407,1,HR,1,100,40.39
1760381483.407923,788294.000,62543,1,HR,1,100,48.96
1760381488.206892,793093.000,63345,1,HR,1,100,40.86
1760381490.686876,795573.000,63749,1,HR,1,100,37.15
1760381492.086867,796973.000,63989,1,HR,1,100,38.42
1760381492.979861,797866.000,64123,1,HR,1,100,45.04
1760381494.219854,799106.000,64325,1,HR,1,100,45.78
1760381494.939849,799826.000,64466,1,HR,1,100,54.13
1760381495.939843,800826.000,64617,1,HR,1,100,55.43
1760381496.619838,801506.000,64737,1,HR,1,100,62.72
1760381498.378827,803265.000,65026,1,HR,1,100,56.36
1760381500.058816,804945.000,65319,1,HR,1,100,51.77
1760381500.698812,805585.000,65424,1,HR,1,100,61.10
1760381503.191796,808078.000,296,1,HR,1,100,52.90
1760381504.591787,809478.000,533,1,HR,1,100,50.67
1760381505.471782,810358.000,687,1,HR,1,100,54.56
1760381507.911766,812798.000,1098,1,HR,1,100,47.90
1760381511.510743,816397.000,1694,1,HR,1,100,40.96
1760381512.324738,817211.000,1830,1,HR,1,100,48.52
1760381515.843715,820730.000,2423,1,HR,1,100,41.53
1760381516.643710,821530.000,2559,1,HR,1,100,48.97
1760381517.523705,822410.000,2696,1,HR,1,100,53.24
1760381518.283700,823170.000,2832,1,HR,1,100,58.95
1760381520.403686,825290.000,3187,1,HR,1,100,52.14
1760381521.403680,826290.000,3362,1,HR,1,100,53.89
1760381522.176675,827063.000,3482,1,HR,1,100,59.46
1760381525.096656,829983.000,3967,1,HR,1,100,50.81
1760381525.896651,830783.000,4109,1,HR,1,100,56.19
1760381527.016644,831903.000,4291,1,HR,1,100,55.60
1760381529.495628,834382.000,4693,1,HR,1,100,48.62
