LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760381400.482453,705368.000,48745,1,SA,1,100,0.000038
1760381400.682451,705568.000,48796,1,SA,1,100,0.000109
1760381401.015449,705901.000,48830,1,SA,1,100,0.000035
1760381401.215448,706101.000,48949,1,SA,1,100,0.000290
1760381401.881444,706767.000,49035,1,SA,1,100,0.000298
1760381403.081436,707967.000,49238,1,SA,1,100,0.001501
1760381404.814425,709700.000,49517,1,SA,1,100,0.000394
1760381406.015417,710901.000,49667,1,SA,1,100,0.000043
1760381406.547414,711433.000,49734,1,SA,1,100,0.000017
1760381406.747413,711633.000,49768,1,SA,1,100,0.000055
1760381407.081411,711967.000,49837,1,SA,1,100,0.000048
1760381407.615407,712501.000,50010,1,SA,1,100,0.000253
1760381408.414402,713300.000,50077,1,SA,1,100,0.000147
1760381408.947399,713833.000,50178,1,SA,1,100,0.000215
1760381409.547395,714433.000,50245,1,SA,1,100,0.000052
1760381409.880393,714766.000,50313,1,SA,1,100,0.000093
1760381410.347390,715233.000,50364,1,SA,1,100,0.000047
1760381410.680387,715566.000,50433,1,SA,1,100,0.000043
1760381411.014385,715900.000,50485,1,SA,1,100,0.000020
1760381411.214384,716100.000,50570,1,SA,1,100,0.000139
1760381412.213378,717099.000,50690,1,SA,1,100,0.000060
1760381412.480376,717366.000,50757,1,SA,1,100,0.000111
1760381412.947373,717833.000,50832,1,SA,1,100,0.000075
1760381414.214365,719100.000,51032,1,SA,1,100,0.000107
1760381414.547363,719433.000,51086,1,SA,1,100,0.000050
1760381414.946360,719832.000,51136,1,SA,1,100,0.000016
1760381415.680356,720566.000,51288,1,SA,1,100,0.000063
1760381416.014354,720900.000,51357,1,SA,1,100,0.000143
1760381416.480350,721366.000,51391,1,SA,1,100,0.000032
1760381416.680349,721566.000,51496,1,SA,1,100,0.000235
1760381417.280345,722166.000,51529,1,SA,1,100,0.000048
1760381418.013341,722899.000,51686,1,SA,1,100,0.000146
1760381418.546337,723432.000,51755,1,SA,1,100,0.000086
1760381419.346332,724232.000,51904,1,SA,1,100,0.000111
1760381419.947328,724833.000,51972,1,SA,1,100,0.000044
1760381420.413325,725299.000,52056,1,SA,1,100,0.000067
1760381420.679324,725565.000,52109,1,SA,1,100,0.000058
1760381421.079321,725965.000,52159,1,SA,1,100,0.000034
1760381421.412319,726298.000,52228,1,SA,1,100,0.000041
1760381421.746317,726632.000,52297,1,SA,1,100,0.000049
1760381422.946309,727832.000,52483,1,SA,1,100,0.000062
1760381423.212307,728098.000,52640,1,SA,1,100,0.000443
1760381424.279301,729165.000,52691,1,SA,1,100,0.000046
1760381424.879297,729765.000,52826,1,SA,1,100,0.000102
1760381425.346294,730232.000,52878,1,SA,1,100,0.000031
1760381426.345288,731231.000,53046,1,SA,1,100,0.000036
1760381426.545286,731431.000,53113,1,SA,1,100,0.000153
1760381427.145282,732031.000,53182,1,SA,1,100,0.000060
1760381427.545280,732431.000,53249,1,SA,1,100,0.000029
1760381428.145276,733031.000,53389,1,SA,1,100,0.000321
1760381430.545261,735431.000,53738,1,SA,1,100,0.000075
1760381430.812259,735698.000,53841,1,SA,1,100,0.000431
