LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760381400.415453,705301.000,48711,1,SF,1,100,61.2417
1760381400.748451,705634.000,48762,1,SF,1,100,62.6155
1760381401.148448,706034.000,48829,1,SF,1,100,63.9734
1760381401.415447,706301.000,48881,1,SF,1,100,65.3156
1760381401.748445,706634.000,48932,1,SF,1,100,64.5600
1760381402.081443,706967.000,48982,1,SF,1,100,65.8954
1760381402.481440,707367.000,49051,1,SF,1,100,67.2154
1760381402.748438,707634.000,49102,1,SF,1,100,66.4378
1760381403.081436,707967.000,49155,1,SF,1,100,65.6693
1760381403.414434,708300.000,49205,1,SF,1,100,64.9096
1760381403.748432,708634.000,49256,1,SF,1,100,66.2410
1760381404.148429,709034.000,49321,1,SF,1,100,65.4747
1760381404.414428,709300.000,49370,1,SF,1,100,64.7173
1760381404.748425,709634.000,49418,1,SF,1,100,63.9686
1760381405.147423,710033.000,49483,1,SF,1,100,63.2287
1760381405.414421,710300.000,49536,1,SF,1,100,64.5795
1760381405.747419,710633.000,49584,1,SF,1,100,63.8324
1760381406.081417,710967.000,49633,1,SF,1,100,63.0940
1760381406.481414,711367.000,49700,1,SF,1,100,64.4464
1760381406.747413,711633.000,49752,1,SF,1,100,65.7831
1760381407.081411,711967.000,49803,1,SF,1,100,67.1044
1760381407.481408,712367.000,49872,1,SF,1,100,68.4103
1760381407.747406,712633.000,49920,1,SF,1,100,67.6190
1760381408.147404,713033.000,49978,1,SF,1,100,66.8368
1760381408.414402,713300.000,50029,1,SF,1,100,68.1458
1760381408.747400,713633.000,50079,1,SF,1,100,69.4398
1760381409.147397,714033.000,50144,1,SF,1,100,68.6365
1760381409.414396,714300.000,50197,1,SF,1,100,69.9248
1760381409.747394,714633.000,50247,1,SF,1,100,71.1981
1760381410.080391,714966.000,50296,1,SF,1,100,70.3745
1760381410.480389,715366.000,50363,1,SF,1,100,71.6426
1760381410.747387,715633.000,50417,1,SF,1,100,72.8961
1760381411.080385,715966.000,50468,1,SF,1,100,74.1351
1760381411.480382,716366.000,50537,1,SF,1,100,75.3598
1760381411.747381,716633.000,50587,1,SF,1,100,76.5703
1760381412.080379,716966.000,50638,1,SF,1,100,75.6845
1760381412.413377,717299.000,50692,1,SF,1,100,76.8912
1760381412.813374,717699.000,50759,1,SF,1,100,78.0840
1760381413.147372,718033.000,50815,1,SF,1,100,77.1807
1760381413.413370,718299.000,50867,1,SF,1,100,78.3701
1760381413.747368,718633.000,50916,1,SF,1,100,77.4635
1760381414.080366,718966.000,50966,1,SF,1,100,76.5674
1760381414.480363,719366.000,51031,1,SF,1,100,75.6817
1760381414.747362,719633.000,51088,1,SF,1,100,78.9707
1760381415.080359,719966.000,51138,1,SF,1,100,80.1394
1760381415.480357,720366.000,51205,1,SF,1,100,79.2124
1760381415.746355,720632.000,51254,1,SF,1,100,78.2960
1760381416.080353,720966.000,51307,1,SF,1,100,79.4726
1760381416.413351,721299.000,51359,1,SF,1,100,80.6355
1760381416.813348,721699.000,51426,1,SF,1,100,81.7849
