LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760381400.408453,705294.000,48717,1,T1,1,100,32.787
1760381400.541452,705427.000,48734,1,T1,1,100,32.801
1760381400.674452,705560.000,48768,1,T1,1,100,32.808
1760381400.808451,705694.000,48784,1,T1,1,100,32.740
1760381400.941450,705827.000,48803,1,T1,1,100,32.745
1760381401.074449,705960.000,48837,1,T1,1,100,32.854
1760381401.208448,706094.000,48853,1,T1,1,100,32.760
1760381401.341447,706227.000,48870,1,T1,1,100,32.683
1760381401.474447,706360.000,48887,1,T1,1,100,32.792
1760381401.608446,706494.000,48920,1,T1,1,100,32.733
1760381401.741445,706627.000,48938,1,T1,1,100,32.743
1760381401.874444,706760.000,48956,1,T1,1,100,32.818
1760381402.008443,706894.000,48988,1,T1,1,100,32.815
1760381402.141442,707027.000,49007,1,T1,1,100,32.813
1760381402.274441,707160.000,49023,1,T1,1,100,32.919
1760381402.408440,707294.000,49057,1,T1,1,100,32.752
1760381402.541440,707427.000,49074,1,T1,1,100,32.716
1760381402.674439,707560.000,49090,1,T1,1,100,32.806
1760381402.808438,707694.000,49127,1,T1,1,100,32.739
1760381402.941437,707827.000,49144,1,T1,1,100,32.816
1760381403.074436,707960.000,49161,1,T1,1,100,32.920
1760381403.207435,708093.000,49178,1,T1,1,100,32.895
1760381403.341434,708227.000,49194,1,T1,1,100,32.813
1760381403.474434,708360.000,49226,1,T1,1,100,32.706
1760381403.607433,708493.000,49245,1,T1,1,100,32.802
1760381403.741432,708627.000,49262,1,T1,1,100,32.843
1760381403.874431,708760.000,49293,1,T1,1,100,32.790
1760381404.007430,708893.000,49310,1,T1,1,100,32.732
1760381404.141429,709027.000,49327,1,T1,1,100,32.884
1760381404.274429,709160.000,49358,1,T1,1,100,32.879
1760381404.407428,709293.000,49376,1,T1,1,100,32.770
1760381404.541427,709427.000,49392,1,T1,1,100,32.830
1760381404.674426,709560.000,49424,1,T1,1,100,32.891
1760381404.807425,709693.000,49441,1,T1,1,100,32.775
1760381404.941424,709827.000,49457,1,T1,1,100,32.726
1760381405.074423,709960.000,49489,1,T1,1,100,32.846
1760381405.207422,710093.000,49506,1,T1,1,100,32.721
1760381405.341422,710227.000,49524,1,T1,1,100,32.737
1760381405.474421,710360.000,49542,1,T1,1,100,32.744
1760381405.607420,710493.000,49573,1,T1,1,100,32.748
1760381405.741419,710627.000,49590,1,T1,1,100,32.820
1760381405.874418,710760.000,49607,1,T1,1,100,32.780
1760381406.007417,710893.000,49639,1,T1,1,100,32.692
1760381406.141417,711027.000,49655,1,T1,1,100,32.690
1760381406.274416,711160.000,49674,1,T1,1,100,32.724
1760381406.407415,711293.000,49706,1,T1,1,100,32.810
1760381406.540414,711426.000,49722,1,T1,1,100,32.847
1760381406.674413,711560.000,49741,1,T1,1,100,32.898
1760381406.807412,711693.000,49775,1,T1,1,100,32.779
1760381406.940412,711826.000,49791,1,T1,1,100,32.762
1760381407.074411,711960.000,49809,1,T1,1,100,32.826
1760381407.207410,712093.000,49844,1,T1,1,100,32.889
1760381407.340409,712226.000,49860,1,T1,1,100,32.810
1760381407.474408,712360.000,49878,1,T1,1,100,32.670
1760381407.607407,712493.000,49894,1,T1,1,100,32.680
1760381407.740406,712626.000,49926,1,T1,1,100,32.755
1760381407.874406,712760.000,49943,1,T1,1,100,32.788
1760381408.007405,712893.000,49967,1,T1,1,100,32.837
1760381408.140404,713026.000,49984,1,T1,1,100,32.717
1760381408.274403,713160.000,50017,1,T1,1,100,32.700
1760381408.407402,713293.000,50035,1,T1,1,100,32.693
1760381408.540401,713426.000,50051,1,T1,1,100,32.654
1760381408.674400,713560.000,50085,1,T1,1,100,32.780
1760381408.807400,713693.000,50102,1,T1,1,100,32.763
1760381408.940399,713826.000,50118,1,T1,1,100,32.685
1760381409.074398,713960.000,50150,1,T1,1,100,32.686
1760381409.207397,714093.000,50167,1,T1,1,100,32.793
1760381409.340396,714226.000,50185,1,T1,1,100,32.733
1760381409.474395,714360.000,50203,1,T1,1,100,32.778
1760381409.607394,714493.000,50234,1,T1,1,100,32.762
