LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1760381627.460252,932345.000,21039,3,AZ,1,100,0.290
1760381627.460252,932345.000,21039,3,AZ,1,100,0.259
1760381627.460252,932345.000,21039,3,AZ,1,100,0.192
1760381627.500251,932385.000,21056,2,AZ,1,100,0.117
1760381627.540251,932425.000,21056,2,AZ,1,100,0.151
1760381627.580250,932465.000,21072,3,AZ,1,100,0.215
1760381627.620249,932505.000,21072,3,AZ,1,100,0.135
1760381627.660248,932545.000,21072,3,AZ,1,100,0.161
1760381627.700248,932585.000,21090,3,AZ,1,100,0.167
1760381627.740247,932625.000,21090,3,AZ,1,100,0.191
1760381627.780246,932665.000,21090,3,AZ,1,100,0.209
1760381627.820245,932705.000,21106,2,AZ,1,100,0.219
1760381627.860245,932745.000,21106,2,AZ,1,100,0.234
1760381627.900244,932785.000,21126,3,AZ,1,100,0.225
1760381627.940243,932825.000,21126,3,AZ,1,100,0.150
1760381627.980242,932865.000,21126,3,AZ,1,100,0.155
1760381628.020242,932905.000,21143,2,AZ,1,100,0.072
1760381628.060241,932945.000,21143,2,AZ,1,100,0.034
1760381628.100240,932985.000,21160,3,AZ,1,100,0.017
1760381628.140239,933025.000,21160,3,AZ,1,100,-0.022
1760381628.180239,933065.000,21160,3,AZ,1,100,0.002
1760381628.220238,933105.000,21178,2,AZ,1,100,0.060
1760381628.260237,933145.000,21178,2,AZ,1,100,-0.042
1760381628.300236,933185.000,21194,3,AZ,1,100,-0.013
1760381628.340236,933225.000,21194,3,AZ,1,100,-0.004
1760381628.380235,933265.000,21194,3,AZ,1,100,0.048
1760381628.420234,933305.000,21210,2,AZ,1,100,0.135
1760381628.460233,933345.000,21210,2,AZ,1,100,0.208
1760381628.500233,933385.000,21227,3,AZ,1,100,0.319
1760381628.540232,933425.000,21227,3,AZ,1,100,0.357
1760381628.580231,933465.000,21227,3,AZ,1,100,0.336
1760381628.620230,933505.000,21243,2,AZ,1,100,0.391
1760381628.660230,933545.000,21243,2,AZ,1,100,0.270
1760381628.700229,933585.000,21263,3,AZ,1,100,0.207
1760381628.740228,933625.000,21263,3,AZ,1,100,0.201
1760381628.780228,933665.000,21263,3,AZ,1,100,0.285
1760381628.820227,933705.000,21277,2,AZ,1,100,0.205
1760381628.860226,933745.000,21277,2,AZ,1,100,0.134
1760381628.900225,933785.000,21294,3,AZ,1,100,0.131
1760381628.940225,933825.000,21294,3,AZ,1,100,0.178
1760381628.980224,933865.000,21294,3,AZ,1,100,0.213
1760381629.020223,933905.000,21311,3,AZ,1,100,0.216
1760381629.060222,933945.000,21311,3,AZ,1,100,0.220
1760381629.100222,933985.000,21311,3,AZ,1,100,0.234
1760381629.140221,934025.000,21330,2,AZ,1,100,0.232
1760381629.180220,934065.000,21330,2,AZ,1,100,0.208
1760381629.220219,934105.000,21344,3,AZ,1,100,0.221
1760381629.260219,934145.000,21344,3,AZ,1,100,0.200
1760381629.300218,934185.000,21344,3,AZ,1,100,0.114
1760381629.340217,934225.000,21364,2,AZ,1,100,0.082
