LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760381632.025167,936910.000,21819,1,BV,1,100,3.79
1760381637.025074,941910.000,22665,1,BV,1,100,3.79
1760381642.023982,946909.000,23514,1,BV,1,100,3.79
1760381647.023889,951909.000,24386,1,BV,1,100,3.79
1760381652.022796,956908.000,25232,1,BV,1,100,3.79
1760381657.022703,961908.000,26085,1,BV,1,100,3.79
1760381662.021611,966907.000,26937,1,BV,1,100,3.78
1760381667.021518,971907.000,27791,1,BV,1,100,3.78
1760381672.020425,976906.000,28664,1,BV,1,100,3.79
1760381677.020332,981906.000,29519,1,BV,1,100,3.79
1760381682.019239,986905.000,30372,1,BV,1,100,3.79
1760381687.019147,991905.000,31225,1,BV,1,100,3.79
1760381692.018054,996904.000,32093,1,BV,1,100,3.79
1760381697.017961,1001904.000,32946,1,BV,1,100,3.79
1760381702.016868,1006903.000,33777,1,BV,1,100,3.79
1760381707.016776,1011903.000,34631,1,BV,1,100,3.79
1760381712.015683,1016902.000,35481,1,BV,1,100,3.79
1760381717.015590,1021902.000,36326,1,BV,1,100,3.78
1760381722.014497,1026901.000,37147,1,BV,1,100,3.78
1760381727.014405,1031901.000,37990,1,BV,1,100,3.78
1760381732.013312,1036900.000,38845,1,BV,1,100,3.78
1760381737.013219,1041900.000,39693,1,BV,1,100,3.78
1760381742.012126,1046899.000,40540,1,BV,1,100,3.78
1760381747.012033,1051899.000,41386,1,BV,1,100,3.79
1760381752.010941,1056898.000,42208,1,BV,1,100,3.78
