LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760381627.460252,932345.000,21033,2,EA,1,100,0.151977
1760381627.460252,932345.000,21033,2,EA,1,100,0.151814
1760381627.526251,932411.000,21052,1,EA,1,100,0.152127
1760381627.593250,932478.000,21066,2,EA,1,100,0.151764
1760381627.660248,932545.000,21066,2,EA,1,100,0.151933
1760381627.726247,932611.000,21084,1,EA,1,100,0.152260
1760381627.793246,932678.000,21100,2,EA,1,100,0.152190
1760381627.860245,932745.000,21100,2,EA,1,100,0.152093
1760381627.926243,932811.000,21122,1,EA,1,100,0.152147
1760381627.992742,932877.500,21137,2,EA,1,100,0.152190
1760381628.059241,932944.000,21137,2,EA,1,100,0.152247
1760381628.126240,933011.000,21154,1,EA,1,100,0.152747
1760381628.192739,933077.500,21172,2,EA,1,100,0.152264
1760381628.259237,933144.000,21172,2,EA,1,100,0.151877
1760381628.326236,933211.000,21189,1,EA,1,100,0.151894
1760381628.392735,933277.500,21205,2,EA,1,100,0.152067
1760381628.459234,933344.000,21205,2,EA,1,100,0.152311
1760381628.526232,933411.000,21221,2,EA,1,100,0.152552
1760381628.593231,933478.000,21221,2,EA,1,100,0.152411
1760381628.659230,933544.000,21237,1,EA,1,100,0.152200
1760381628.726228,933611.000,21257,2,EA,1,100,0.152475
1760381628.793227,933678.000,21257,2,EA,1,100,0.152428
1760381628.859226,933744.000,21273,1,EA,1,100,0.152297
1760381628.926225,933811.000,21288,2,EA,1,100,0.152344
1760381628.993224,933878.000,21288,2,EA,1,100,0.152408
1760381629.059222,933944.000,21305,1,EA,1,100,0.152431
1760381629.126221,934011.000,21324,2,EA,1,100,0.152341
1760381629.193220,934078.000,21324,2,EA,1,100,0.152280
1760381629.259219,934144.000,21340,1,EA,1,100,0.152367
1760381629.326217,934211.000,21358,2,EA,1,100,0.152807
1760381629.393216,934278.000,21358,2,EA,1,100,0.152831
1760381629.459215,934344.000,21376,1,EA,1,100,0.152197
1760381629.526214,934411.000,21393,2,EA,1,100,0.152194
1760381629.593212,934478.000,21393,2,EA,1,100,0.152441
1760381629.659211,934544.000,21409,1,EA,1,100,0.152454
