LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760381627.514251,932399.000,21048,1,HR,1,100,97.43
1760381628.754228,933639.000,21252,1,HR,1,100,86.53
1760381629.394216,934279.000,21353,1,HR,1,100,88.14
1760381629.994205,934879.000,21458,1,HR,1,100,90.77
1760381630.634193,935519.000,21577,1,HR,1,100,91.43
1760381631.234182,936119.000,21682,1,HR,1,100,93.34
1760381631.834171,936719.000,21769,1,HR,1,100,94.82
1760381632.474159,937359.000,21890,1,HR,1,100,94.58
1760381633.114147,937999.000,22000,1,HR,1,100,94.40
1760381633.727136,938612.000,22102,1,HR,1,100,95.64
1760381634.367124,939252.000,22207,1,HR,1,100,95.22
1760381635.207108,940092.000,22344,1,HR,1,100,89.93
1760381635.607101,940492.000,22413,1,HR,1,100,103.28
1760381636.207090,941092.000,22515,1,HR,1,100,102.55
1760381637.367068,942252.000,22721,1,HR,1,100,91.26
1760381638.286051,943171.000,22882,1,HR,1,100,85.47
1760381639.806023,944691.000,23134,1,HR,1,100,75.25
1760381640.606008,945491.000,23256,1,HR,1,100,75.19
1760381641.006001,945891.000,23325,1,HR,1,100,91.82
1760381641.605989,946491.000,23428,1,HR,1,100,93.64
1760381641.845985,946731.000,23480,1,HR,1,100,128.39
1760381642.205978,947091.000,23535,1,HR,1,100,136.89
1760381642.858966,947744.000,23654,1,HR,1,100,127.30
1760381643.418956,948304.000,23747,1,HR,1,100,122.82
1760381644.018945,948904.000,23850,1,HR,1,100,117.75
1760381644.618934,949504.000,23955,1,HR,1,100,113.81
1760381645.258922,950144.000,24061,1,HR,1,100,109.35
1760381645.818911,950704.000,24165,1,HR,1,100,108.86
1760381646.978890,951864.000,24351,1,HR,1,100,96.16
1760381648.178868,953064.000,24559,1,HR,1,100,85.90
1760381648.698858,953584.000,24648,1,HR,1,100,92.45
1760381649.338846,954224.000,24751,1,HR,1,100,92.74
1760381649.938835,954824.000,24854,1,HR,1,100,94.36
1760381650.578823,955464.000,24971,1,HR,1,100,94.22
1760381651.178812,956064.000,25060,1,HR,1,100,95.51
1760381651.751801,956637.000,25162,1,HR,1,100,98.09
1760381652.351790,957237.000,25269,1,HR,1,100,98.52
1760381652.951779,957837.000,25372,1,HR,1,100,98.85
1760381653.511769,958397.000,25461,1,HR,1,100,100.69
1760381654.111758,958997.000,25565,1,HR,1,100,100.54
1760381654.710746,959596.000,25668,1,HR,1,100,100.42
1760381655.310735,960196.000,25773,1,HR,1,100,100.32
1760381655.950723,960836.000,25877,1,HR,1,100,98.86
1760381656.510713,961396.000,25979,1,HR,1,100,100.70
1760381657.030703,961916.000,26067,1,HR,1,100,103.97
1760381657.670691,962556.000,26172,1,HR,1,100,101.70
1760381658.230681,963116.000,26277,1,HR,1,100,102.91
1760381658.470677,963356.000,26313,1,HR,1,100,135.60
1760381658.830670,963716.000,26389,1,HR,1,100,142.50
1760381660.070647,964956.000,26594,1,HR,1,100,121.59
1760381661.283624,966169.000,26800,1,HR,1,100,105.68
1760381662.123609,967009.000,26941,1,HR,1,100,98.07
1760381662.483602,967369.000,27010,1,HR,1,100,113.31
1760381663.083591,967969.000,27097,1,HR,1,100,110.35
1760381663.683580,968569.000,27202,1,HR,1,100,108.05
1760381664.323568,969209.000,27327,1,HR,1,100,104.87
1760381664.883558,969769.000,27415,1,HR,1,100,105.38
1760381665.403548,970289.000,27502,1,HR,1,100,107.60
1760381666.043536,970929.000,27622,1,HR,1,100,104.52
1760381667.243514,972129.000,27828,1,HR,1,100,92.41
1760381668.443491,973329.000,28017,1,HR,1,100,82.98
1760381669.082480,973968.000,28144,1,HR,1,100,85.38
1760381669.696468,974582.000,28246,1,HR,1,100,88.63
1760381670.256458,975142.000,28335,1,HR,1,100,92.74
1760381670.896446,975782.000,28440,1,HR,1,100,92.96
1760381671.455436,976341.000,28541,1,HR,1,100,96.12
1760381672.055424,976941.000,28645,1,HR,1,100,96.98
1760381672.615414,977501.000,28735,1,HR,1,100,99.24
1760381672.855410,977741.000,28788,1,HR,1,100,132.74
1760381673.255402,978141.000,28857,1,HR,1,100,136.58
1760381673.815392,978701.000,28943,1,HR,1,100,130.04
1760381674.455380,979341.000,29068,1,HR,1,100,121.97
1760381674.975370,979861.000,29155,1,HR,1,100,120.51
1760381675.695357,980581.000,29277,1,HR,1,100,112.25
1760381676.255347,981141.000,29363,1,HR,1,100,111.11
1760381676.895334,981781.000,29485,1,HR,1,100,107.25
1760381677.375326,982261.000,29556,1,HR,1,100,111.20
1760381678.055313,982941.000,29677,1,HR,1,100,106.09
1760381678.655302,983541.000,29780,1,HR,1,100,104.74
1760381679.268291,984154.000,29890,1,HR,1,100,103.69
1760381679.868279,984754.000,29991,1,HR,1,100,102.87
1760381680.468268,985354.000,30096,1,HR,1,100,102.23
1760381681.068257,985954.000,30203,1,HR,1,100,101.73
1760381681.668246,986554.000,30303,1,HR,1,100,101.35
1760381682.268235,987154.000,30392,1,HR,1,100,101.05
1760381682.908223,987794.000,30511,1,HR,1,100,99.43
1760381683.468213,988354.000,30600,1,HR,1,100,101.14
1760381684.068202,988954.000,30704,1,HR,1,100,100.89
1760381684.667190,989553.000,30812,1,HR,1,100,100.69
1760381685.267179,990153.000,30917,1,HR,1,100,100.54
1760381685.827169,990713.000,31020,1,HR,1,100,102.01
1760381686.507156,991393.000,31125,1,HR,1,100,98.95
1760381687.707134,992593.000,31332,1,HR,1,100,88.07
1760381688.920111,993806.000,31536,1,HR,1,100,79.61
1760381689.520100,994406.000,31644,1,HR,1,100,84.14
1760381690.120089,995006.000,31747,1,HR,1,100,87.66
1760381690.680079,995566.000,31834,1,HR,1,100,91.99
1760381691.000073,995886.000,31903,1,HR,1,100,113.22
1760381691.360066,996246.000,31956,1,HR,1,100,125.10
1760381692.000054,996886.000,32059,1,HR,1,100,118.13
1760381692.560044,997446.000,32165,1,HR,1,100,115.69
1760381693.080034,997966.000,32251,1,HR,1,100,115.62
1760381693.720022,998606.000,32354,1,HR,1,100,110.76
1760381694.560007,999446.000,32513,1,HR,1,100,102.02
1760381695.079997,999966.000,32601,1,HR,1,100,104.99
1760381696.119978,1001006.000,32771,1,HR,1,100,94.48
1760381696.919963,1001806.000,32909,1,HR,1,100,90.15
1760381697.332955,1002219.000,32980,1,HR,1,100,103.45
1760381697.892945,1002779.000,33067,1,HR,1,100,104.27
1760381698.532933,1003419.000,33187,1,HR,1,100,101.93
1760381699.132922,1004019.000,33289,1,HR,1,100,101.50
1760381699.772910,1004659.000,33382,1,HR,1,100,99.78
1760381700.372899,1005259.000,33485,1,HR,1,100,99.83
1760381700.971888,1005858.000,33590,1,HR,1,100,99.87
