LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760381627.926243,932811.000,21167,1,SA,1,100,0.000600
1760381628.927225,933812.000,21319,1,SA,1,100,0.000087
1760381629.327217,934212.000,21371,1,SA,1,100,0.000024
1760381629.727210,934612.000,21438,1,SA,1,100,0.000064
1760381629.927206,934812.000,21475,1,SA,1,100,0.000283
1760381630.127203,935012.000,21526,1,SA,1,100,0.000128
1760381630.527195,935412.000,21578,1,SA,1,100,0.000503
1760381630.926188,935811.000,21646,1,SA,1,100,0.000280
1760381631.326180,936211.000,21748,1,SA,1,100,0.000474
1760381631.792172,936677.000,21784,1,SA,1,100,0.000309
1760381632.126165,937011.000,21854,1,SA,1,100,0.000207
1760381632.392160,937277.000,21891,1,SA,1,100,0.000300
1760381632.592157,937477.000,21942,1,SA,1,100,0.000163
1760381632.993149,937878.000,22001,1,SA,1,100,0.000402
1760381633.193146,938078.000,22083,1,SA,1,100,0.000508
1760381633.793134,938678.000,22153,1,SA,1,100,0.000260
1760381634.059129,938944.000,22188,1,SA,1,100,0.000134
1760381634.592120,939477.000,22274,1,SA,1,100,0.000096
1760381634.859115,939744.000,22307,1,SA,1,100,0.000459
1760381635.192109,940077.000,22376,1,SA,1,100,0.000080
1760381635.459104,940344.000,22414,1,SA,1,100,0.000406
1760381636.126091,941011.000,22581,1,SA,1,100,0.000163
1760381636.592083,941477.000,22616,1,SA,1,100,0.000661
1760381636.859078,941744.000,22685,1,SA,1,100,0.000504
1760381637.259070,942144.000,22722,1,SA,1,100,0.000272
1760381637.459066,942344.000,22790,1,SA,1,100,0.000439
1760381637.859059,942744.000,22823,1,SA,1,100,0.000287
1760381638.192053,943077.000,22898,1,SA,1,100,0.000438
1760381639.058037,943943.000,23031,1,SA,1,100,0.000472
1760381639.458030,944343.000,23099,1,SA,1,100,0.000229
1760381639.726024,944611.000,23135,1,SA,1,100,0.000215
1760381639.926021,944811.000,23186,1,SA,1,100,0.000296
1760381640.258014,945143.000,23238,1,SA,1,100,0.000496
1760381640.526010,945411.000,23291,1,SA,1,100,0.000287
1760381640.858003,945743.000,23342,1,SA,1,100,0.000606
1760381641.125998,946011.000,23445,1,SA,1,100,0.000751
1760381642.124980,947010.000,23550,1,SA,1,100,0.000243
1760381642.324976,947210.000,23586,1,SA,1,100,0.000196
1760381642.658970,947544.000,23655,1,SA,1,100,0.000638
1760381642.924965,947810.000,23711,1,SA,1,100,0.000376
1760381643.324958,948210.000,23749,1,SA,1,100,0.000331
1760381643.524954,948410.000,23816,1,SA,1,100,0.000230
1760381643.857948,948743.000,23851,1,SA,1,100,0.000712
1760381644.124943,949010.000,23903,1,SA,1,100,0.000432
1760381644.524935,949410.000,23956,1,SA,1,100,0.000491
1760381644.724932,949610.000,23991,1,SA,1,100,0.000144
1760381644.924928,949810.000,24025,1,SA,1,100,0.000090
1760381645.124924,950010.000,24062,1,SA,1,100,0.000142
1760381645.324920,950210.000,24113,1,SA,1,100,0.000301
1760381645.924909,950810.000,24199,1,SA,1,100,0.000229
1760381646.257903,951143.000,24267,1,SA,1,100,0.000266
1760381646.524898,951410.000,24316,1,SA,1,100,0.000306
1760381647.057888,951943.000,24405,1,SA,1,100,0.000387
1760381647.457881,952343.000,24472,1,SA,1,100,0.000239
1760381647.723876,952609.000,24506,1,SA,1,100,0.000294
1760381648.257866,953143.000,24614,1,SA,1,100,0.000441
1760381648.657859,953543.000,24666,1,SA,1,100,0.000482
1760381649.457844,954343.000,24817,1,SA,1,100,0.000282
1760381649.790838,954676.000,24869,1,SA,1,100,0.000749
1760381650.456825,955342.000,24972,1,SA,1,100,0.000515
1760381650.656821,955542.000,25006,1,SA,1,100,0.000313
1760381651.056814,955942.000,25075,1,SA,1,100,0.000451
1760381651.256810,956142.000,25143,1,SA,1,100,0.000538
1760381651.656803,956542.000,25180,1,SA,1,100,0.000425
1760381651.856799,956742.000,25199,1,SA,1,100,0.000323
1760381652.189793,957075.000,25270,1,SA,1,100,0.000584
1760381652.456788,957342.000,25320,1,SA,1,100,0.000328
1760381653.189775,958075.000,25479,1,SA,1,100,0.000714
1760381653.656766,958542.000,25514,1,SA,1,100,0.000285
1760381653.989760,958875.000,25567,1,SA,1,100,0.000430
1760381654.189756,959075.000,25634,1,SA,1,100,0.000377
1760381654.589749,959475.000,25669,1,SA,1,100,0.000490
1760381654.922742,959808.000,25737,1,SA,1,100,0.000019
1760381655.189737,960075.000,25774,1,SA,1,100,0.000515
1760381655.522731,960408.000,25841,1,SA,1,100,0.000050
1760381655.789726,960675.000,25878,1,SA,1,100,0.000575
1760381656.390715,961276.000,25980,1,SA,1,100,0.000662
1760381656.590711,961476.000,26031,1,SA,1,100,0.000209
1760381656.990704,961876.000,26087,1,SA,1,100,0.000397
1760381657.190700,962076.000,26137,1,SA,1,100,0.000461
1760381657.590693,962476.000,26189,1,SA,1,100,0.000304
1760381657.790689,962676.000,26240,1,SA,1,100,0.000287
1760381658.189682,963075.000,26294,1,SA,1,100,0.000141
1760381658.389678,963275.000,26335,1,SA,1,100,0.000359
1760381658.789671,963675.000,26390,1,SA,1,100,0.000090
1760381658.989667,963875.000,26440,1,SA,1,100,0.000184
1760381659.389659,964275.000,26491,1,SA,1,100,0.000122
1760381659.589656,964475.000,26543,1,SA,1,100,0.000204
1760381659.989648,964875.000,26596,1,SA,1,100,0.000319
1760381660.189645,965075.000,26663,1,SA,1,100,0.000386
1760381660.589637,965475.000,26697,1,SA,1,100,0.000008
1760381660.789634,965675.000,26748,1,SA,1,100,0.000550
1760381661.189626,966075.000,26801,1,SA,1,100,0.000254
1760381661.389622,966275.000,26851,1,SA,1,100,0.000194
1760381661.655617,966541.000,26904,1,SA,1,100,0.000674
1760381661.989611,966875.000,26958,1,SA,1,100,0.000425
1760381662.322605,967208.000,27011,1,SA,1,100,0.000575
1760381662.589600,967475.000,27046,1,SA,1,100,0.000164
1760381662.922594,967808.000,27116,1,SA,1,100,0.000647
1760381663.189589,968075.000,27149,1,SA,1,100,0.000457
1760381663.588582,968474.000,27223,1,SA,1,100,0.000423
1760381663.788578,968674.000,27259,1,SA,1,100,0.000265
1760381664.055573,968941.000,27328,1,SA,1,100,0.000799
1760381664.388567,969274.000,27362,1,SA,1,100,0.000460
1760381664.788559,969674.000,27431,1,SA,1,100,0.000417
1760381664.988556,969874.000,27467,1,SA,1,100,0.000158
1760381665.255551,970141.000,27536,1,SA,1,100,0.000808
1760381665.588544,970474.000,27571,1,SA,1,100,0.000398
1760381666.188533,971074.000,27655,1,SA,1,100,0.000138
1760381666.521527,971407.000,27722,1,SA,1,100,0.000495
1760381666.788522,971674.000,27758,1,SA,1,100,0.000253
1760381667.121516,972007.000,27829,1,SA,1,100,0.000392
1760381667.388511,972274.000,27863,1,SA,1,100,0.000229
1760381667.721505,972607.000,27931,1,SA,1,100,0.000428
1760381668.054499,972940.000,27983,1,SA,1,100,0.000115
1760381668.321494,973207.000,28035,1,SA,1,100,0.000308
1760381668.588489,973474.000,28070,1,SA,1,100,0.000115
1760381668.921483,973807.000,28145,1,SA,1,100,0.000463
1760381669.188478,974074.000,28195,1,SA,1,100,0.000339
1760381669.588470,974474.000,28247,1,SA,1,100,0.000012
1760381669.788466,974674.000,28283,1,SA,1,100,0.000033
1760381670.122460,975008.000,28352,1,SA,1,100,0.000470
1760381670.388455,975274.000,28386,1,SA,1,100,0.000141
1760381670.722449,975608.000,28455,1,SA,1,100,0.000341
1760381671.254439,976140.000,28542,1,SA,1,100,0.000866
1760381671.521434,976407.000,28591,1,SA,1,100,0.000597
1760381671.922427,976808.000,28646,1,SA,1,100,0.000525
1760381672.121423,977007.000,28698,1,SA,1,100,0.000214
1760381672.521416,977407.000,28751,1,SA,1,100,0.000401
1760381672.721412,977607.000,28789,1,SA,1,100,0.000353
1760381673.321401,978207.000,28890,1,SA,1,100,0.000266
1760381673.721394,978607.000,28959,1,SA,1,100,0.000420
1760381673.921390,978807.000,29000,1,SA,1,100,0.000393
1760381674.321382,979207.000,29069,1,SA,1,100,0.000472
1760381674.521379,979407.000,29087,1,SA,1,100,0.000170
1760381674.854373,979740.000,29156,1,SA,1,100,0.000682
1760381675.120368,980006.000,29190,1,SA,1,100,0.000439
1760381675.454361,980340.000,29257,1,SA,1,100,0.000517
1760381675.720356,980606.000,29295,1,SA,1,100,0.000107
1760381676.054350,980940.000,29364,1,SA,1,100,0.000755
1760381676.320345,981206.000,29399,1,SA,1,100,0.000416
1760381676.654339,981540.000,29467,1,SA,1,100,0.000864
1760381676.921334,981807.000,29522,1,SA,1,100,0.000150
1760381677.321327,982207.000,29574,1,SA,1,100,0.000505
1760381677.521323,982407.000,29624,1,SA,1,100,0.000564
1760381677.921316,982807.000,29678,1,SA,1,100,0.000528
1760381678.121312,983007.000,29712,1,SA,1,100,0.000260
1760381678.453306,983339.000,29781,1,SA,1,100,0.000876
1760381678.721301,983607.000,29817,1,SA,1,100,0.000576
1760381679.320290,984206.000,29923,1,SA,1,100,0.000256
1760381679.720282,984606.000,29992,1,SA,1,100,0.000533
1760381679.920279,984806.000,30028,1,SA,1,100,0.000536
1760381680.320271,985206.000,30097,1,SA,1,100,0.000678
1760381680.520267,985406.000,30131,1,SA,1,100,0.000205
1760381680.853261,985739.000,30183,1,SA,1,100,0.001009
1760381681.120256,986006.000,30235,1,SA,1,100,0.000464
1760381681.787244,986673.000,30338,1,SA,1,100,0.000114
1760381682.120238,987006.000,30409,1,SA,1,100,0.000458
1760381682.387233,987273.000,30460,1,SA,1,100,0.000440
1760381682.787225,987673.000,30512,1,SA,1,100,0.000084
1760381682.987221,987873.000,30548,1,SA,1,100,0.000283
1760381683.320215,988206.000,30617,1,SA,1,100,0.000518
1760381683.586210,988472.000,30650,1,SA,1,100,0.000235
1760381683.986203,988872.000,30720,1,SA,1,100,0.000120
1760381684.186199,989072.000,30760,1,SA,1,100,0.000231
1760381684.520193,989406.000,30829,1,SA,1,100,0.000740
1760381684.786188,989672.000,30863,1,SA,1,100,0.000387
1760381685.186181,990072.000,30933,1,SA,1,100,0.000403
1760381685.386177,990272.000,30968,1,SA,1,100,0.000183
1760381685.720171,990606.000,31021,1,SA,1,100,0.000636
1760381685.986166,990872.000,31073,1,SA,1,100,0.000367
1760381686.386158,991272.000,31126,1,SA,1,100,0.000468
1760381686.586155,991472.000,31176,1,SA,1,100,0.000242
1760381686.986147,991872.000,31229,1,SA,1,100,0.000542
1760381687.186144,992072.000,31280,1,SA,1,100,0.000495
1760381687.586136,992472.000,31350,1,SA,1,100,0.000343
1760381688.186125,993072.000,31434,1,SA,1,100,0.000467
1760381688.386121,993272.000,31484,1,SA,1,100,0.000516
1760381688.786114,993672.000,31553,1,SA,1,100,0.000281
1760381689.319104,994205.000,31645,1,SA,1,100,0.000856
1760381689.586099,994472.000,31695,1,SA,1,100,0.000418
1760381689.986092,994872.000,31748,1,SA,1,100,0.000549
1760381690.186088,995072.000,31783,1,SA,1,100,0.000224
1760381690.520082,995406.000,31853,1,SA,1,100,0.000489
1760381690.852076,995738.000,31904,1,SA,1,100,0.000279
1760381691.452065,996338.000,31991,1,SA,1,100,0.000143
1760381691.785058,996671.000,32060,1,SA,1,100,0.000727
1760381692.052053,996938.000,32096,1,SA,1,100,0.000488
1760381692.452046,997338.000,32166,1,SA,1,100,0.000009
1760381692.652042,997538.000,32201,1,SA,1,100,0.000065
1760381693.319030,998205.000,32318,1,SA,1,100,0.000092
1760381693.585025,998471.000,32373,1,SA,1,100,0.000421
1760381693.853020,998739.000,32406,1,SA,1,100,0.000171
1760381694.453009,999339.000,32514,1,SA,1,100,0.000200
1760381694.718004,999604.000,32581,1,SA,1,100,0.000599
1760381695.051998,999938.000,32617,1,SA,1,100,0.000042
1760381695.385991,1000272.000,32684,1,SA,1,100,0.000378
