LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760385420.658645,1286473,14248,2,AK,1,100,13417,RD
1760385420.670645,1286485,14251,2,AK,1,100,14249,RD
1760385425.765629,1291580,15110,2,AK,1,100,14249,RD
1760385425.776629,1291591,15113,2,AK,1,100,15111,RD
1760385430.876613,1296691,15965,2,AK,1,100,15111,RD
1760385430.908612,1296723,15968,2,AK,1,100,15966,RD
1760385435.985596,1301800,16823,2,AK,1,100,15966,RD
1760385436.009596,1301824,16826,2,AK,1,100,16824,RD
1760385441.116580,1306931,17692,2,AK,1,100,16824,RD
1760385441.131580,1306946,17695,2,AK,1,100,17693,RD
1760385446.224564,1312039,18553,2,AK,1,100,17693,RD
1760385446.242564,1312057,18556,2,AK,1,100,18554,RD
1760385451.332548,1317147,19413,2,AK,1,100,18554,RD
1760385456.440532,1322255,20270,2,AK,1,100,19414,RD
1760385456.442532,1322257,20272,2,AK,1,100,19414,RD
1760385456.454532,1322269,20275,2,AK,1,100,20273,RD
1760385461.553515,1327368,21132,2,AK,1,100,20273,RD
1760385461.582515,1327397,21135,2,AK,1,100,21133,RD
1760385466.661499,1332476,21992,2,AK,1,100,21133,RD
1760385466.683499,1332498,21995,2,AK,1,100,21993,RD
1760385471.798483,1337613,22865,2,AK,1,100,21993,RD
1760385471.816483,1337631,22868,2,AK,1,100,22866,RD
1760385476.904467,1342719,23714,2,AK,1,100,22866,RD
1760385476.919467,1342734,23717,2,AK,1,100,23715,RD
1760385482.012450,1347827,24574,2,AK,1,100,23715,RD
1760385482.037451,1347852,24577,2,AK,1,100,24575,RD
1760385487.157434,1352972,25437,2,AK,1,100,24575,RD
1760385487.179434,1352994,25440,2,AK,1,100,25438,RD
1760385492.265418,1358080,26293,2,AK,1,100,25438,RD
1760385492.297418,1358112,26296,2,AK,1,100,26294,RD
1760385497.405402,1363220,27163,2,AK,1,100,26294,RD
1760385497.444402,1363259,27166,2,AK,1,100,27164,RD
1760385502.514386,1368329,28012,2,AK,1,100,27164,RD
1760385502.557385,1368372,28015,2,AK,1,100,28013,RD
1760385507.621369,1373436,28865,2,AK,1,100,28013,RD
1760385507.648369,1373463,28868,2,AK,1,100,28866,RD
1760385512.764353,1378579,29735,2,AK,1,100,28866,RD
1760385512.778353,1378593,29738,2,AK,1,100,29736,RD
1760385517.872337,1383687,30592,2,AK,1,100,29736,RD
1760385517.948337,1383763,30595,2,AK,1,100,30593,RD
1760385522.981321,1388796,31436,2,AK,1,100,30593,RD
1760385528.098305,1393913,32280,2,AK,1,100,31437,RD
1760385528.101305,1393916,32282,2,AK,1,100,31437,RD
1760385528.141304,1393956,32285,2,AK,1,100,32283,RD
1760385533.206288,1399021,33127,2,AK,1,100,32283,RD
1760385533.249288,1399064,33130,2,AK,1,100,33128,RD
1760385538.328272,1404143,33977,2,AK,1,100,33128,RD
1760385538.351272,1404166,33980,2,AK,1,100,33978,RD
1760385543.453256,1409268,34828,2,AK,1,100,33978,RD
1760385543.499256,1409314,34831,2,AK,1,100,34829,RD
1760385548.573240,1414388,35678,2,AK,1,100,34829,RD
1760385548.598239,1414413,35681,2,AK,1,100,35679,RD
