LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760385418.370652,1284185.000,13865,3,AY,1,100,0.045
1760385418.370652,1284185.000,13865,3,AY,1,100,0.046
1760385418.370652,1284185.000,13865,3,AY,1,100,0.047
1760385418.410652,1284225.000,13884,2,AY,1,100,0.042
1760385418.450652,1284265.000,13884,2,AY,1,100,0.046
1760385418.490652,1284305.000,13899,3,AY,1,100,0.045
1760385418.530652,1284345.000,13899,3,AY,1,100,0.055
1760385418.570652,1284385.000,13899,3,AY,1,100,0.036
1760385418.610651,1284425.000,13916,3,AY,1,100,0.052
1760385418.650651,1284465.000,13916,3,AY,1,100,0.056
1760385418.690651,1284505.000,13916,3,AY,1,100,0.049
1760385418.730651,1284545.000,13932,2,AY,1,100,0.042
1760385418.770651,1284585.000,13932,2,AY,1,100,0.052
1760385418.810651,1284625.000,13950,3,AY,1,100,0.044
1760385418.850651,1284665.000,13950,3,AY,1,100,0.054
1760385418.890651,1284705.000,13950,3,AY,1,100,0.057
1760385418.930650,1284745.000,13966,2,AY,1,100,0.049
1760385418.970650,1284785.000,13966,2,AY,1,100,0.048
1760385419.010650,1284825.000,13983,3,AY,1,100,0.050
1760385419.050650,1284865.000,13983,3,AY,1,100,0.050
1760385419.090650,1284905.000,13983,3,AY,1,100,0.054
1760385419.130650,1284945.000,14001,2,AY,1,100,0.049
1760385419.170650,1284985.000,14001,2,AY,1,100,0.046
1760385419.210650,1285025.000,14019,3,AY,1,100,0.052
1760385419.250649,1285065.000,14019,3,AY,1,100,0.054
1760385419.290649,1285105.000,14019,3,AY,1,100,0.047
1760385419.330649,1285145.000,14033,2,AY,1,100,0.043
1760385419.370649,1285185.000,14033,2,AY,1,100,0.052
1760385419.410649,1285225.000,14050,3,AY,1,100,0.045
1760385419.450649,1285265.000,14050,3,AY,1,100,0.047
1760385419.490649,1285305.000,14050,3,AY,1,100,0.048
1760385419.530649,1285345.000,14067,2,AY,1,100,0.047
1760385419.570648,1285385.000,14067,2,AY,1,100,0.044
1760385419.610648,1285425.000,14084,3,AY,1,100,0.042
1760385419.650648,1285465.000,14084,3,AY,1,100,0.041
1760385419.690648,1285505.000,14084,3,AY,1,100,0.056
1760385419.730648,1285545.000,14101,2,AY,1,100,0.034
1760385419.770648,1285585.000,14101,2,AY,1,100,0.046
1760385419.810648,1285625.000,14118,3,AY,1,100,0.046
1760385419.850648,1285665.000,14118,3,AY,1,100,0.042
1760385419.890647,1285705.000,14118,3,AY,1,100,0.038
1760385419.930647,1285745.000,14134,3,AY,1,100,0.044
1760385419.970647,1285785.000,14134,3,AY,1,100,0.049
1760385420.010647,1285825.000,14134,3,AY,1,100,0.044
1760385420.050647,1285865.000,14151,2,AY,1,100,0.048
1760385420.090647,1285905.000,14151,2,AY,1,100,0.046
1760385420.130647,1285945.000,14170,3,AY,1,100,0.043
1760385420.170647,1285985.000,14170,3,AY,1,100,0.046
1760385420.210646,1286025.000,14170,3,AY,1,100,0.047
1760385420.250646,1286065.000,14187,2,AY,1,100,0.048
1760385420.290646,1286105.000,14187,2,AY,1,100,0.056
1760385420.330646,1286145.000,14203,3,AY,1,100,0.032
1760385420.370646,1286185.000,14203,3,AY,1,100,0.052
1760385420.410646,1286225.000,14203,3,AY,1,100,0.055
1760385420.450646,1286265.000,14220,2,AY,1,100,0.048
1760385420.490646,1286305.000,14220,2,AY,1,100,0.042
1760385420.530645,1286345.000,14239,3,AY,1,100,0.051
1760385420.570645,1286385.000,14239,3,AY,1,100,0.042
1760385420.610645,1286425.000,14239,3,AY,1,100,0.053
1760385420.650645,1286465.000,14259,2,AY,1,100,0.053
1760385420.690645,1286505.000,14259,2,AY,1,100,0.048
1760385420.730645,1286545.000,14277,3,AY,1,100,0.049
1760385420.770645,1286585.000,14277,3,AY,1,100,0.049
1760385420.810645,1286625.000,14277,3,AY,1,100,0.053
1760385420.850644,1286665.000,14295,3,AY,1,100,0.054
1760385420.890644,1286705.000,14295,3,AY,1,100,0.052
1760385420.930644,1286745.000,14295,3,AY,1,100,0.039
1760385420.970644,1286785.000,14311,2,AY,1,100,0.055
1760385421.010644,1286825.000,14311,2,AY,1,100,0.052
1760385421.050644,1286865.000,14326,3,AY,1,100,0.065
1760385421.090644,1286905.000,14326,3,AY,1,100,0.069
1760385421.130644,1286945.000,14326,3,AY,1,100,0.018
1760385421.170643,1286985.000,14345,2,AY,1,100,0.008
1760385421.210643,1287025.000,14345,2,AY,1,100,0.056
1760385421.246310,1287060.667,14364,3,AY,1,100,0.047
1760385421.281976,1287096.333,14364,3,AY,1,100,0.028
1760385421.317643,1287132.000,14364,3,AY,1,100,0.029
1760385421.357643,1287172.000,14380,3,AY,1,100,0.047
1760385421.397643,1287212.000,14380,3,AY,1,100,0.039
1760385421.437643,1287252.000,14380,3,AY,1,100,0.045
1760385421.477643,1287292.000,14396,2,AY,1,100,0.034
1760385421.517642,1287332.000,14396,2,AY,1,100,0.034
1760385421.557642,1287372.000,14412,3,AY,1,100,0.048
1760385421.597642,1287412.000,14412,3,AY,1,100,0.036
1760385421.637642,1287452.000,14412,3,AY,1,100,0.030
1760385421.677642,1287492.000,14429,2,AY,1,100,0.032
1760385421.717642,1287532.000,14429,2,AY,1,100,0.040
1760385421.757308,1287571.667,14447,3,AY,1,100,0.044
1760385421.796975,1287611.333,14447,3,AY,1,100,0.045
1760385421.836641,1287651.000,14447,3,AY,1,100,0.037
1760385421.876641,1287691.000,14469,2,AY,1,100,0.039
1760385421.916641,1287731.000,14469,2,AY,1,100,0.039
1760385421.956641,1287771.000,14483,3,AY,1,100,0.035
1760385421.996641,1287811.000,14483,3,AY,1,100,0.038
1760385422.036641,1287851.000,14483,3,AY,1,100,0.051
1760385422.076641,1287891.000,14500,2,AY,1,100,0.025
1760385422.116640,1287931.000,14500,2,AY,1,100,0.046
1760385422.156640,1287971.000,14517,3,AY,1,100,0.045
1760385422.196640,1288011.000,14517,3,AY,1,100,0.042
1760385422.236640,1288051.000,14517,3,AY,1,100,0.035
1760385422.276640,1288091.000,14536,2,AY,1,100,0.042
1760385422.316640,1288131.000,14536,2,AY,1,100,0.036
1760385422.356640,1288171.000,14550,3,AY,1,100,0.042
1760385422.396640,1288211.000,14550,3,AY,1,100,0.044
1760385422.436639,1288251.000,14550,3,AY,1,100,0.042
1760385422.476639,1288291.000,14570,3,AY,1,100,0.041
1760385422.516639,1288331.000,14570,3,AY,1,100,0.037
1760385422.556639,1288371.000,14570,3,AY,1,100,0.043
1760385422.596639,1288411.000,14588,2,AY,1,100,0.037
1760385422.636639,1288451.000,14588,2,AY,1,100,0.049
1760385422.676639,1288491.000,14605,3,AY,1,100,0.021
1760385422.716639,1288531.000,14605,3,AY,1,100,0.042
1760385422.756638,1288571.000,14605,3,AY,1,100,0.042
1760385422.796638,1288611.000,14619,2,AY,1,100,0.038
1760385422.836638,1288651.000,14619,2,AY,1,100,0.032
1760385422.876638,1288691.000,14639,3,AY,1,100,0.038
1760385422.916638,1288731.000,14639,3,AY,1,100,0.036
1760385422.956638,1288771.000,14639,3,AY,1,100,0.038
1760385422.996638,1288811.000,14655,2,AY,1,100,0.035
1760385423.036638,1288851.000,14655,2,AY,1,100,0.033
1760385423.076637,1288891.000,14674,3,AY,1,100,0.036
1760385423.116637,1288931.000,14674,3,AY,1,100,0.037
1760385423.156637,1288971.000,14674,3,AY,1,100,0.035
1760385423.196637,1289011.000,14691,2,AY,1,100,0.030
1760385423.236637,1289051.000,14691,2,AY,1,100,0.026
1760385423.276637,1289091.000,14708,3,AY,1,100,0.026
1760385423.316637,1289131.000,14708,3,AY,1,100,0.040
1760385423.356637,1289171.000,14708,3,AY,1,100,0.038
1760385423.396636,1289211.000,14724,2,AY,1,100,0.031
1760385423.436636,1289251.000,14724,2,AY,1,100,0.027
1760385423.476636,1289291.000,14742,3,AY,1,100,0.041
1760385423.516636,1289331.000,14742,3,AY,1,100,0.031
1760385423.556636,1289371.000,14742,3,AY,1,100,0.040
1760385423.596636,1289411.000,14759,2,AY,1,100,0.043
1760385423.636636,1289451.000,14759,2,AY,1,100,0.032
1760385423.676636,1289491.000,14777,3,AY,1,100,0.043
1760385423.716635,1289531.000,14777,3,AY,1,100,0.036
1760385423.756635,1289571.000,14777,3,AY,1,100,0.031
1760385423.796635,1289611.000,14793,2,AY,1,100,0.038
1760385423.836635,1289651.000,14793,2,AY,1,100,0.036
1760385423.876635,1289691.000,14811,3,AY,1,100,0.033
1760385423.916635,1289731.000,14811,3,AY,1,100,0.044
1760385423.956635,1289771.000,14811,3,AY,1,100,0.042
1760385423.996634,1289811.000,14826,2,AY,1,100,0.032
1760385424.036634,1289851.000,14826,2,AY,1,100,0.030
1760385424.076634,1289891.000,14842,3,AY,1,100,0.042
1760385424.116634,1289931.000,14842,3,AY,1,100,0.032
1760385424.156634,1289971.000,14842,3,AY,1,100,0.039
1760385424.196634,1290011.000,14859,3,AY,1,100,0.039
1760385424.236634,1290051.000,14859,3,AY,1,100,0.037
1760385424.276634,1290091.000,14859,3,AY,1,100,0.035
