LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760385418.276653,1284091.000,13853,1,EA,1,100,0.070318
1760385418.342652,1284157.000,13860,1,EA,1,100,0.070306
1760385418.409652,1284224.000,13879,2,EA,1,100,0.070286
1760385418.476652,1284291.000,13879,2,EA,1,100,0.070275
1760385418.542652,1284357.000,13896,1,EA,1,100,0.070273
1760385418.609652,1284424.000,13911,2,EA,1,100,0.070272
1760385418.676651,1284491.000,13911,2,EA,1,100,0.070271
1760385418.742651,1284557.000,13927,1,EA,1,100,0.070287
1760385418.809651,1284624.000,13945,2,EA,1,100,0.070288
1760385418.876651,1284691.000,13945,2,EA,1,100,0.070308
1760385418.942651,1284757.000,13963,1,EA,1,100,0.070306
1760385419.009650,1284824.000,13978,2,EA,1,100,0.070291
1760385419.076650,1284891.000,13978,2,EA,1,100,0.070282
1760385419.142650,1284957.000,13996,1,EA,1,100,0.070284
1760385419.209650,1285024.000,14014,2,EA,1,100,0.070286
1760385419.276649,1285091.000,14014,2,EA,1,100,0.070298
1760385419.342649,1285157.000,14030,1,EA,1,100,0.070296
1760385419.409649,1285224.000,14045,2,EA,1,100,0.070296
1760385419.476649,1285291.000,14045,2,EA,1,100,0.070299
1760385419.542649,1285357.000,14062,1,EA,1,100,0.070318
1760385419.609648,1285424.000,14079,2,EA,1,100,0.070327
1760385419.676648,1285491.000,14079,2,EA,1,100,0.070344
1760385419.742648,1285557.000,14097,1,EA,1,100,0.070336
1760385419.809648,1285624.000,14114,2,EA,1,100,0.070320
1760385419.876647,1285691.000,14114,2,EA,1,100,0.070323
1760385419.943147,1285757.500,14129,2,EA,1,100,0.070343
1760385420.009647,1285824.000,14129,2,EA,1,100,0.070348
1760385420.076647,1285891.000,14146,1,EA,1,100,0.070353
1760385420.143147,1285957.500,14165,2,EA,1,100,0.070358
1760385420.209646,1286024.000,14165,2,EA,1,100,0.070366
1760385420.276646,1286091.000,14184,1,EA,1,100,0.070361
1760385420.343146,1286157.500,14198,2,EA,1,100,0.070358
1760385420.409646,1286224.000,14198,2,EA,1,100,0.070356
1760385420.476646,1286291.000,14215,1,EA,1,100,0.070361
1760385420.543145,1286357.500,14234,2,EA,1,100,0.070371
1760385420.609645,1286424.000,14234,2,EA,1,100,0.070372
1760385420.676645,1286491.000,14256,1,EA,1,100,0.070366
1760385420.743145,1286557.500,14272,2,EA,1,100,0.070366
1760385420.809644,1286624.000,14272,2,EA,1,100,0.070382
1760385420.876644,1286691.000,14290,1,EA,1,100,0.070405
1760385420.943144,1286757.500,14306,2,EA,1,100,0.070421
1760385421.009644,1286824.000,14306,2,EA,1,100,0.070434
1760385421.076644,1286891.000,14323,1,EA,1,100,0.070432
1760385421.143143,1286957.500,14340,2,EA,1,100,0.070426
1760385421.209643,1287024.000,14340,2,EA,1,100,0.070410
1760385421.276643,1287091.000,14359,1,EA,1,100,0.070409
1760385421.343143,1287157.500,14375,2,EA,1,100,0.070404
1760385421.409643,1287224.000,14375,2,EA,1,100,0.070408
1760385421.476642,1287291.000,14392,1,EA,1,100,0.070398
1760385421.543142,1287357.500,14408,2,EA,1,100,0.070425
1760385421.609642,1287424.000,14408,2,EA,1,100,0.070461
1760385421.675642,1287490.000,14424,1,EA,1,100,0.070469
1760385421.742642,1287557.000,14442,2,EA,1,100,0.070448
1760385421.809641,1287624.000,14442,2,EA,1,100,0.070454
1760385421.876141,1287690.500,14464,2,EA,1,100,0.070484
1760385421.942641,1287757.000,14464,2,EA,1,100,0.070463
1760385422.009641,1287824.000,14480,1,EA,1,100,0.070453
1760385422.076141,1287890.500,14495,2,EA,1,100,0.070474
1760385422.142640,1287957.000,14495,2,EA,1,100,0.070480
1760385422.209640,1288024.000,14512,1,EA,1,100,0.070486
1760385422.276140,1288090.500,14531,2,EA,1,100,0.070479
1760385422.342640,1288157.000,14531,2,EA,1,100,0.070497
1760385422.409639,1288224.000,14547,1,EA,1,100,0.070503
1760385422.476139,1288290.500,14565,2,EA,1,100,0.070507
1760385422.542639,1288357.000,14565,2,EA,1,100,0.070494
1760385422.609639,1288424.000,14583,1,EA,1,100,0.070506
1760385422.676139,1288490.500,14600,2,EA,1,100,0.070522
1760385422.742638,1288557.000,14600,2,EA,1,100,0.070536
1760385422.809638,1288624.000,14616,1,EA,1,100,0.070561
1760385422.876138,1288690.500,14634,2,EA,1,100,0.070575
1760385422.942638,1288757.000,14634,2,EA,1,100,0.070559
1760385423.009638,1288824.000,14650,1,EA,1,100,0.070556
1760385423.076137,1288890.500,14669,2,EA,1,100,0.070573
1760385423.142637,1288957.000,14669,2,EA,1,100,0.070578
1760385423.209637,1289024.000,14688,1,EA,1,100,0.070575
1760385423.276137,1289090.500,14703,2,EA,1,100,0.070585
1760385423.342637,1289157.000,14703,2,EA,1,100,0.070585
1760385423.409636,1289224.000,14719,1,EA,1,100,0.070617
1760385423.476136,1289290.500,14737,2,EA,1,100,0.070636
1760385423.542636,1289357.000,14737,2,EA,1,100,0.070644
1760385423.609636,1289424.000,14755,1,EA,1,100,0.070633
1760385423.676136,1289490.500,14773,2,EA,1,100,0.070631
1760385423.742635,1289557.000,14773,2,EA,1,100,0.070633
1760385423.809635,1289624.000,14788,1,EA,1,100,0.070630
1760385423.876135,1289690.500,14806,2,EA,1,100,0.070624
1760385423.942635,1289757.000,14806,2,EA,1,100,0.070639
1760385424.009634,1289824.000,14822,1,EA,1,100,0.070639
1760385424.076134,1289890.500,14838,2,EA,1,100,0.070649
1760385424.142634,1289957.000,14838,2,EA,1,100,0.070652
1760385424.209134,1290023.500,14854,2,EA,1,100,0.070665
1760385424.275634,1290090.000,14854,2,EA,1,100,0.070684
1760385424.342633,1290157.000,14873,1,EA,1,100,0.070689
1760385424.409133,1290223.500,14891,2,EA,1,100,0.070676
1760385424.475633,1290290.000,14891,2,EA,1,100,0.070685
1760385424.542633,1290357.000,14909,1,EA,1,100,0.070703
1760385424.609133,1290423.500,14923,2,EA,1,100,0.070718
1760385424.675632,1290490.000,14923,2,EA,1,100,0.070746
1760385424.742632,1290557.000,14942,1,EA,1,100,0.070756
1760385424.809132,1290623.500,14961,2,EA,1,100,0.070740
1760385424.875632,1290690.000,14961,2,EA,1,100,0.070760
1760385424.942631,1290757.000,14978,1,EA,1,100,0.070757
1760385425.009131,1290823.500,14992,2,EA,1,100,0.070746
1760385425.075631,1290890.000,14992,2,EA,1,100,0.070729
1760385425.142631,1290957.000,15009,1,EA,1,100,0.070745
1760385425.209131,1291023.500,15028,2,EA,1,100,0.070764
1760385425.275630,1291090.000,15028,2,EA,1,100,0.070758
