LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1760385418.276653,1284091.000,13854,1,EL,1,100,170.399994
1760385418.342652,1284157.000,13861,1,EL,1,100,173.800003
1760385418.409652,1284224.000,13880,2,EL,1,100,179.399994
1760385418.476652,1284291.000,13880,2,EL,1,100,182.399994
1760385418.542652,1284357.000,13897,1,EL,1,100,183.000000
1760385418.609652,1284424.000,13912,2,EL,1,100,183.199997
1760385418.676651,1284491.000,13912,2,EL,1,100,183.399994
1760385418.742651,1284557.000,13928,1,EL,1,100,179.000000
1760385418.809651,1284624.000,13946,2,EL,1,100,178.800003
1760385418.876651,1284691.000,13946,2,EL,1,100,173.199997
1760385418.942651,1284757.000,13964,1,EL,1,100,173.800003
1760385419.009650,1284824.000,13979,2,EL,1,100,178.000000
1760385419.076650,1284891.000,13979,2,EL,1,100,180.399994
1760385419.142650,1284957.000,13997,1,EL,1,100,180.000000
1760385419.209650,1285024.000,14015,2,EL,1,100,179.399994
1760385419.276649,1285091.000,14015,2,EL,1,100,176.000000
1760385419.342649,1285157.000,14031,1,EL,1,100,176.600006
1760385419.409649,1285224.000,14046,2,EL,1,100,176.600006
1760385419.476649,1285291.000,14046,2,EL,1,100,175.800003
1760385419.542649,1285357.000,14063,1,EL,1,100,170.199997
1760385419.609648,1285424.000,14080,2,EL,1,100,167.800003
1760385419.676648,1285491.000,14080,2,EL,1,100,163.000000
1760385419.742648,1285557.000,14098,1,EL,1,100,165.399994
1760385419.809648,1285624.000,14115,2,EL,1,100,169.800003
1760385419.876647,1285691.000,14115,2,EL,1,100,168.800003
1760385419.943147,1285757.500,14130,2,EL,1,100,163.199997
1760385420.009647,1285824.000,14130,2,EL,1,100,162.000000
1760385420.076647,1285891.000,14147,1,EL,1,100,160.399994
1760385420.143147,1285957.500,14166,2,EL,1,100,159.199997
1760385420.209646,1286024.000,14166,2,EL,1,100,156.800003
1760385420.276646,1286091.000,14185,1,EL,1,100,158.199997
1760385420.343146,1286157.500,14199,2,EL,1,100,159.199997
1760385420.409646,1286224.000,14199,2,EL,1,100,159.600006
1760385420.476646,1286291.000,14216,1,EL,1,100,158.199997
1760385420.543145,1286357.500,14235,2,EL,1,100,155.399994
