LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1760385418.370652,1284185.000,13869,3,GZ,1,100,-0.946
1760385418.370652,1284185.000,13869,3,GZ,1,100,-0.244
1760385418.370652,1284185.000,13869,3,GZ,1,100,-0.092
1760385418.410652,1284225.000,13888,2,GZ,1,100,-0.336
1760385418.450652,1284265.000,13888,2,GZ,1,100,-0.824
1760385418.490652,1284305.000,13903,3,GZ,1,100,-0.732
1760385418.530652,1284345.000,13903,3,GZ,1,100,-0.549
1760385418.570652,1284385.000,13903,3,GZ,1,100,0.305
1760385418.610651,1284425.000,13920,3,GZ,1,100,-0.885
1760385418.650651,1284465.000,13920,3,GZ,1,100,-1.465
1760385418.690651,1284505.000,13920,3,GZ,1,100,0.092
1760385418.730651,1284545.000,13936,2,GZ,1,100,1.007
1760385418.770651,1284585.000,13936,2,GZ,1,100,-0.366
1760385418.810651,1284625.000,13954,3,GZ,1,100,-0.946
1760385418.850651,1284665.000,13954,3,GZ,1,100,-1.404
1760385418.890651,1284705.000,13954,3,GZ,1,100,-1.343
1760385418.930650,1284745.000,13970,2,GZ,1,100,0.336
1760385418.970650,1284785.000,13970,2,GZ,1,100,1.434
1760385419.010650,1284825.000,13987,3,GZ,1,100,0.732
1760385419.050650,1284865.000,13987,3,GZ,1,100,0.061
1760385419.090650,1284905.000,13987,3,GZ,1,100,-0.183
1760385419.130650,1284945.000,14005,2,GZ,1,100,-0.061
1760385419.170650,1284985.000,14005,2,GZ,1,100,1.404
1760385419.210650,1285025.000,14023,3,GZ,1,100,0.061
1760385419.250649,1285065.000,14023,3,GZ,1,100,0.122
1760385419.290649,1285105.000,14023,3,GZ,1,100,1.373
1760385419.330649,1285145.000,14037,2,GZ,1,100,1.617
1760385419.370649,1285185.000,14037,2,GZ,1,100,0.275
1760385419.410649,1285225.000,14054,3,GZ,1,100,0.397
1760385419.450649,1285265.000,14054,3,GZ,1,100,0.793
1760385419.490649,1285305.000,14054,3,GZ,1,100,0.641
1760385419.530649,1285345.000,14071,2,GZ,1,100,0.885
1760385419.570648,1285385.000,14071,2,GZ,1,100,1.190
1760385419.610648,1285425.000,14088,3,GZ,1,100,0.977
1760385419.650648,1285465.000,14088,3,GZ,1,100,0.824
1760385419.690648,1285505.000,14088,3,GZ,1,100,0.488
1760385419.730648,1285545.000,14105,2,GZ,1,100,0.946
1760385419.770648,1285585.000,14105,2,GZ,1,100,1.129
1760385419.810648,1285625.000,14122,3,GZ,1,100,-0.427
1760385419.850648,1285665.000,14122,3,GZ,1,100,0.366
1760385419.890647,1285705.000,14122,3,GZ,1,100,1.007
1760385419.930647,1285745.000,14138,3,GZ,1,100,-0.092
1760385419.970647,1285785.000,14138,3,GZ,1,100,-1.282
1760385420.010647,1285825.000,14138,3,GZ,1,100,-0.610
1760385420.050647,1285865.000,14155,2,GZ,1,100,-0.580
1760385420.090647,1285905.000,14155,2,GZ,1,100,-0.031
1760385420.130647,1285945.000,14174,3,GZ,1,100,0.549
1760385420.170647,1285985.000,14174,3,GZ,1,100,-0.214
1760385420.210646,1286025.000,14174,3,GZ,1,100,-1.007
1760385420.250646,1286065.000,14191,2,GZ,1,100,-0.916
1760385420.290646,1286105.000,14191,2,GZ,1,100,-0.305
1760385420.330646,1286145.000,14207,3,GZ,1,100,0.916
1760385420.370646,1286185.000,14207,3,GZ,1,100,-0.610
1760385420.410646,1286225.000,14207,3,GZ,1,100,-1.648
1760385420.450646,1286265.000,14224,2,GZ,1,100,-0.031
1760385420.490646,1286305.000,14224,2,GZ,1,100,1.038
1760385420.530645,1286345.000,14243,3,GZ,1,100,-0.153
1760385420.570645,1286385.000,14243,3,GZ,1,100,-0.885
1760385420.610645,1286425.000,14243,3,GZ,1,100,-1.129
1760385420.650645,1286465.000,14263,2,GZ,1,100,-1.099
1760385420.690645,1286505.000,14263,2,GZ,1,100,0.061
1760385420.730645,1286545.000,14281,3,GZ,1,100,0.366
1760385420.770645,1286585.000,14281,3,GZ,1,100,-0.092
1760385420.810645,1286625.000,14281,3,GZ,1,100,-0.366
1760385420.850644,1286665.000,14299,3,GZ,1,100,-0.153
1760385420.890644,1286705.000,14299,3,GZ,1,100,0.275
1760385420.930644,1286745.000,14299,3,GZ,1,100,1.556
1760385420.970644,1286785.000,14315,2,GZ,1,100,-0.732
1760385421.010644,1286825.000,14315,2,GZ,1,100,-1.251
1760385421.050644,1286865.000,14330,3,GZ,1,100,-0.793
1760385421.090644,1286905.000,14330,3,GZ,1,100,1.068
1760385421.130644,1286945.000,14330,3,GZ,1,100,5.310
1760385421.170643,1286985.000,14349,2,GZ,1,100,5.890
1760385421.210643,1287025.000,14349,2,GZ,1,100,1.373
1760385421.246310,1287060.667,14368,3,GZ,1,100,-2.350
1760385421.281976,1287096.333,14368,3,GZ,1,100,1.984
1760385421.317643,1287132.000,14368,3,GZ,1,100,0.641
1760385421.357643,1287172.000,14384,3,GZ,1,100,-1.709
1760385421.397643,1287212.000,14384,3,GZ,1,100,-0.732
1760385421.437643,1287252.000,14384,3,GZ,1,100,0.793
1760385421.477643,1287292.000,14400,2,GZ,1,100,0.702
1760385421.517642,1287332.000,14400,2,GZ,1,100,1.556
1760385421.557642,1287372.000,14416,3,GZ,1,100,-0.275
1760385421.597642,1287412.000,14416,3,GZ,1,100,0.763
1760385421.637642,1287452.000,14416,3,GZ,1,100,2.106
1760385421.677642,1287492.000,14433,2,GZ,1,100,0.275
1760385421.717642,1287532.000,14433,2,GZ,1,100,-1.465
1760385421.757308,1287571.667,14451,3,GZ,1,100,-1.801
1760385421.796975,1287611.333,14451,3,GZ,1,100,-0.977
1760385421.836641,1287651.000,14451,3,GZ,1,100,0.366
1760385421.876641,1287691.000,14473,2,GZ,1,100,1.068
1760385421.916641,1287731.000,14473,2,GZ,1,100,0.702
1760385421.956641,1287771.000,14487,3,GZ,1,100,0.519
1760385421.996641,1287811.000,14487,3,GZ,1,100,-0.092
1760385422.036641,1287851.000,14487,3,GZ,1,100,-1.099
1760385422.076641,1287891.000,14504,2,GZ,1,100,-0.061
1760385422.116640,1287931.000,14504,2,GZ,1,100,0.000
1760385422.156640,1287971.000,14521,3,GZ,1,100,-1.434
1760385422.196640,1288011.000,14521,3,GZ,1,100,-0.061
1760385422.236640,1288051.000,14521,3,GZ,1,100,1.129
1760385422.276640,1288091.000,14540,2,GZ,1,100,0.122
1760385422.316640,1288131.000,14540,2,GZ,1,100,-0.153
1760385422.356640,1288171.000,14554,3,GZ,1,100,-0.244
1760385422.396640,1288211.000,14554,3,GZ,1,100,-0.732
1760385422.436639,1288251.000,14554,3,GZ,1,100,0.519
1760385422.476639,1288291.000,14574,3,GZ,1,100,1.404
1760385422.516639,1288331.000,14574,3,GZ,1,100,0.641
1760385422.556639,1288371.000,14574,3,GZ,1,100,0.214
1760385422.596639,1288411.000,14592,2,GZ,1,100,0.702
1760385422.636639,1288451.000,14592,2,GZ,1,100,0.702
1760385422.676639,1288491.000,14609,3,GZ,1,100,1.678
1760385422.716639,1288531.000,14609,3,GZ,1,100,0.702
1760385422.756638,1288571.000,14609,3,GZ,1,100,-0.824
1760385422.796638,1288611.000,14623,2,GZ,1,100,0.763
1760385422.836638,1288651.000,14623,2,GZ,1,100,1.648
1760385422.876638,1288691.000,14643,3,GZ,1,100,0.824
