LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760385420.658645,1286473,14249,2,RD,1,100,TL,TU
1760385425.766629,1291581,15111,2,RD,1,100,TL,TU
1760385430.877613,1296692,15966,2,RD,1,100,TL,TU
1760385435.986596,1301801,16824,2,RD,1,100,TL,TU
1760385441.117580,1306932,17693,2,RD,1,100,TL,TU
1760385446.225564,1312040,18554,2,RD,1,100,TL,TU
1760385451.333548,1317148,19414,2,RD,1,100,TL,TU
1760385456.443532,1322258,20273,2,RD,1,100,TL,TU
1760385461.554515,1327369,21133,2,RD,1,100,TL,TU
1760385466.662499,1332477,21993,2,RD,1,100,TL,TU
1760385471.799483,1337614,22866,2,RD,1,100,TL,TU
1760385476.905467,1342720,23715,2,RD,1,100,TL,TU
1760385482.012450,1347827,24575,2,RD,1,100,TL,TU
1760385487.158434,1352973,25438,2,RD,1,100,TL,TU
1760385492.266418,1358081,26294,2,RD,1,100,TL,TU
1760385497.406402,1363221,27164,2,RD,1,100,TL,TU
1760385502.515386,1368330,28013,2,RD,1,100,TL,TU
1760385507.622369,1373437,28866,2,RD,1,100,TL,TU
1760385512.765353,1378580,29736,2,RD,1,100,TL,TU
1760385517.873337,1383688,30593,2,RD,1,100,TL,TU
1760385522.981321,1388796,31437,2,RD,1,100,TL,TU
1760385528.101305,1393916,32283,2,RD,1,100,TL,TU
1760385533.207288,1399022,33128,2,RD,1,100,TL,TU
1760385538.332272,1404147,33978,2,RD,1,100,TL,TU
1760385543.454256,1409269,34829,2,RD,1,100,TL,TU
1760385548.573240,1414388,35679,2,RD,1,100,TL,TU
