LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760385418.209653,1284024.000,13855,1,SA,1,100,0.000054
1760385418.810651,1284625.000,13958,1,SA,1,100,0.000020
1760385419.542649,1285357.000,14092,1,SA,1,100,0.000026
1760385419.943647,1285758.000,14179,1,SA,1,100,0.000023
1760385420.476646,1286291.000,14229,1,SA,1,100,0.000010
1760385420.809644,1286624.000,14334,1,SA,1,100,0.000050
1760385421.476642,1287291.000,14437,1,SA,1,100,0.000072
1760385421.809641,1287624.000,14459,1,SA,1,100,0.000030
1760385422.009641,1287824.000,14526,1,SA,1,100,0.000033
1760385422.342640,1288157.000,14559,1,SA,1,100,0.000009
1760385422.609639,1288424.000,14629,1,SA,1,100,0.000070
1760385423.009638,1288824.000,14682,1,SA,1,100,0.000022
1760385423.409636,1289224.000,14750,1,SA,1,100,0.000027
1760385424.209634,1290024.000,14886,1,SA,1,100,0.000024
1760385424.475633,1290290.000,14955,1,SA,1,100,0.000071
1760385425.142631,1290957.000,15023,1,SA,1,100,0.000019
1760385425.609629,1291424.000,15114,1,SA,1,100,0.000007
1760385425.942628,1291757.000,15200,1,SA,1,100,0.000065
1760385426.275627,1292090.000,15253,1,SA,1,100,0.000069
1760385426.808625,1292623.000,15322,1,SA,1,100,0.000021
1760385427.208624,1293023.000,15423,1,SA,1,100,0.000078
1760385427.808622,1293623.000,15493,1,SA,1,100,0.000006
1760385428.008622,1293823.000,15527,1,SA,1,100,0.000036
1760385428.541620,1294356.000,15613,1,SA,1,100,0.000009
1760385430.075615,1295890.000,16019,1,SA,1,100,0.000153
1760385431.742610,1297557.000,16139,1,SA,1,100,0.000018
1760385432.208608,1298023.000,16240,1,SA,1,100,0.000023
1760385432.542607,1298357.000,16276,1,SA,1,100,0.000009
1760385432.742607,1298557.000,16377,1,SA,1,100,0.000074
1760385433.341605,1299156.000,16412,1,SA,1,100,0.000024
1760385433.541604,1299356.000,16448,1,SA,1,100,0.000020
1760385433.808603,1299623.000,16515,1,SA,1,100,0.000063
1760385434.341602,1300156.000,16584,1,SA,1,100,0.000015
1760385434.541601,1300356.000,16620,1,SA,1,100,0.000018
1760385435.141599,1300956.000,16771,1,SA,1,100,0.000083
1760385436.341595,1302156.000,16997,1,SA,1,100,0.000101
1760385437.407592,1303222.000,17099,1,SA,1,100,0.000033
1760385437.941590,1303756.000,17183,1,SA,1,100,0.000026
1760385438.340589,1304155.000,17370,1,SA,1,100,0.000132
1760385439.540585,1305355.000,17471,1,SA,1,100,0.000069
1760385440.274583,1306089.000,17590,1,SA,1,100,0.000061
1760385441.008580,1306823.000,17749,1,SA,1,100,0.000109
1760385441.740578,1307555.000,17883,1,SA,1,100,0.000070
1760385442.273576,1308088.000,17935,1,SA,1,100,0.000054
1760385442.607575,1308422.000,17971,1,SA,1,100,0.000026
1760385443.007574,1308822.000,18040,1,SA,1,100,0.000011
1760385443.807572,1309622.000,18208,1,SA,1,100,0.000045
1760385444.207570,1310022.000,18244,1,SA,1,100,0.000017
1760385444.407570,1310222.000,18279,1,SA,1,100,0.000014
1760385444.606569,1310421.000,18333,1,SA,1,100,0.000033
1760385445.340567,1311155.000,18435,1,SA,1,100,0.000027
1760385445.806565,1311621.000,18503,1,SA,1,100,0.000019
1760385446.140564,1311955.000,18694,1,SA,1,100,0.000151
1760385448.007558,1313822.000,18895,1,SA,1,100,0.000021
1760385448.273557,1314088.000,19016,1,SA,1,100,0.000095
1760385449.007555,1314822.000,19067,1,SA,1,100,0.000020
1760385449.407554,1315222.000,19118,1,SA,1,100,0.000008
1760385449.606553,1315421.000,19154,1,SA,1,100,0.000015
1760385449.806553,1315621.000,19190,1,SA,1,100,0.000013
1760385450.073552,1315888.000,19242,1,SA,1,100,0.000043
1760385450.740550,1316555.000,19342,1,SA,1,100,0.000002
