LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760385418.542652,1284357.000,13892,1,SF,1,100,102.9909
1760385418.876651,1284691.000,13941,1,SF,1,100,101.7995
1760385419.276649,1285091.000,14010,1,SF,1,100,102.7041
1760385419.542649,1285357.000,14058,1,SF,1,100,101.5161
1760385419.876647,1285691.000,14110,1,SF,1,100,102.4240
1760385420.209646,1286024.000,14161,1,SF,1,100,101.2391
1760385420.609645,1286424.000,14228,1,SF,1,100,102.1502
1760385420.876644,1286691.000,14286,1,SF,1,100,103.0508
1760385421.209643,1287024.000,14336,1,SF,1,100,103.9409
1760385421.609642,1287424.000,14404,1,SF,1,100,102.7386
1760385421.942641,1287757.000,14458,1,SF,1,100,103.6323
1760385422.209640,1288024.000,14508,1,SF,1,100,104.5157
1760385422.542639,1288357.000,14561,1,SF,1,100,107.4712
1760385422.942638,1288757.000,14628,1,SF,1,100,106.2280
1760385423.209637,1289024.000,14684,1,SF,1,100,109.1636
1760385423.542636,1289357.000,14733,1,SF,1,100,107.9008
1760385423.942635,1289757.000,14802,1,SF,1,100,108.7349
1760385424.275634,1290090.000,14850,1,SF,1,100,107.4770
1760385424.542633,1290357.000,14905,1,SF,1,100,108.3160
1760385424.875632,1290690.000,14957,1,SF,1,100,109.1452
1760385425.275630,1291090.000,15022,1,SF,1,100,107.8826
1760385425.542629,1291357.000,15075,1,SF,1,100,108.7169
1760385425.875628,1291690.000,15130,1,SF,1,100,109.5415
1760385426.275627,1292090.000,15202,1,SF,1,100,110.3566
1760385426.608626,1292423.000,15252,1,SF,1,100,109.0799
1760385426.875625,1292690.000,15304,1,SF,1,100,109.9004
1760385427.208624,1293023.000,15355,1,SF,1,100,110.7113
1760385427.608623,1293423.000,15422,1,SF,1,100,109.4306
1760385427.875622,1293690.000,15474,1,SF,1,100,110.2469
1760385428.208621,1294023.000,15529,1,SF,1,100,113.1361
1760385428.541620,1294356.000,15579,1,SF,1,100,111.8273
1760385428.941619,1294756.000,15646,1,SF,1,100,112.6159
1760385429.208618,1295023.000,15699,1,SF,1,100,111.3132
1760385429.541617,1295356.000,15747,1,SF,1,100,110.0255
1760385429.941616,1295756.000,15814,1,SF,1,100,108.7527
1760385430.208615,1296023.000,15863,1,SF,1,100,107.4947
1760385430.541614,1296356.000,15914,1,SF,1,100,106.2512
1760385430.875613,1296690.000,15969,1,SF,1,100,105.0220
1760385431.208611,1297023.000,16021,1,SF,1,100,105.8894
1760385431.608610,1297423.000,16088,1,SF,1,100,104.6644
1760385431.874609,1297689.000,16141,1,SF,1,100,105.5359
1760385432.208608,1298023.000,16191,1,SF,1,100,104.3151
1760385432.608607,1298423.000,16258,1,SF,1,100,105.1906
1760385432.941606,1298756.000,16309,1,SF,1,100,106.0560
1760385433.208605,1299023.000,16361,1,SF,1,100,104.8292
1760385433.541604,1299356.000,16414,1,SF,1,100,107.7810
1760385433.941603,1299756.000,16483,1,SF,1,100,108.6164
1760385434.208602,1300023.000,16535,1,SF,1,100,109.4422
1760385434.541601,1300356.000,16586,1,SF,1,100,110.2584
1760385434.941600,1300756.000,16656,1,SF,1,100,111.0652
1760385435.274599,1301089.000,16705,1,SF,1,100,109.7804
1760385435.541598,1301356.000,16754,1,SF,1,100,108.5104
1760385435.874597,1301689.000,16804,1,SF,1,100,109.3374
1760385436.207596,1302022.000,16862,1,SF,1,100,108.0726
1760385436.607594,1302422.000,16931,1,SF,1,100,106.8224
1760385436.874594,1302689.000,16979,1,SF,1,100,105.5867
1760385437.207592,1303022.000,17032,1,SF,1,100,106.4475
1760385437.607591,1303422.000,17098,1,SF,1,100,105.2161
1760385437.874590,1303689.000,17151,1,SF,1,100,106.0812
1760385438.207589,1304022.000,17202,1,SF,1,100,106.9363
1760385438.540588,1304355.000,17250,1,SF,1,100,105.6993
1760385438.940587,1304755.000,17317,1,SF,1,100,104.4765
1760385439.207586,1305022.000,17372,1,SF,1,100,105.3502
1760385439.540585,1305355.000,17420,1,SF,1,100,104.1315
1760385439.940584,1305755.000,17489,1,SF,1,100,105.0091
1760385440.207583,1306022.000,17538,1,SF,1,100,103.7944
1760385440.540582,1306355.000,17592,1,SF,1,100,104.6759
1760385440.873581,1306688.000,17641,1,SF,1,100,103.4650
1760385441.273580,1307088.000,17715,1,SF,1,100,102.2682
1760385441.540579,1307355.000,17767,1,SF,1,100,103.1674
1760385441.873578,1307688.000,17816,1,SF,1,100,101.9739
1760385442.273576,1308088.000,17885,1,SF,1,100,102.8765
1760385442.540576,1308355.000,17937,1,SF,1,100,103.7687
1760385442.873575,1308688.000,17990,1,SF,1,100,104.6505
1760385443.207574,1309022.000,18042,1,SF,1,100,105.5222
1760385443.607572,1309422.000,18107,1,SF,1,100,104.3015
1760385443.873571,1309688.000,18160,1,SF,1,100,103.0949
1760385444.207570,1310022.000,18210,1,SF,1,100,103.9846
1760385444.606569,1310421.000,18281,1,SF,1,100,106.9462
1760385444.940568,1310755.000,18332,1,SF,1,100,105.7090
1760385445.206567,1311021.000,18384,1,SF,1,100,106.5684
1760385445.540566,1311355.000,18437,1,SF,1,100,107.4179
1760385445.940565,1311755.000,18502,1,SF,1,100,106.1753
1760385446.206564,1312021.000,18557,1,SF,1,100,107.0293
1760385446.540563,1312355.000,18610,1,SF,1,100,105.7912
1760385446.940562,1312755.000,18678,1,SF,1,100,104.5674
1760385447.273561,1313088.000,18729,1,SF,1,100,105.4400
1760385447.540560,1313355.000,18780,1,SF,1,100,104.2202
1760385447.873559,1313688.000,18828,1,SF,1,100,103.0146
1760385448.273557,1314088.000,18897,1,SF,1,100,103.9052
1760385448.539557,1314354.000,18948,1,SF,1,100,102.7032
1760385448.873556,1314688.000,18998,1,SF,1,100,101.5151
1760385449.273554,1315088.000,19069,1,SF,1,100,104.5053
1760385449.606553,1315421.000,19120,1,SF,1,100,105.3786
1760385449.873552,1315688.000,19174,1,SF,1,100,106.2419
