LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760385418.336652,1284151.000,13862,1,T1,1,100,32.300
1760385418.469652,1284284.000,13881,1,T1,1,100,32.307
1760385418.602652,1284417.000,13913,1,T1,1,100,32.381
1760385418.736651,1284551.000,13929,1,T1,1,100,32.307
1760385418.869651,1284684.000,13947,1,T1,1,100,32.275
1760385419.002650,1284817.000,13980,1,T1,1,100,32.296
1760385419.136650,1284951.000,13998,1,T1,1,100,32.376
1760385419.269650,1285084.000,14016,1,T1,1,100,32.305
1760385419.402649,1285217.000,14047,1,T1,1,100,32.345
1760385419.535649,1285350.000,14064,1,T1,1,100,32.397
1760385419.669648,1285484.000,14081,1,T1,1,100,32.314
1760385419.802648,1285617.000,14099,1,T1,1,100,32.348
1760385419.936647,1285751.000,14131,1,T1,1,100,32.328
1760385420.069647,1285884.000,14148,1,T1,1,100,32.319
1760385420.202646,1286017.000,14167,1,T1,1,100,32.386
1760385420.335646,1286150.000,14200,1,T1,1,100,32.344
1760385420.469646,1286284.000,14217,1,T1,1,100,32.255
1760385420.602645,1286417.000,14236,1,T1,1,100,32.323
1760385420.735645,1286550.000,14274,1,T1,1,100,32.317
1760385420.869644,1286684.000,14292,1,T1,1,100,32.279
1760385421.002644,1286817.000,14308,1,T1,1,100,32.263
1760385421.135643,1286950.000,14342,1,T1,1,100,32.397
1760385421.269643,1287084.000,14361,1,T1,1,100,32.278
1760385421.402643,1287217.000,14377,1,T1,1,100,32.333
1760385421.535642,1287350.000,14394,1,T1,1,100,32.357
1760385421.669642,1287484.000,14426,1,T1,1,100,32.296
1760385421.802641,1287617.000,14444,1,T1,1,100,32.305
1760385421.935641,1287750.000,14466,1,T1,1,100,32.309
1760385422.069641,1287884.000,14497,1,T1,1,100,32.382
1760385422.202640,1288017.000,14514,1,T1,1,100,32.272
1760385422.335640,1288150.000,14533,1,T1,1,100,32.330
1760385422.469639,1288284.000,14567,1,T1,1,100,32.320
1760385422.602639,1288417.000,14585,1,T1,1,100,32.280
1760385422.735638,1288550.000,14602,1,T1,1,100,32.299
1760385422.868638,1288683.000,14636,1,T1,1,100,32.306
1760385423.002638,1288817.000,14652,1,T1,1,100,32.310
1760385423.135637,1288950.000,14671,1,T1,1,100,32.382
1760385423.269637,1289084.000,14705,1,T1,1,100,32.343
1760385423.402636,1289217.000,14721,1,T1,1,100,32.290
1760385423.535636,1289350.000,14739,1,T1,1,100,32.374
1760385423.668635,1289483.000,14757,1,T1,1,100,32.374
1760385423.802635,1289617.000,14790,1,T1,1,100,32.339
1760385423.935635,1289750.000,14808,1,T1,1,100,32.289
1760385424.068634,1289883.000,14824,1,T1,1,100,32.338
1760385424.202634,1290017.000,14856,1,T1,1,100,32.359
1760385424.335633,1290150.000,14875,1,T1,1,100,32.439
1760385424.468633,1290283.000,14893,1,T1,1,100,32.367
1760385424.602633,1290417.000,14925,1,T1,1,100,32.230
1760385424.735632,1290550.000,14944,1,T1,1,100,32.277
1760385424.868632,1290683.000,14963,1,T1,1,100,32.403
1760385425.002631,1290817.000,14994,1,T1,1,100,32.210
1760385425.135631,1290950.000,15011,1,T1,1,100,32.268
1760385425.268631,1291083.000,15030,1,T1,1,100,32.364
1760385425.402630,1291217.000,15063,1,T1,1,100,32.229
1760385425.535630,1291350.000,15081,1,T1,1,100,32.276
1760385425.668629,1291483.000,15097,1,T1,1,100,32.297
1760385425.802629,1291617.000,15136,1,T1,1,100,32.341
1760385425.935628,1291750.000,15153,1,T1,1,100,32.325
1760385426.068628,1291883.000,15169,1,T1,1,100,32.318
1760385426.201627,1292016.000,15188,1,T1,1,100,32.279
1760385426.335627,1292150.000,15224,1,T1,1,100,32.334
1760385426.468626,1292283.000,15240,1,T1,1,100,32.393
1760385426.601626,1292416.000,15260,1,T1,1,100,32.347
1760385426.735626,1292550.000,15293,1,T1,1,100,32.327
1760385426.868625,1292683.000,15310,1,T1,1,100,32.425
1760385427.001625,1292816.000,15329,1,T1,1,100,32.361
1760385427.135624,1292950.000,15361,1,T1,1,100,32.405
