LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760385420.656645,1286471,14247,1,TL,1,100,2025-10-13_15-56-55-582413
1760385420.669645,1286484,14250,1,TL,1,100,2025-10-13_15-57-00-664062
1760385425.764629,1291579,15109,1,TL,1,100,2025-10-13_15-57-00-738759
1760385425.775629,1291590,15112,1,TL,1,100,2025-10-13_15-57-05-771129
1760385430.872613,1296687,15964,1,TL,1,100,2025-10-13_15-57-05-818389
1760385430.904613,1296719,15967,1,TL,1,100,2025-10-13_15-57-10-899891
1760385435.983597,1301798,16822,1,TL,1,100,2025-10-13_15-57-10-938731
1760385436.005596,1301820,16825,1,TL,1,100,2025-10-13_15-57-15-996592
1760385441.112580,1306927,17691,1,TL,1,100,2025-10-13_15-57-16-031261
1760385441.130580,1306945,17694,1,TL,1,100,2025-10-13_15-57-21-124315
1760385446.223564,1312038,18552,1,TL,1,100,2025-10-13_15-57-21-245715
1760385446.241564,1312056,18555,1,TL,1,100,2025-10-13_15-57-26-234310
1760385451.331548,1317146,19412,1,TL,1,100,2025-10-13_15-57-26-284173
1760385456.439532,1322254,20269,1,TL,1,100,2025-10-13_15-57-31-401479
1760385456.441532,1322256,20271,1,TL,1,100,2025-10-13_15-57-31-470063
1760385456.452532,1322267,20274,1,TL,1,100,2025-10-13_15-57-36-446832
1760385461.549515,1327364,21131,1,TL,1,100,2025-10-13_15-57-36-535172
1760385461.581515,1327396,21134,1,TL,1,100,2025-10-13_15-57-41-561784
1760385466.660499,1332475,21991,1,TL,1,100,2025-10-13_15-57-41-602751
1760385466.681499,1332496,21994,1,TL,1,100,2025-10-13_15-57-46-673631
1760385471.795483,1337610,22864,1,TL,1,100,2025-10-13_15-57-46-713208
1760385471.814483,1337629,22867,1,TL,1,100,2025-10-13_15-57-51-806205
1760385476.903467,1342718,23713,1,TL,1,100,2025-10-13_15-57-51-903074
1760385476.917467,1342732,23716,1,TL,1,100,2025-10-13_15-57-56-911158
1760385482.011451,1347826,24573,1,TL,1,100,2025-10-13_15-57-56-956464
1760385482.036450,1347851,24576,1,TL,1,100,2025-10-13_15-58-02-030429
1760385487.156434,1352971,25436,1,TL,1,100,2025-10-13_15-58-02-068875
1760385487.177434,1352992,25439,1,TL,1,100,2025-10-13_15-58-07-168281
1760385492.264418,1358079,26292,1,TL,1,100,2025-10-13_15-58-07-242828
1760385492.293418,1358108,26295,1,TL,1,100,2025-10-13_15-58-12-285640
1760385497.404402,1363219,27162,1,TL,1,100,2025-10-13_15-58-12-319680
1760385497.443402,1363258,27165,1,TL,1,100,2025-10-13_15-58-17-435078
1760385502.512386,1368327,28011,1,TL,1,100,2025-10-13_15-58-17-539276
1760385502.556386,1368371,28014,1,TL,1,100,2025-10-13_15-58-22-524079
1760385507.620369,1373435,28864,1,TL,1,100,2025-10-13_15-58-22-581526
1760385507.646369,1373461,28867,1,TL,1,100,2025-10-13_15-58-27-636897
1760385512.763353,1378578,29734,1,TL,1,100,2025-10-13_15-58-27-679118
1760385512.777353,1378592,29737,1,TL,1,100,2025-10-13_15-58-32-771224
1760385517.871337,1383686,30591,1,TL,1,100,2025-10-13_15-58-32-858848
1760385517.944337,1383759,30594,1,TL,1,100,2025-10-13_15-58-37-881423
1760385522.980321,1388795,31435,1,TL,1,100,2025-10-13_15-58-37-976437
1760385528.097305,1393912,32279,1,TL,1,100,2025-10-13_15-58-43-038959
1760385528.100305,1393915,32281,1,TL,1,100,2025-10-13_15-58-43-111998
1760385528.140304,1393955,32284,1,TL,1,100,2025-10-13_15-58-48-133915
1760385533.205288,1399020,33126,1,TL,1,100,2025-10-13_15-58-48-188734
1760385533.248288,1399063,33129,1,TL,1,100,2025-10-13_15-58-53-237002
1760385538.327272,1404142,33976,1,TL,1,100,2025-10-13_15-58-53-410588
1760385538.349272,1404164,33979,1,TL,1,100,2025-10-13_15-58-58-340772
1760385543.449256,1409264,34827,1,TL,1,100,2025-10-13_15-58-58-466580
1760385543.497256,1409312,34830,1,TL,1,100,2025-10-13_15-59-03-459803
1760385548.572240,1414387,35677,1,TL,1,100,2025-10-13_15-59-03-589584
1760385548.594239,1414409,35680,1,TL,1,100,2025-10-13_15-59-08-588501
