LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760385212.860334,1078673.000,44859,1,AY,1,100,-2.004
1760385212.900332,1078713.000,44878,2,AY,1,100,-1.948
1760385212.940331,1078753.000,44878,2,AY,1,100,-1.889
1760385212.980330,1078793.000,44895,3,AY,1,100,-1.071
1760385213.020328,1078833.000,44895,3,AY,1,100,-0.844
1760385213.060327,1078873.000,44895,3,AY,1,100,-0.709
1760385213.100325,1078913.000,44911,2,AY,1,100,-0.499
1760385213.140324,1078953.000,44911,2,AY,1,100,-0.406
1760385213.180323,1078993.000,44927,3,AY,1,100,-0.620
1760385213.220321,1079033.000,44927,3,AY,1,100,-2.555
1760385213.260320,1079073.000,44927,3,AY,1,100,-1.950
1760385213.300318,1079113.000,44943,3,AY,1,100,-1.652
1760385213.340317,1079153.000,44943,3,AY,1,100,-1.705
1760385213.380316,1079193.000,44943,3,AY,1,100,-1.263
1760385213.420314,1079233.000,44960,2,AY,1,100,-0.875
1760385213.460313,1079273.000,44960,2,AY,1,100,-0.621
1760385213.499978,1079312.667,44979,3,AY,1,100,-0.319
1760385213.539644,1079352.333,44979,3,AY,1,100,-0.066
1760385213.579309,1079392.000,44979,3,AY,1,100,-0.439
1760385213.619308,1079432.000,44994,2,AY,1,100,-2.019
1760385213.659306,1079472.000,44994,2,AY,1,100,-1.982
1760385213.699305,1079512.000,45012,3,AY,1,100,-2.113
1760385213.739303,1079552.000,45012,3,AY,1,100,-1.938
1760385213.779302,1079592.000,45012,3,AY,1,100,-1.172
1760385213.819300,1079632.000,45029,2,AY,1,100,-0.858
1760385213.859299,1079672.000,45029,2,AY,1,100,-0.715
1760385213.899298,1079712.000,45046,3,AY,1,100,-0.400
1760385213.939296,1079752.000,45046,3,AY,1,100,-0.257
1760385213.979295,1079792.000,45046,3,AY,1,100,-0.564
1760385214.019294,1079832.000,45061,2,AY,1,100,-2.407
1760385214.059292,1079872.000,45061,2,AY,1,100,-1.949
1760385214.099291,1079912.000,45079,3,AY,1,100,-1.644
1760385214.139289,1079952.000,45079,3,AY,1,100,-1.683
1760385214.179288,1079992.000,45079,3,AY,1,100,-1.182
1760385214.214953,1080027.667,45097,3,AY,1,100,-0.831
1760385214.250619,1080063.333,45097,3,AY,1,100,-0.596
1760385214.286284,1080099.000,45097,3,AY,1,100,-0.242
1760385214.326283,1080139.000,45115,2,AY,1,100,-0.010
1760385214.366282,1080179.000,45115,2,AY,1,100,-0.437
1760385214.406280,1080219.000,45133,3,AY,1,100,-2.023
1760385214.446279,1080259.000,45133,3,AY,1,100,-1.784
1760385214.486278,1080299.000,45133,3,AY,1,100,-2.095
1760385214.526276,1080339.000,45149,2,AY,1,100,-2.079
1760385214.566275,1080379.000,45149,2,AY,1,100,-1.303
1760385214.606273,1080419.000,45166,3,AY,1,100,-0.844
1760385214.646272,1080459.000,45166,3,AY,1,100,-0.761
1760385214.686271,1080499.000,45166,3,AY,1,100,-0.402
1760385214.726269,1080539.000,45182,2,AY,1,100,-0.218
1760385214.766268,1080579.000,45182,2,AY,1,100,-0.198
1760385214.806267,1080619.000,45202,3,AY,1,100,-1.765
