LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1760385212.860334,1078673.000,44860,1,AZ,1,100,-0.090
1760385212.900332,1078713.000,44879,2,AZ,1,100,-0.106
1760385212.940331,1078753.000,44879,2,AZ,1,100,-0.221
1760385212.980330,1078793.000,44896,3,AZ,1,100,-0.227
1760385213.020328,1078833.000,44896,3,AZ,1,100,-0.431
1760385213.060327,1078873.000,44896,3,AZ,1,100,-0.387
1760385213.100325,1078913.000,44912,2,AZ,1,100,-0.391
1760385213.140324,1078953.000,44912,2,AZ,1,100,-0.259
1760385213.180323,1078993.000,44928,3,AZ,1,100,-0.242
1760385213.220321,1079033.000,44928,3,AZ,1,100,-0.249
1760385213.260320,1079073.000,44928,3,AZ,1,100,-0.008
1760385213.300318,1079113.000,44944,3,AZ,1,100,0.152
1760385213.340317,1079153.000,44944,3,AZ,1,100,0.050
1760385213.380316,1079193.000,44944,3,AZ,1,100,0.088
1760385213.420314,1079233.000,44961,2,AZ,1,100,0.138
1760385213.460313,1079273.000,44961,2,AZ,1,100,0.290
1760385213.499978,1079312.667,44980,3,AZ,1,100,0.515
1760385213.539644,1079352.333,44980,3,AZ,1,100,0.481
1760385213.579309,1079392.000,44980,3,AZ,1,100,0.374
1760385213.619308,1079432.000,44995,2,AZ,1,100,0.092
1760385213.659306,1079472.000,44995,2,AZ,1,100,-0.155
1760385213.699305,1079512.000,45013,3,AZ,1,100,-0.332
1760385213.739303,1079552.000,45013,3,AZ,1,100,-0.317
1760385213.779302,1079592.000,45013,3,AZ,1,100,-0.309
1760385213.819300,1079632.000,45030,2,AZ,1,100,-0.423
1760385213.859299,1079672.000,45030,2,AZ,1,100,-0.395
1760385213.899298,1079712.000,45047,3,AZ,1,100,-0.389
1760385213.939296,1079752.000,45047,3,AZ,1,100,-0.235
1760385213.979295,1079792.000,45047,3,AZ,1,100,-0.296
1760385214.019294,1079832.000,45062,2,AZ,1,100,-0.230
1760385214.059292,1079872.000,45062,2,AZ,1,100,0.001
1760385214.099291,1079912.000,45080,3,AZ,1,100,0.162
1760385214.139289,1079952.000,45080,3,AZ,1,100,0.031
1760385214.179288,1079992.000,45080,3,AZ,1,100,0.105
1760385214.214953,1080027.667,45098,3,AZ,1,100,0.183
1760385214.250619,1080063.333,45098,3,AZ,1,100,0.272
1760385214.286284,1080099.000,45098,3,AZ,1,100,0.467
1760385214.326283,1080139.000,45116,2,AZ,1,100,0.423
1760385214.366282,1080179.000,45116,2,AZ,1,100,0.385
1760385214.406280,1080219.000,45134,3,AZ,1,100,0.036
1760385214.446279,1080259.000,45134,3,AZ,1,100,-0.239
1760385214.486278,1080299.000,45134,3,AZ,1,100,-0.281
1760385214.526276,1080339.000,45150,2,AZ,1,100,-0.285
1760385214.566275,1080379.000,45150,2,AZ,1,100,-0.318
1760385214.606273,1080419.000,45167,3,AZ,1,100,-0.211
1760385214.646272,1080459.000,45167,3,AZ,1,100,-0.282
1760385214.686271,1080499.000,45167,3,AZ,1,100,-0.328
1760385214.726269,1080539.000,45183,2,AZ,1,100,-0.375
1760385214.766268,1080579.000,45183,2,AZ,1,100,-0.315
1760385214.806267,1080619.000,45203,3,AZ,1,100,-0.163
1760385214.846265,1080659.000,45203,3,AZ,1,100,0.066
1760385214.886264,1080699.000,45203,3,AZ,1,100,0.130
1760385214.926262,1080739.000,45217,2,AZ,1,100,0.031
1760385214.966261,1080779.000,45217,2,AZ,1,100,0.065
1760385215.006259,1080819.000,45234,3,AZ,1,100,0.057
1760385215.046258,1080859.000,45234,3,AZ,1,100,0.126
1760385215.086257,1080899.000,45234,3,AZ,1,100,0.380
1760385215.126256,1080939.000,45252,3,AZ,1,100,0.539
1760385215.166254,1080979.000,45252,3,AZ,1,100,0.524
1760385215.206253,1081019.000,45252,3,AZ,1,100,0.322
1760385215.245751,1081058.500,45272,2,AZ,1,100,-0.095
1760385215.285250,1081098.000,45272,2,AZ,1,100,-0.262
1760385215.325248,1081138.000,45286,3,AZ,1,100,-0.299
1760385215.365247,1081178.000,45286,3,AZ,1,100,-0.335
1760385215.405246,1081218.000,45286,3,AZ,1,100,-0.250
1760385215.445244,1081258.000,45303,2,AZ,1,100,-0.264
1760385215.485243,1081298.000,45303,2,AZ,1,100,-0.292
1760385215.525242,1081338.000,45320,3,AZ,1,100,-0.295
1760385215.565240,1081378.000,45320,3,AZ,1,100,-0.385
1760385215.605239,1081418.000,45320,3,AZ,1,100,-0.369
1760385215.645237,1081458.000,45339,2,AZ,1,100,-0.119
1760385215.685236,1081498.000,45339,2,AZ,1,100,0.059
1760385215.725235,1081538.000,45353,3,AZ,1,100,0.103
1760385215.765233,1081578.000,45353,3,AZ,1,100,0.046
1760385215.805232,1081618.000,45353,3,AZ,1,100,0.091
1760385215.845731,1081658.500,45373,2,AZ,1,100,0.198
1760385215.886229,1081699.000,45373,2,AZ,1,100,0.294
1760385215.926028,1081738.800,45397,5,AZ,1,100,0.434
1760385215.965827,1081778.600,45397,5,AZ,1,100,0.369
1760385216.005625,1081818.400,45397,5,AZ,1,100,0.250
1760385216.045424,1081858.200,45397,5,AZ,1,100,-0.059
1760385216.085222,1081898.000,45397,5,AZ,1,100,-0.266
1760385216.125721,1081938.500,45411,2,AZ,1,100,-0.281
1760385216.166219,1081979.000,45411,2,AZ,1,100,-0.396
1760385216.205885,1082018.667,45431,3,AZ,1,100,-0.297
1760385216.245550,1082058.333,45431,3,AZ,1,100,-0.322
1760385216.285215,1082098.000,45431,3,AZ,1,100,-0.391
1760385216.325214,1082138.000,45447,3,AZ,1,100,-0.325
1760385216.365213,1082178.000,45447,3,AZ,1,100,-0.277
1760385216.405211,1082218.000,45447,3,AZ,1,100,-0.521
1760385216.445210,1082258.000,45466,2,AZ,1,100,-0.265
1760385216.485209,1082298.000,45466,2,AZ,1,100,-0.087
1760385216.525207,1082338.000,45481,3,AZ,1,100,-0.009
1760385216.565206,1082378.000,45481,3,AZ,1,100,-0.061
1760385216.605204,1082418.000,45481,3,AZ,1,100,0.062
1760385216.645203,1082458.000,45498,2,AZ,1,100,0.175
1760385216.685202,1082498.000,45498,2,AZ,1,100,0.381
1760385216.725200,1082538.000,45516,3,AZ,1,100,0.579
1760385216.765199,1082578.000,45516,3,AZ,1,100,0.462
1760385216.805197,1082618.000,45516,3,AZ,1,100,0.308
1760385216.845196,1082658.000,45536,2,AZ,1,100,-0.054
1760385216.885195,1082698.000,45536,2,AZ,1,100,-0.168
1760385216.925193,1082738.000,45550,3,AZ,1,100,-0.260
1760385216.965192,1082778.000,45550,3,AZ,1,100,-0.258
1760385217.005191,1082818.000,45550,3,AZ,1,100,-0.261
1760385217.045189,1082858.000,45567,2,AZ,1,100,-0.303
1760385217.085188,1082898.000,45567,2,AZ,1,100,-0.520
1760385217.125186,1082938.000,45585,3,AZ,1,100,-0.453
1760385217.165185,1082978.000,45585,3,AZ,1,100,-0.318
1760385217.205184,1083018.000,45585,3,AZ,1,100,-0.360
1760385217.245182,1083058.000,45605,2,AZ,1,100,-0.279
1760385217.285181,1083098.000,45605,2,AZ,1,100,0.057
1760385217.325180,1083138.000,45619,3,AZ,1,100,0.043
1760385217.365178,1083178.000,45619,3,AZ,1,100,-0.033
1760385217.405177,1083218.000,45619,3,AZ,1,100,-0.044
1760385217.441175,1083254.000,45638,3,AZ,1,100,-0.036
1760385217.477174,1083290.000,45638,3,AZ,1,100,0.126
1760385217.513173,1083326.000,45638,3,AZ,1,100,0.376
1760385217.553172,1083366.000,45655,2,AZ,1,100,0.642
1760385217.593170,1083406.000,45655,2,AZ,1,100,0.458
1760385217.633169,1083446.000,45674,3,AZ,1,100,0.278
1760385217.673167,1083486.000,45674,3,AZ,1,100,-0.160
1760385217.713166,1083526.000,45674,3,AZ,1,100,-0.372
1760385217.753165,1083566.000,45688,2,AZ,1,100,-0.350
1760385217.793163,1083606.000,45688,2,AZ,1,100,-0.361
1760385217.833162,1083646.000,45706,3,AZ,1,100,-0.311
1760385217.873161,1083686.000,45706,3,AZ,1,100,-0.346
1760385217.913159,1083726.000,45706,3,AZ,1,100,-0.348
1760385217.952658,1083765.500,45722,2,AZ,1,100,-0.398
1760385217.992157,1083805.000,45722,2,AZ,1,100,-0.486
1760385218.032488,1083845.333,45741,3,AZ,1,100,-0.440
1760385218.072820,1083885.667,45741,3,AZ,1,100,-0.177
1760385218.113152,1083926.000,45741,3,AZ,1,100,-0.010
1760385218.152651,1083965.500,45756,2,AZ,1,100,0.056
1760385218.192150,1084005.000,45756,2,AZ,1,100,0.034
1760385218.232481,1084045.333,45773,3,AZ,1,100,0.082
1760385218.272814,1084085.667,45773,3,AZ,1,100,0.175
1760385218.313145,1084126.000,45773,3,AZ,1,100,0.344
1760385218.352811,1084165.667,45791,3,AZ,1,100,0.522
1760385218.392476,1084205.333,45791,3,AZ,1,100,0.458
1760385218.432141,1084245.000,45791,3,AZ,1,100,0.112
1760385218.472140,1084285.000,45810,2,AZ,1,100,-0.259
1760385218.512139,1084325.000,45810,2,AZ,1,100,-0.154
1760385218.552137,1084365.000,45827,3,AZ,1,100,-0.046
